seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12968,721978,10207,home,1,4-2-3-1,1,1,1,205212,Mohamed El Shenawy,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,2,357113,Khaled Abdelfattah,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,18,292736,Yahya Attiyat Allah,Left Back,3,0,0,-1,,,,1,359261,33,359261.0,4980.0,83',2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,13,357112,Marwan Attia,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,6,265417,Yasser Ibrahim,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,5,187571,Rami Hisham Rabia,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,29,245246,Taher Mohamed,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,8,265002,Akram Tawfik,Right Midfielder,8,0,0,-1,,,,1,382564,23,382564.0,4980.0,83',2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,7,187506,Kahraba ,Forward,9,0,0,-1,,,,1,201086,10,201086.0,4560.0,76',2024-12-23 05:53:33
12968,721978,10207,home,1,4-2-3-1,1,1,19,247080,Mohamed Magdy,Attacking Midfielder,10,0,0,-1,,,,1,312563,36,312563.0,4560.0,76',2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,1,14,256053,Hussein El-Shahat,Attacking Midfielder Left,11,0,0,-1,,,,1,313074,12,313074.0,4500.0,75',2024-11-27 06:03:29
12968,721978,10207,home,1,4-2-3-1,1,0,23,382564,Omar El Saeey,Substitute,0,1,265002,8,265002.0,4980.0,83',0,0,-1,,,,2024-11-27 06:03:29
