seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12411,696717,4138,home,0,4-3-3,1,1,23,102985,Óscar Ustari,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,2,265882,Oliver Rojas,Right Back,2,0,0,-1,,,,1,287596,3,287596.0,3715.0,62',2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,19,155734,Santiago Dittborn,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,15,187337,Emanuel Cecchini,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,5,123340,Fabián Torres,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,26,168919,Guillermo Ortiz,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,11,315719,Gonzalo Rios,Right Midfielder,7,0,0,-1,,,,1,171317,10,171317.0,5400.0,90'+3',2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,8,238838,Marco Collao Ramos,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,20,213439,Ignacio Jeraldino,Forward,9,0,0,-1,,,,1,302174,28,302174.0,3760.0,63',2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,21,227959,Thomas Rodriguez,Right Forward,10,0,0,-1,,,,1,276290,6,276290.0,3359.0,56',2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,1,22,321195,Alessandro Riep,Left Forward,11,0,0,-1,,,,1,308678,18,308678.0,3388.0,57',2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,0,6,276290,Germán Guiffrey,Substitute,0,1,227959,21,227959.0,3359.0,56',0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,0,30,380714,Edruan Paredes,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,0,18,308678,Nicolás Aedo,Substitute,0,1,321195,22,321195.0,3388.0,57',0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,0,28,302174,Javier Quiñones,Substitute,0,1,213439,20,213439.0,3760.0,63',0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,0,3,287596,Cristóbal Muñoz,Substitute,0,1,265882,2,265882.0,3715.0,62',0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,0,25,204761,Gonzalo Collao,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,4138,home,0,4-3-3,1,0,10,171317,Carlos Villanueva,Substitute,0,1,315719,11,315719.0,5400.0,90'+3',0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,12,206040,Daniel Castillo,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,23,270586,Jonathan Andia,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,16,104544,Alonso López,Left Back,3,0,0,-1,,,,1,287501,32,287501.0,3299.0,55',2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,21,73162,Diego Fernández,Left Midfielder,4,0,0,-1,,,,1,225439,9,225439.0,4151.0,70',2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,6,144290,Luis Casanova,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,3,283899,Joaquín Novillo,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,14,199165,Rúben Farfán,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,5,253964,Agustín Nadruz,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,11,135162,Álvaro Ramos,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,20,149465,Diego Orellana,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,1,10,70398,Edson Puch,Attacking Midfielder Left,11,0,0,-1,,,,1,213456,17,213456.0,5400.0,90'+9',2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,0,31,338405,Iam González,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,0,32,287501,Enzo Hoyos,Substitute,0,1,104544,16,104544.0,3299.0,55',0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,0,1,242605,Matías Reyes,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,0,9,225439,Lázaro Romero,Substitute,0,1,73162,21,73162.0,4151.0,70',0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,0,17,213456,Gael Adonian,Substitute,0,1,70398,10,70398.0,5400.0,90'+9',0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,0,33,140384,Miguel Sanhueza,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696717,10142,away,1,4-2-3-1,1,0,7,205426,Joaquin Moya,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696718,2678,home,0,4-3-3,1,1,1,265881,Hugo Araya,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696718,2678,home,0,4-3-3,1,1,2,72377,Jorge Espejo,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696718,2678,home,0,4-3-3,1,1,15,312225,Marco Campagnaro,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12411,696718,2678,home,0,4-3-3,1,1,11,205122,Juan Leiva,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
