seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12521,705196,10139,home,0,,1,1,1,104553,Richard Leyton,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,8,168482,Nicolas Vargas,Defender,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,30,205396,Diego Carrasco,Defender,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,28,259041,Yerko Oyanedel,Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,20,287342,Yerko Gonzalez,Defender,5,0,0,-1,,,,1,321037,6,321037.0,4440.0,74',2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,32,289078,Bryan Soto,Defender,6,0,0,-1,,,,1,200571,5,200571.0,4080.0,68',2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,10,113308,Jorge Luna,Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,7,167197,Leonardo Pais,Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,21,200505,Marco Medel,Forward,9,0,0,-1,,,,1,338990,19,338990.0,5100.0,85',2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,26,312612,Franco Torres,Forward,10,0,0,-1,,,,1,195750,9,195750.0,5100.0,85',2024-10-13 23:19:26
12521,705196,10139,home,0,,1,1,31,189811,Isaac Díaz,Midfielder,11,0,0,-1,,,,1,149748,29,149748.0,4440.0,74',2024-10-13 23:19:26
12521,705196,10139,home,0,,1,0,9,195750,Tobías Figueroa,Substitute,0,1,312612,26,312612.0,5100.0,85',0,0,-1,,,,2024-10-13 23:19:26
12521,705196,10139,home,0,,1,0,29,149748,Maximiliano Quinteros,Substitute,0,1,189811,31,189811.0,4440.0,74',0,0,-1,,,,2024-10-13 23:19:26
12521,705196,10139,home,0,,1,0,5,200571,Fabián Manzano,Substitute,0,1,289078,32,289078.0,4080.0,68',0,0,-1,,,,2024-10-13 23:19:26
