seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12281,691171,18267,home,1,3-4-1-2,1,1,18,315972,Roman Celentano,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,2,159296,Alvas Powell,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,15,294215,Bret Halsey,Left Midfielder,3,0,0,-1,,,,1,276305,23,276305.0,5165.0,87',2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,32,296216,Ian Murphy,Center Left Defender,4,0,0,-1,,,,1,336999,33,336999.0,2700.0,45',2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,21,187273,Matt Miazga,Center Defender,5,0,0,-1,,,,1,363194,34,363194.0,2700.0,45',2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,14,286803,Kipp Keller,Center Right Defender,6,0,0,-1,,,,1,199958,10,199958.0,4426.0,74',2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,5,275106,Obinna Nwobodo,Center Right Midfielder,7,0,0,-1,,,,1,353751,37,353751.0,2700.0,45',2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,26,356926,Malik Pinto,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,29,320956,Quimi Ordóñez,Attacking Midfielder,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,9,260212,Aaron-Salem Boupendza,Center Right Forward,10,0,0,-1,,,,1,214446,17,214446.0,3696.0,62',2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,1,22,362895,Gerardo Valenzuela,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,34,363194,London Aghedo,Substitute,0,1,187273,21,187273.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,20,279180,Pavel Bucha,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,23,276305,Luca Orellano,Substitute,0,1,294215,15,294215.0,5165.0,87',0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,12,249768,Miles Robinson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,36,242975,Evan Louro,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,11,220573,Corey Baird,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,17,214446,Sergio Santos,Substitute,0,1,260212,9,260212.0,3696.0,62',0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,10,199958,Luciano Acosta,Substitute,0,1,286803,14,286803.0,4426.0,74',0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,7,171673,Yuya Kubo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,33,336999,Isaiah Foster,Substitute,0,1,296216,32,296216.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18267,home,1,3-4-1-2,1,0,37,353751,Stiven Jimenez,Substitute,0,1,275106,5,275106.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18006,away,0,5-4-1,1,1,1,271624,Vino Barclett,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12281,691171,18006,away,0,5-4-1,1,1,27,380740,Jerome Mcleary,Right Back,2,0,0,-1,,,,1,380748,18,380748.0,3725.0,63',2024-10-14 01:54:08
12281,691171,18006,away,0,5-4-1,1,1,20,380737,Gadial Irving,Left Back,3,0,0,-1,,,,1,380743,23,380743.0,2700.0,45',2024-10-14 01:54:08
