seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12497,719874,183,home,1,3-4-2-1,1,1,1,224640,Nicholas Hagen,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,23,317021,Mohamed Farsi,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,27,359542,Maximilian Arfsten,Left Midfielder,3,0,0,-1,,,,1,239736,20,239736.0,5006.0,84',2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,18,271075,Malte Amundsen,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,4,152660,Rudy Camacho,Center Defender,5,0,0,-1,,,,1,264469,21,264469.0,4453.0,75',2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,31,180113,Steven Moreira,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,25,296221,Sean Zawadzki,Center Right Midfielder,7,0,0,-1,,,,1,249985,12,249985.0,5000.0,84',2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,6,156157,Darlington Nagbe,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,9,336809,Cucho Hernández,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,17,235061,Christian Ramírez,Center Right Forward,10,0,0,-1,,,,1,297121,19,297121.0,4439.0,74',2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,1,10,235817,Diego Rossi,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,5,240232,Derrick Jones,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,12,249985,DeJuan Jones,Substitute,0,1,296221,25,296221.0,5000.0,84',0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,21,264469,Yevhen Cheberko,Substitute,0,1,152660,4,152660.0,4453.0,75',0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,7,270189,Dylan Chambost,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,20,239736,Alexandru Matan,Substitute,0,1,359542,27,359542.0,5006.0,84',0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,28,275080,Patrick Schulte,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,2,286389,Marcelo Herrera,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,19,297121,Jacen Russell-Rowe,Substitute,0,1,235061,17,235061.0,4439.0,74',0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,13,318536,Aziel Jackson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,14,173386,Yaw Yeboah,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,183,home,1,3-4-2-1,1,0,16,362812,Taha Habroune,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,1,43372,Hugo Lloris,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,14,218252,Sergi Palencia,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,24,183758,Ryan Hollingshead,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,33,201103,Aaron Long,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,25,127512,Maxime Chanot,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,3,197050,Jesús Murillo,Center Right Defender,6,0,0,-1,,,,1,199904,4,199904.0,3080.0,52',2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,20,241473,Eduard Atuesta,Center Right Midfielder,7,0,0,-1,,,,1,269288,8,269288.0,2700.0,45',2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,6,150185,Ilie Sánchez,Center Left Midfielder,8,0,0,-1,,,,1,231192,11,231192.0,3759.0,63',2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,9,88965,Olivier Giroud,Forward,9,0,0,-1,,,,1,75574,23,75574.0,4650.0,78',2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,99,213304,Dénis Bouanga,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,1,19,287841,Mateusz Bogusz,Center Left Forward,11,0,0,-1,,,,1,124439,13,124439.0,3771.0,63',2024-10-14 06:59:34
12497,719874,18966,away,0,3-4-3,1,0,4,199904,Eddie Segura,Substitute,0,1,197050,3,197050.0,3080.0,52',0,0,-1,,,,2024-10-14 06:59:34
