seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12584,702732,2645,home,0,4-3-3,1,1,1,319960,Dylan Ramos,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,2,282816,Jett Blaschka,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,7,282815,Zahmyre Harris,Left Back,3,0,0,-1,,,,1,390847,21,390847.0,4323.0,73',2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,3,299119,Joshua Ramos,Center Midfielder,4,0,0,-1,,,,1,316893,16,316893.0,4330.0,73',2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,4,391069,Carmelo Rodríguez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,15,390849,Deve Barbour,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,10,373213,Jimson Saint Louis,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,11,342750,Matthew Roth,Left Midfielder,8,0,0,-1,,,,1,316894,6,316894.0,4311.0,72',2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,9,282811,Rakeem Joseph,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,20,342031,Naqwan Henry,Right Forward,10,0,0,-1,,,,1,391070,8,391070.0,3322.0,56',2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,1,22,382393,Hasani Edgar,Left Forward,11,0,0,-1,,,,1,373232,5,373232.0,1246.0,21',2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,0,19,374339,Johnathan Fuller,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,0,17,310275,Dylan Berry,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,0,23,218035,Terrence Jones Jr.,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,0,16,316893,Axel Bartsch,Substitute,0,1,299119,3,299119.0,4330.0,73',0,0,-1,,,,2024-10-14 06:59:34
12584,702732,2645,home,0,4-3-3,1,0,6,316894,Julius Brown,Substitute,0,1,342750,11,342750.0,4311.0,72',0,0,-1,,,,2024-10-14 06:59:34
