seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12311,692223,18995,home,1,4-2-3-1,1,1,12,150393,Giancarlo Schiavone,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,5,285237,Kendrys Silva,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,28,233928,Facundo Cobos,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,23,285727,Yimmy Congo,Left Midfielder,4,0,0,-1,,,,1,252657,6,252657.0,3542.0,60',2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,4,144222,Carlos Rivero,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,32,233915,Christian Moreno,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,77,193396,Richard Celis,Attacking Midfielder Right,7,0,0,-1,,,,1,200295,29,200295.0,4003.0,67',2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,22,183279,Federico Bravo,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,7,125247,Miku Fedor,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,19,130015,Antonio Romero,Attacking Midfielder,10,0,0,-1,,,,1,238793,99,238793.0,4391.0,74',2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,1,11,181225,Rubén Rojas,Attacking Midfielder Left,11,0,0,-1,,,,1,165505,24,165505.0,2700.0,45',2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,0,55,158057,Luis Romero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,0,99,238793,Stevy Okitokandjo,Substitute,0,1,130015,19,130015.0,4391.0,74',0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,0,6,252657,Junior Alcalá Cedeño,Substitute,0,1,285727,23,285727.0,3542.0,60',0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,0,13,150358,Edwin Peraza,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,0,29,200295,Michael Covea,Substitute,0,1,193396,77,193396.0,4003.0,67',0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,0,18,286071,Jesús Yendis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12311,692223,18995,home,1,4-2-3-1,1,0,3,310280,Oscar Conde,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
