seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13010,723971,4816,home,1,4-3-3,1,1,22,95614,Alexander Domínguez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,31,336876,Daniel de La Cruz,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,33,269885,Leonel Quiñonez,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,18,240401,Ezequiel Piovi,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,4,188106,Ricardo Adé,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,3,287401,Richard Mina,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,15,283647,Gabriel Villamil,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,20,82355,Fernando Cornejo,Left Midfielder,8,0,0,-1,,,,1,356561,25,356561.0,4860.0,81',2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,19,257754,Alex Arce,Forward,9,0,0,-1,,,,1,249848,11,249848.0,4800.0,80',2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,29,236049,Bryan Ramirez,Right Forward,10,0,0,-1,,,,1,216651,9,216651.0,4260.0,71',2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,1,26,252405,Jhojan Julio,Left Forward,11,0,0,-1,,,,1,285764,8,285764.0,5220.0,87',2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,25,356561,Madison Julio,Substitute,0,1,82355,20,82355.0,4860.0,81',0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,21,389361,Ederson Castillo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,32,359925,Juan Sebastián Rodríguez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,30,358763,Gian Franco Allala,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,35,318091,Jairon Charcopa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,17,269890,Freddy Mina,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,24,255329,Andrés Zanini,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,8,285764,Luis Estupiñan,Substitute,0,1,252405,26,252405.0,5220.0,87',0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,11,249848,Michael Estrada,Substitute,0,1,257754,19,257754.0,4800.0,80',0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,9,216651,Lisandro Alzugaray,Substitute,0,1,236049,29,236049.0,4260.0,71',0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,14,215896,José Quintero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,4816,home,1,4-3-3,1,0,1,131726,Gonzalo Valle,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,22,241986,Guido Villar,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,4,235018,Anthony Landázuri,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,15,251962,Beder Caicedo,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,80,156564,Joao Ortiz,Left Midfielder,4,0,0,-1,,,,1,358746,16,358746.0,3720.0,62',2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,2,265980,Luis Zárate,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,5,233381,Richard Schunke,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,50,371534,Keny Arroyo,Attacking Midfielder Right,7,0,0,-1,,,,1,135298,30,135298.0,4680.0,78',2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,18,279074,Cristian Zabala,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,9,270236,Jeison Medina,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,51,315600,Yaimar Medina,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,1,20,240363,Bryan García,Attacking Midfielder Left,11,0,0,-1,,,,1,182021,8,182021.0,3720.0,62',2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,7,340745,Patrik Mercado,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,6,312192,Joaquin Pombo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,16,358746,Kendry Páez,Substitute,0,1,156564,80,156564.0,3720.0,62',0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,12,279610,Joan López,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,53,383070,Justin Lerma,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,14,263082,Mateo Carabajal,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,13,185434,Matías Fernández,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,8,182021,Romario Ibarra,Substitute,0,1,240363,20,240363.0,3720.0,62',0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,10,159164,Junior Sornoza,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,11,143288,Michael Hoyos,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,30,135298,Renato Ibarra,Substitute,0,1,371534,50,371534.0,4680.0,78',0,0,-1,,,,2024-12-10 05:55:59
13010,723971,17086,away,0,4-2-3-1,1,0,1,269881,Moisés Ramírez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-10 05:55:59
