seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12772,712963,310,home,0,5-3-2,1,1,30,327991,Collin Andeng-Ndi,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,2,346355,Gus Scott-Morriss,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,3,224200,Nathan Ralph,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,15,301269,Joseph Gubbins,Center Left Defender,4,0,0,-1,,,,1,26029,23,26029.0,3300.0,55',2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,15,301269,Joseph Gubbins,Center Left Defender,4,0,0,-1,,,,1,26029,23,26029.0,3240.0,54',2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,6,280210,Ollie Kensdale,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,16,199199,Harry Taylor,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,28,307104,Oliver Coker,Center Right Midfielder,7,0,0,-1,,,,1,353414,10,353414.0,4740.0,79',2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,28,307104,Oliver Coker,Center Right Midfielder,7,0,0,-1,,,,1,353414,10,353414.0,4740.0,79',2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,17,260795,Cavanagh Miley,Center Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,9,227018,Harry Cardwell,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,11,276612,Josh Walker,Center Right Forward,10,0,0,-1,,,,1,334870,14,334870.0,5160.0,86',2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,11,276612,Josh Walker,Center Right Forward,10,0,0,-1,,,,1,334870,14,334870.0,5100.0,85',2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,7,196579,Jack Bridge,Center Left Midfielder,11,0,0,-1,,,,1,352931,5,352931.0,5400.0,90',2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,1,7,196579,Jack Bridge,Center Left Midfielder,11,0,0,-1,,,,1,352931,5,352931.0,5400.0,90',2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,10,353414,Danny Waldron,Substitute,0,1,307104,28,307104.0,4740.0,79',0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,10,353414,Danny Waldron,Substitute,0,1,307104,28,307104.0,4740.0,79',0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,23,26029,James Morton,Substitute,0,1,301269,15,301269.0,3300.0,55',0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,4,388622,George Wind,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,26,388643,Mikey Faulkner,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,23,26029,James Morton,Substitute,0,1,301269,15,301269.0,3240.0,54',0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,5,352931,Adam Crowther,Substitute,0,1,196579,7,196579.0,5400.0,90',0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,14,334870,Jack Wood,Substitute,0,1,276612,11,276612.0,5160.0,86',0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,14,334870,Jack Wood,Substitute,0,1,276612,11,276612.0,5100.0,85',0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,25,243756,James Hillson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,310,home,0,5-3-2,1,0,5,352931,Adam Crowther,Substitute,0,1,196579,7,196579.0,5400.0,90',0,0,-1,,,,2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,1,364917,Harrison Male,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,23,235127,Joel Felix,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,21,191486,Cameron John,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,8,277364,Alex Hunt,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,2,240948,Ryan Fallowfield,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,5,174403,Callum Howe,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,19,291173,Billy Chadwick,Attacking Midfielder Right,7,0,0,-1,,,,1,283184,7,283184.0,3300.0,55',2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,19,291173,Billy Chadwick,Attacking Midfielder Right,7,0,0,-1,,,,1,283184,7,283184.0,3240.0,54',2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,18,245550,Dan Batty,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,10,374666,Ollie Pearce,Forward,9,0,0,-1,,,,1,275062,11,275062.0,4200.0,70',2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,10,374666,Ollie Pearce,Forward,9,0,0,-1,,,,1,275062,11,275062.0,4260.0,71',2024-10-14 06:59:34
12772,712963,315,away,0,4-2-3-1,1,1,15,349020,Marvin Armstrong,Attacking Midfielder,10,0,0,-1,,,,1,324824,20,324824.0,3300.0,55',2024-10-14 06:59:34
