seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12585,702836,382,home,1,4-3-3,1,1,31,176948,Ederson,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,82,325564,Rico Lewis,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,24,299910,Josko Gvardiol,Left Back,3,0,0,-1,,,,1,159248,6,159248.0,5400.0,90',2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,8,154595,Mateo Kovacic,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,25,214562,Manuel Akanji,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,3,234878,Rúben Dias,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,75,328464,Nico O'Reilly,Right Midfielder,7,0,0,-1,,,,1,303785,27,303785.0,3780.0,63',2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,87,298518,James McAtee,Left Midfielder,8,0,0,-1,,,,1,199833,20,199833.0,4800.0,80',2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,9,253989,Erling Haaland,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,52,307111,Oscar Bobb,Right Forward,10,0,0,-1,,,,1,134947,17,134947.0,5400.0,90',2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,1,11,283672,Jérémy Doku,Left Forward,11,0,0,-1,,,,1,304470,26,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,33,37557,Scott Carson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,78,294427,Issa Kaboré,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,4,223453,Kalvin Phillips,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,27,303785,Matheus Nunes,Substitute,0,1,328464,75,328464.0,3780.0,63',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,20,199833,Bernardo Silva,Substitute,0,1,298518,87,298518.0,4800.0,80',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,26,304470,Sávio,Substitute,0,1,283672,11,283672.0,3780.0,63',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,6,159248,Nathan Aké,Substitute,0,1,299910,24,299910.0,5400.0,90',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,18,151855,Stefan Ortega,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,382,home,1,4-3-3,1,0,17,134947,Kevin De Bruyne,Substitute,0,1,307111,52,307111.0,5400.0,90',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,24,215340,André Onana,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,20,238902,Diogo Dalot,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,6,233937,Lisandro Martínez,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,37,328466,Kobbie Mainoo,Left Midfielder,4,0,0,-1,,,,1,308778,43,308778.0,3540.0,59',2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,5,157073,Harry Maguire,Center Right Defender,5,0,0,-1,,,,1,290538,28,290538.0,3480.0,58',2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,35,83176,Jonny Evans,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,16,291630,Amad,Attacking Midfielder Right,7,0,0,-1,,,,1,325555,17,325555.0,3540.0,59',2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,18,173666,Casemiro,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,8,124091,Bruno Fernandes,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,7,231167,Mason Mount,Attacking Midfielder,10,0,0,-1,,,,1,255850,39,255850.0,3480.0,58',2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,1,10,230945,Marcus Rashford,Attacking Midfielder Left,11,0,0,-1,,,,1,259836,25,259836.0,4980.0,83',2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,25,259836,Jadon Sancho,Substitute,0,1,230945,10,230945.0,4980.0,83',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,39,255850,Scott McTominay,Substitute,0,1,231167,7,231167.0,3480.0,58',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,1,274272,Altay Bayindir,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,11,276327,Joshua Zirkzee,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,21,281558,Antony,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,28,290538,Facundo Pellistri,Substitute,0,1,157073,5,157073.0,3480.0,58',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,43,308778,Toby Collyer,Substitute,0,1,328466,37,328466.0,3540.0,59',0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,14,144130,Christian Eriksen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12585,702836,360,away,0,4-2-3-1,1,0,17,325555,Alejandro Garnacho,Substitute,0,1,291630,16,291630.0,3540.0,59',0,0,-1,,,,2024-10-14 01:54:08
