seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12730,721574,337,home,1,4-2-3-1,1,1,1,177821,Mark Flekken,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,4,270507,Sepp van den Berg,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,21,352820,Jayden Meghoma,Left Back,3,0,0,-1,,,,1,249172,30,249172.0,4189.0,70',2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,27,225564,Vitaly Janelt,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,22,279780,Nathan Collins,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,16,138159,Ben Mee,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,19,271170,Bryan Mbeumo,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,8,227472,Mathias Jensen,Right Midfielder,8,0,0,-1,,,,1,308932,24,308932.0,3918.0,66',2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,7,310958,Kevin Schade,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,14,231049,Fábio Carvalho,Attacking Midfielder,10,0,0,-1,,,,1,224077,11,224077.0,3929.0,66',2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,1,23,284490,Keane Lewis-Potter,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,24,308932,Mikkel Damsgaard,Substitute,0,1,227472,8,227472.0,3918.0,66',0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,26,366990,Yunus Konak,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,28,348305,Ryan Trevitt,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,18,342029,Yehor Yarmoliuk,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,12,311527,Hákon Rafn Valdimarsson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,32,267458,Paris Maghoma,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,30,249172,Mads Roerslev,Substitute,0,1,352820,21,352820.0,4189.0,70',0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,5,241093,Ethan Pinnock,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,337,home,1,4-2-3-1,1,0,11,224077,Yoane Wissa,Substitute,0,1,231049,14,231049.0,3929.0,66',0,0,-1,,,,2024-10-31 05:20:32
12730,721574,399,away,0,3-4-2-1,1,1,47,352759,Pierce Charles,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,399,away,0,3-4-2-1,1,1,13,176834,Callum Paterson,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,399,away,0,3-4-2-1,1,1,18,6156,Marvin Johnson,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,399,away,0,3-4-2-1,1,1,3,194108,Max Lowe,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
12730,721574,399,away,0,3-4-2-1,1,1,33,387770,Gabriel Otegbayo,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-31 05:20:32
