seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12735,732578,392,home,1,4-2-3-1,1,1,21,134929,Ryan Allsop,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,19,282892,Taylor Gardner-Hickman,Right Back,2,0,0,-1,,,,1,291434,2,291434.0,3600.0,60',2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,20,251627,Alex Cochrane,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,24,286056,Tomoki Iwata,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,4,263133,Christoph Klarer,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,25,219599,Ben Davies,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,30,194114,Kieran Dowell,Attacking Midfielder Right,7,0,0,-1,,,,1,207538,17,207538.0,4800.0,80',2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,13,256598,Paik Seung-Ho,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,28,301248,Jay Stansfield,Forward,9,0,0,-1,,,,1,251432,9,251432.0,3540.0,59',2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,18,285471,Willum Thór Willumsson,Attacking Midfielder,10,0,0,-1,,,,1,146577,31,146577.0,5400.0,90'+3',2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,1,11,205696,Scott Wright,Attacking Midfielder Left,11,0,0,-1,,,,1,216186,14,216186.0,3600.0,60',2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,0,2,291434,Ethan Laird,Substitute,0,1,282892,19,282892.0,3600.0,60',0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,0,9,251432,Alfie May,Substitute,0,1,301248,28,301248.0,3540.0,59',0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,0,45,231265,Bailey Peacock-Farrell,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,0,31,146577,Grant Hanley,Substitute,0,1,285471,18,285471.0,5400.0,90'+3',0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,0,14,216186,Keshi Anderson,Substitute,0,1,205696,11,205696.0,3600.0,60',0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,0,17,207538,Lyndon Dykes,Substitute,0,1,194114,30,194114.0,4800.0,80',0,0,-1,,,,2025-02-19 05:49:30
12735,732578,392,home,1,4-2-3-1,1,0,6,212257,Krystian Bielik,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,1,157242,Sam Walker,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,2,191368,Brad Halliday,Right Midfielder,2,0,0,-1,,,,1,243359,22,243359.0,5400.0,90'+2',2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,17,290346,Tyreik Wright,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,30,291099,Romoney Crichlow-Noble,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,24,367134,Jack Shepherd,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,15,212277,Aden Baldwin,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,16,223456,Alex Pattison,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,6,104233,Richard Smallwood,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,7,169045,Jamie Walker,Forward,9,0,0,-1,,,,1,387483,29,387483.0,5400.0,90'+9',2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,10,148519,Antoni Sarcevic,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,1,23,366331,Bobby Pointon,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
12735,732578,387,away,0,3-4-2-1,1,0,20,66519,Paul Huntington,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-19 05:49:30
