seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12837,716632,20062,home,1,4-2-3-1,1,1,22,286883,Rebecca Spencer,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,29,294265,Ashleigh Neville,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,6,314494,Amanda Nildén,Left Back,3,0,0,-1,,,,1,300442,2,300442.0,5220.0,87',2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,25,267666,Eveliina Summanen,Left Midfielder,4,0,0,-1,,,,1,267679,20,267679.0,4620.0,77',2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,5,312487,Molly Bartrip,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,15,312233,Clare Hunt,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,8,219818,Hayley Raso,Attacking Midfielder Right,7,0,0,-1,,,,1,355373,31,355373.0,5220.0,87',2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,10,320356,Maite Oroz,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,17,226804,Martha Thomas,Forward,9,0,0,-1,,,,1,293410,9,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,24,286882,Drew Spence,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,1,7,294268,Jessica Naz,Attacking Midfielder Left,11,0,0,-1,,,,1,311201,14,311201.0,3840.0,64',2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,0,2,300442,Charlotte Grant,Substitute,0,1,314494,6,314494.0,5220.0,87',0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,0,21,309086,Luana Bühler,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,0,14,311201,Anna Csiki,Substitute,0,1,294268,7,294268.0,3840.0,64',0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,0,9,293410,Beth England,Substitute,0,1,226804,17,226804.0,3780.0,63',0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,0,20,267679,Olga Ahtinen,Substitute,0,1,267666,25,267666.0,4620.0,77',0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,0,13,349567,Matilda Vinberg,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,0,26,351745,Katelin Talbert,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12837,716632,20062,home,1,4-2-3-1,1,0,31,355373,Lenna Gunning-Williams,Substitute,0,1,219818,8,219818.0,5220.0,87',0,0,-1,,,,2024-10-13 22:19:37
