seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12876,719565,20093,home,1,4-4-2,1,1,1,220002,Lola Gallardo,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,3,303509,Ainhoa Moraza,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,20,333528,Andrea Medina,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,8,331162,Gaby García,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,5,328638,Xenia Perez,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,4,328198,Lauren,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,16,284186,Rasheedat Ajibade,Right Midfielder,7,0,0,-1,,,,1,333578,9,333578.0,5040.0,84',2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,6,252363,Vilde Boe Risa,Center Left Midfielder,8,0,0,-1,,,,1,310885,10,310885.0,4260.0,71',2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,7,252358,Synne Jensen,Center Left Forward,9,0,0,-1,,,,1,259762,17,259762.0,4260.0,71',2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,21,335788,Fiamma Iannuzzi,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,1,18,305982,Giovana,Left Midfielder,11,0,0,-1,,,,1,335834,14,335834.0,5220.0,87',2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,13,296509,Patricia Larqué,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,9,333578,Sheila Guijarro,Substitute,0,1,284186,16,284186.0,5040.0,84',0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,29,334431,Naara Miranda,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,14,335834,Rosa Otermín,Substitute,0,1,305982,18,305982.0,5220.0,87',0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,23,349935,Merle Barth,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,27,386681,Emma Moreno,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,35,391757,Cristina Redondo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,10,310885,Ana Vitória,Substitute,0,1,252363,6,252363.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12876,719565,20093,home,1,4-4-2,1,0,17,259762,Tatiana Pinto,Substitute,0,1,252358,7,252358.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,1,354913,Sandra Estévez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,21,328657,Cristina Postigo,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,24,355154,Alexia Fernández,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,6,312952,Ariadna Mingueza,Center Midfielder,4,0,0,-1,,,,1,333448,14,333448.0,5220.0,87',2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,20,354912,Jujuba,Center Right Defender,5,0,0,-1,,,,1,333479,5,333479.0,5220.0,87',2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,4,335770,Isabel Álvarez,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,8,368307,Amaia Iribarren,Center Left Midfielder,7,0,0,-1,,,,1,333519,22,333519.0,3720.0,62',2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,16,333474,Paula Arana,Center Right Midfielder,8,0,0,-1,,,,1,334507,12,334507.0,4680.0,78',2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,19,371856,Edna Imade,Forward,9,0,0,-1,,,,1,354932,15,354932.0,4680.0,78',2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,7,334527,Laura Pérez,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,1,10,334526,Laura Requena,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,0,12,334507,Alba Pérez,Substitute,0,1,333474,16,333474.0,4680.0,78',0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,0,13,334495,Andrea Romero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,0,15,354932,Lucía Ramos,Substitute,0,1,371856,19,371856.0,4680.0,78',0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,0,3,334493,Marta Carrasco,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,0,22,333519,Leles,Substitute,0,1,368307,8,368307.0,3720.0,62',0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,0,5,333479,Naroa Uriarte,Substitute,0,1,354912,20,354912.0,5220.0,87',0,0,-1,,,,2024-10-14 06:59:34
12876,719565,21140,away,0,4-3-2-1,1,0,14,333448,Miku Ito,Substitute,0,1,312952,6,312952.0,5220.0,87',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,13,281687,Inês Pereira,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,2,390865,Samara Ortíz,Right Back,2,0,0,-1,,,,1,328625,22,328625.0,5040.0,84',2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,20,168039,Francisca Lara,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,29,391482,Elena Vázquez,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,3,333463,Vera Martínez,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,18,389777,Raquel García,Center Right Defender,6,0,0,-1,,,,1,389780,27,389780.0,5400.0,90'+1',2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,17,317894,Patrícia Hmírová,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,6,390986,Paula Gutiérrez,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,10,333513,Millene Cabral,Forward,9,0,0,-1,,,,1,330681,11,330681.0,5040.0,84',2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,7,328627,Eva Dios,Center Left Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,1,19,249104,Bárbara Latorre Viñals,Left Midfielder,11,0,0,-1,,,,1,328629,8,328629.0,3840.0,64',2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,0,21,348938,Lucía Martínez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,0,1,333508,Yohana Gómez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,0,9,333490,Ana de Teresa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,0,11,330681,Oriana Altuve,Substitute,0,1,333513,10,333513.0,5040.0,84',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,0,8,328629,Carlota Sánchez,Substitute,0,1,249104,19,249104.0,3840.0,64',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,0,22,328625,Cristina Martínez,Substitute,0,1,390865,2,390865.0,5040.0,84',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,21145,home,0,5-4-1,1,0,27,389780,Carmen Carballada,Substitute,0,1,389777,18,389777.0,5400.0,90'+1',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,1,295642,Gemma Font,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,5,305983,Jana Fernández,Right Back,2,0,0,-1,,,,1,264734,12,264734.0,4140.0,69',2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,24,309952,Esmee Brugts,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,21,268099,Keira Walsh,Center Midfielder,4,0,0,-1,,,,1,286327,22,286327.0,4140.0,69',2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,23,280988,Ingrid Syrstad Engen,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,4,255815,Mapi León,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,28,351070,Alba Caño,Right Midfielder,7,0,0,-1,,,,1,268537,14,268537.0,2700.0,45',2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,18,320145,Kika Nazareth,Left Midfielder,8,0,0,-1,,,,1,219995,11,219995.0,2700.0,45',2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,17,282874,Ewa Pajor,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,10,253699,Caroline Graham Hansen,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,1,16,240277,Fridolina Rolfö,Left Forward,11,0,0,-1,,,,1,219989,8,219989.0,4860.0,81',2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,0,19,335806,Vicky López,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,0,8,219989,Marta Torrejón,Substitute,0,1,240277,16,240277.0,4860.0,81',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,0,11,219995,Alexia Putellas,Substitute,0,1,320145,18,320145.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,0,12,264734,Patri Guijarro,Substitute,0,1,305983,5,305983.0,4140.0,69',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,0,14,268537,Aitana Bonmatí,Substitute,0,1,351070,28,351070.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,0,22,286327,Ona Batlle,Substitute,0,1,268099,21,268099.0,4140.0,69',0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,0,13,288445,Cata Coll,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719566,20091,away,1,4-3-3,1,0,9,295641,Clàudia Pina,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719567,21376,home,1,3-1-4-2,1,1,13,334477,María Miralles,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719567,21376,home,1,3-1-4-2,1,1,3,333539,Patricia Ojeda,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719567,21376,home,1,3-1-4-2,1,1,17,362978,Alena Pecková,Left Midfielder,3,0,0,-1,,,,1,334428,11,334428.0,4680.0,78',2024-10-14 06:59:34
12876,719567,21376,home,1,3-1-4-2,1,1,4,334426,Carla Andrés,Center Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12876,719567,21376,home,1,3-1-4-2,1,1,18,323315,Elba Vergés,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
