seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12371,697145,4178,home,0,4-2-3-1,1,1,1,209174,Courtney Brosnan,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,14,291349,Heather Payne,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,11,219079,Katie McCabe,Left Back,3,0,0,-1,,,,1,328245,22,328245.0,4355.0,73',2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,6,226067,Megan Connolly,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,12,367065,Caitlin Hayes,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,7,219048,Diane Caldwell,Center Left Defender,6,0,0,-1,,,,1,312493,4,312493.0,2700.0,45',2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,21,298900,Jessica Ziu,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,2,331326,Jessie Stapleton,Right Midfielder,8,0,0,-1,,,,1,325836,17,325836.0,5279.0,88',2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,9,287526,Amber Barrett,Forward,9,0,0,-1,,,,1,230968,18,230968.0,2700.0,45',2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,8,219056,Ruesha Littlejohn,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,1,20,287518,Leanne Kiernan,Attacking Midfielder Left,11,0,0,-1,,,,1,299472,10,299472.0,2700.0,45',2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,3,211618,Megan Campbell,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,19,336368,Abbie Larkin,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,22,328245,Isibeal Atkinson,Substitute,0,1,219079,11,219079.0,4355.0,73',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,17,325836,Lily Agg,Substitute,0,1,331326,2,331326.0,5279.0,88',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,4,312493,Lucy Quinn,Substitute,0,1,219048,7,219048.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,13,293411,Aoife Mannion,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,23,293382,Sophie Whitehouse,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,18,230968,Kyra Carusa,Substitute,0,1,287526,9,287526.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,16,219059,Grace Moloney,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,15,219057,Louise Quinn,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,5,219050,Niamh Fahey,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,4178,home,0,4-2-3-1,1,0,10,299472,Emily Murphy,Substitute,0,1,287518,20,287518.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,12,288976,Olivia Clarke,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,5,259318,Rhiannon Roberts,Right Back,2,0,0,-1,,,,1,264743,16,264743.0,3772.0,63',2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,2,288977,Lily Woodham,Left Back,3,0,0,-1,,,,1,280092,19,280092.0,3756.0,63',2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,6,259626,Josephine Green,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,14,259315,Hailey Ladd,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,3,259312,Gemma Evans,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,13,264746,Rachel Rowe,Right Midfielder,7,0,0,-1,,,,1,313674,20,313674.0,4295.0,72',2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,4,259309,Sophie Ingle,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,15,265532,Elise Hughes,Forward,9,0,0,-1,,,,1,259304,9,259304.0,4873.0,82',2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,8,259307,Angharad James,Center Left Midfielder,10,0,0,-1,,,,1,264581,7,264581.0,3788.0,64',2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,1,10,259621,Jessica Fishlock,Left Midfielder,11,0,0,-1,,,,1,278284,11,278284.0,4858.0,81',2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,16,264743,Charlie Estcourt,Substitute,0,1,259318,5,259318.0,3772.0,63',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,20,313674,Carrie Jones,Substitute,0,1,264746,13,264746.0,4295.0,72',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,17,331050,Mary Mcateer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,21,332051,Safia Middleton-Patel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,18,355199,Tegan Mcgowan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,26,380353,Olivia Francis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,25,380968,Mayzee Davies,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,19,280092,Ella Powell,Substitute,0,1,288977,2,288977.0,3756.0,63',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,11,278284,Lois Joel,Substitute,0,1,259621,10,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,22,265533,Alice Griffiths,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,7,264581,Ceri Holland,Substitute,0,1,259307,8,259307.0,3788.0,64',0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,1,259313,Laura O'Sullivan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,23,259308,Ffion Morgan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12371,697145,12634,away,1,5-4-1,1,0,9,259304,Kayleigh Green,Substitute,0,1,265532,15,265532.0,4873.0,82',0,0,-1,,,,2024-10-14 01:54:08
12371,698119,19345,home,0,4-1-4-1,1,1,22,282876,Katarzyna Kiedrzynek,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,6,282867,Sylwia Matysik,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,2,282869,Martyna Wiankowska,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,13,380825,Emilia Szymczak,Defensive Midfielder,4,0,0,-1,,,,1,380827,24,380827.0,4855.0,81',2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,3,317918,Wiktoria Zieniewicz,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,4,278631,Oliwia Wos,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,21,210367,Kayla Adamek,Right Midfielder,7,0,0,-1,,,,1,380828,18,380828.0,4848.0,81',2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,14,282877,Dominika Grabowska,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,9,282874,Ewa Pajor,Forward,9,0,0,-1,,,,1,317916,19,317916.0,4310.0,72',2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,17,298933,Klaudia Lefeld,Center Left Midfielder,10,0,0,-1,,,,1,349034,10,349034.0,4311.0,72',2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,1,11,282878,Ewelina Kamczyk,Left Midfielder,11,0,0,-1,,,,1,296495,20,296495.0,4290.0,72',2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,0,20,296495,Nikola Karczewska,Substitute,0,1,282878,11,282878.0,4290.0,72',0,0,-1,,,,2024-10-13 22:19:37
12371,698119,19345,home,0,4-1-4-1,1,0,1,296372,Kinga Szemik,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
