seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12473,699349,11627,home,0,,1,1,6,282228,Kenneth Taylor,Midfielder,0,0,0,-1,,,,1,281125,8,281125.0,2700.0,45',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,11,340252,Ruben Van Bommel,Midfielder,0,0,0,-1,,,,1,297292,20,297292.0,2700.0,45',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,3,329972,Wouter Goes,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,17,318534,Ernest Poku,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,14,310724,Max Bruns,Defender,0,0,0,-1,,,,1,297300,2,297300.0,4740.0,79',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,10,309156,Myron van Brederode,Midfielder,0,0,0,-1,,,,1,312759,19,312759.0,3720.0,62',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,16,305931,Dani van den Heuvel,Goalkeeper,0,0,0,-1,,,,1,301449,23,301449.0,2700.0,45',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,7,305628,Million Manhoef,Midfielder,0,0,0,-1,,,,1,297340,22,297340.0,3720.0,62',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,15,305590,Youri Baas,Defender,0,0,0,-1,,,,1,304618,5,304618.0,3720.0,62',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,18,304485,Julian Baas,Midfielder,0,0,0,-1,,,,1,304478,13,304478.0,3720.0,62',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,1,12,292393,Neraysho Kasanwirjo,Defender,0,0,0,-1,,,,1,353951,4,353951.0,4740.0,79',2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,5,304618,Bjorn Meijer,Substitute,0,1,305590,15,305590.0,3720.0,62',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,8,281125,Ian Maatsen,Substitute,0,1,282228,6,282228.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,4,353951,Jorrel Hato,Substitute,0,1,292393,12,292393.0,4740.0,79',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,13,304478,Ryan Flamingo,Substitute,0,1,304485,18,304485.0,3720.0,62',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,1,295996,Calvin Raatsie,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,19,312759,Noah Ohio,Substitute,0,1,309156,10,309156.0,3720.0,62',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,20,297292,Youri Regeer,Substitute,0,1,340252,11,340252.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,21,297299,Sontje Hansen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,2,297300,Devyne Rensch,Substitute,0,1,310724,14,310724.0,4740.0,79',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,22,297340,Ibrahim Cissoko,Substitute,0,1,305628,7,305628.0,3720.0,62',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,11627,home,0,,1,0,23,301449,Robin Roefs,Substitute,0,1,305931,16,305931.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,14,319331,Vetle Egeli,Defender,0,0,0,-1,,,,1,310134,18,310134.0,2700.0,45',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,12,323784,Magnus Smelhus Sjøeng,Goalkeeper,0,0,0,-1,,,,1,304258,1,304258.0,2700.0,45',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,20,324932,Joel Mugisha,Midfielder,0,0,0,-1,,,,1,290071,19,290071.0,3720.0,62',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,2,333755,Fredrik Sjøvold,Defender,0,0,0,-1,,,,1,364727,21,364727.0,2700.0,45',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,8,312162,Sivert Heggheim Mannsverk,Midfielder,0,0,0,-1,,,,1,285949,15,285949.0,2700.0,45',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,5,333786,Halvor Opsahl,Defender,0,0,0,-1,,,,1,382244,13,382244.0,2700.0,45',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,10,307481,Kristian Malt Arnstad,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,16,307477,Thelo Aasgaard,Midfielder,0,0,0,-1,,,,1,308227,11,308227.0,2700.0,45',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,3,303791,Robin Ostrom,Defender,0,0,0,-1,,,,1,312592,4,312592.0,2700.0,45',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,22,303704,Seedy Jatta,Forward,0,0,0,-1,,,,1,319226,9,319226.0,1680.0,28',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,1,17,295863,Tobias Fjeld Gulliksen,Midfielder,0,0,0,-1,,,,1,313415,7,313415.0,2700.0,45',2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,21,364727,Oliver Braude,Substitute,0,1,333755,2,333755.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,6,333780,Christos Zafeiris,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,13,382244,Tobias Guddal,Substitute,0,1,333786,5,333786.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,7,313415,Andreas Schjelderup,Substitute,0,1,295863,17,295863.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,9,319226,Lasse Nordas,Substitute,0,1,303704,22,303704.0,1680.0,28',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,4,312592,Leo Fuhr Hjelde,Substitute,0,1,303791,3,303791.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,18,310134,Fredrik Oppegard,Substitute,0,1,319331,14,319331.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,11,308227,Isak Hansen-Aarøen,Substitute,0,1,307477,16,307477.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,1,304258,Sander Tangvik,Substitute,0,1,323784,12,323784.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,19,290071,Bryan Fiabema,Substitute,0,1,324932,20,324932.0,3720.0,62',0,0,-1,,,,2024-10-14 01:54:08
12473,699349,14253,away,1,,1,0,15,285949,Odin Holm,Substitute,0,1,312162,8,312162.0,2700.0,45',0,0,-1,,,,2024-10-14 01:54:08
12473,701621,20927,home,0,,1,1,10,335078,António Fóti,Forward,0,0,0,-1,,,,1,382650,19,382650.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,4,338236,Evagoras Antoniou,Defender,0,0,0,-1,,,,1,345732,8,345732.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,6,341487,Georgios Okkas,Midfielder,0,0,0,-1,,,,1,382651,16,382651.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,1,326588,Stephanos Kittos,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,3,325203,Kypros Neofytou,Midfielder,0,0,0,-1,,,,1,323170,13,323170.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,9,367740,Zanos Savva,Forward,0,0,0,-1,,,,1,257964,18,257964.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,11,368349,Titos Prokopiou,Forward,0,0,0,-1,,,,1,382649,21,382649.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,2,370030,Fótis Kotsónis,Midfielder,0,0,0,-1,,,,1,370032,5,370032.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,15,370034,David Djiama,Defender,0,0,0,-1,,,,1,342890,20,342890.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,14,376824,Giorgos Angelopoulos,Defender,0,0,0,-1,,,,1,324538,23,324538.0,2700.0,45',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,1,7,305924,Giannis Satsias,Midfielder,0,0,0,-1,,,,1,323214,17,323214.0,3540.0,59',2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,22,324262,Panagiotis Kyriakou,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,23,324538,Andreas Asimenos,Substitute,0,1,376824,14,376824.0,2700.0,45',0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,17,323214,Evangelos Andreou,Substitute,0,1,305924,7,305924.0,3540.0,59',0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,13,323170,Strahinja Kerkez,Substitute,0,1,325203,3,325203.0,2700.0,45',0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,18,257964,Andreas Demetriou,Substitute,0,1,367740,9,367740.0,2700.0,45',0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,12,342798,Dimitrios Stylianidis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,20,342890,Stylianos Vrontis,Substitute,0,1,370034,15,370034.0,2700.0,45',0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,8,345732,Giorgos Pontikou,Substitute,0,1,338236,4,338236.0,2700.0,45',0,0,-1,,,,2024-10-13 22:19:37
12473,701621,20927,home,0,,1,0,5,370032,Irodotos Christodoulou,Substitute,0,1,370030,2,370030.0,2700.0,45',0,0,-1,,,,2024-10-13 22:19:37
