seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12863,719112,4385,home,0,,1,1,23,227838,Amrinder Singh,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,2,227975,Rahul Bheke,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,17,243306,Lallianzuala Chhangte,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,20,245254,Chinglensana Singh,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,7,246791,Anirudh Thapa,Midfielder,0,0,0,-1,,,,1,269107,18,269107.0,2761.0,47',2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,6,369864,Jay Gupta,Defender,0,0,0,-1,,,,1,268007,3,268007.0,4320.0,72',2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,9,262098,Manvir Singh,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,12,266611,Apuia ,Midfielder,0,0,0,-1,,,,1,266613,8,266613.0,3960.0,66',2024-10-14 06:59:34
12863,719112,4385,home,0,,1,1,15,266615,Jeakson Singh,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,10,268041,Liston Colaco,Forward,0,0,0,-1,,,,1,268650,16,268650.0,2760.0,46',2024-10-13 22:19:37
12863,719112,4385,home,0,,1,1,14,268565,Ashish Rai,Defender,0,0,0,-1,,,,1,262097,21,262097.0,4740.0,79',2024-10-13 22:19:37
12863,719112,4385,home,0,,1,0,18,269107,Sahal Abdul Samad,Substitute,0,1,246791,7,246791.0,2761.0,47',0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,0,4,154892,Anwar Ali,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,0,25,299738,Kiyan Nassiri,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,0,11,282595,Naorem Mahesh Singh,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12863,719112,4385,home,0,,1,0,16,268650,Nandha Kumar Sekar,Substitute,0,1,268041,10,268041.0,2760.0,46',0,0,-1,,,,2024-10-13 22:19:37
