seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12926,721441,234,home,1,4-2-3-1,1,1,25,259439,Carlos Moreno,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,24,174757,Luis Rodríguez,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,8,297284,Bryan González,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,5,277196,Pedro Pedraza,Left Midfielder,4,0,0,-1,,,,1,215922,7,215922.0,6535.0,109',2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,22,44473,Gustavo Cabral,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,33,358215,Andrés Micolta,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,14,12425,Alfonso González,Attacking Midfielder Right,7,0,0,-1,,,,1,322908,6,322908.0,2700.0,45',2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,28,364455,Elias Montiel,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,23,127570,Salomón Rondón,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,26,326072,Alan Bautista,Attacking Midfielder,10,0,0,-1,,,,1,199038,10,199038.0,3358.0,56',2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,26,326072,Alan Bautista,Attacking Midfielder,10,0,0,-1,,,,1,199038,10,199038.0,7200.0,120'+1',2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,1,11,229552,Oussama Idrissi,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,30,386935,Sergio Hernandez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,32,379192,Carlos Sánchez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,29,379172,Sergio Aguayo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,27,366699,Owen González,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,12,397488,David Shrem,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,18,365134,Alexei Dominguez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,35,364454,Jorge Berlanga,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,9,147082,Borja Bastón,Substitute,0,1,199038,10,199038.0,3358.0,56',0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,40,342768,Jose Pablo Saldivar,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-15 05:56:47
12926,721441,234,home,1,4-2-3-1,1,0,9,147082,Borja Bastón,Substitute,0,1,199038,10,199038.0,7200.0,120'+1',0,0,-1,,,,2024-12-15 05:56:47
