seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12488,699832,20947,home,0,4-3-1-2,1,1,16,324289,Guillaume Restes,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,5,301279,Kiliann Sildillia,Right Back,2,0,0,-1,,,,1,298008,18,298008.0,6599.0,110',2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,3,305684,Adrien Truffert,Left Back,3,0,0,-1,,,,1,324572,15,324572.0,5400.0,90',2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,6,285226,Manu Koné,Center Midfielder,4,0,0,-1,,,,1,333240,17,333240.0,6300.0,105',2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,4,300410,Loïc Badé,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,2,319100,Castello Lukeba,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,12,297158,Enzo Millot,Right Midfielder,7,0,0,-1,,,,1,336388,11,336388.0,4626.0,78',2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,7,286831,Michael Olise,Attacking Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,14,241187,Jean-Philippe Mateta,Center Right Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,10,131752,Alexandre Lacazette,Midfielder,10,0,0,-1,,,,1,296321,9,296321.0,3098.0,52',2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,1,13,291850,Joris Chotard,Left Midfielder,11,0,0,-1,,,,1,329690,8,329690.0,3083.0,52',2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,0,18,298008,Rayan Cherki,,0,1,301279,5,301279.0,6599.0,110',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,0,1,301770,Obed Nkambadio,,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,0,9,296321,Arnaud Kalimuendo,,0,1,131752,10,131752.0,3098.0,52',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,0,15,324572,Bradley Locko,,0,1,305684,3,305684.0,5400.0,90',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,0,8,329690,Maghnes Akliouche,,0,1,291850,13,291850.0,3083.0,52',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,0,17,333240,Soungoutou Magassa,,0,1,285226,6,285226.0,6300.0,105',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,20947,home,0,4-3-1-2,1,0,11,336388,Désiré Doué,,0,1,297158,12,297158.0,4626.0,78',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,1,290043,Arnau Tenas,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,2,332613,Marc Pubill,Right Back,2,0,0,-1,,,,1,303804,20,303804.0,4335.0,73',2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,3,261616,Juan Miranda,Left Back,3,0,0,-1,,,,1,290044,15,290044.0,5826.0,98',2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,10,297373,Álex Baena,Left Midfielder,4,0,0,-1,,,,1,297371,8,297371.0,4945.0,83',2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,4,128714,Eric García,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,5,368992,Pau Cubarsí,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,14,288760,Aimar Oroz,Attacking Midfielder Right,7,0,0,-1,,,,1,297359,12,297359.0,5260.0,88',2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,6,336634,Pablo Barrios,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,9,261613,Abel Ruiz,Forward,9,0,0,-1,,,,1,276652,21,276652.0,4957.0,83',2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,11,354334,Fermín López,Attacking Midfielder,10,0,0,-1,,,,1,276653,16,276653.0,4345.0,73',2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,1,17,265993,Sergio Gómez,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,0,15,290044,Miguel Gutiérrez,Substitute,0,1,261616,3,261616.0,5826.0,98',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,0,12,297359,Jon Pacheco,Substitute,0,1,288760,14,288760.0,5260.0,88',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,0,16,276653,Adrián Bernabé,Substitute,0,1,354334,11,354334.0,4345.0,73',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,0,21,276652,Sergio Camello,Substitute,0,1,261613,9,261613.0,4957.0,83',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,0,13,297362,Joan García,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,0,8,297371,Beñat Turrientes,Substitute,0,1,297373,10,297373.0,4945.0,83',0,0,-1,,,,2024-10-13 22:19:37
12488,699832,18220,away,1,4-2-3-1,1,0,20,303804,Juanlu Sanchez,Substitute,0,1,332613,2,332613.0,4335.0,73',0,0,-1,,,,2024-10-13 22:19:37
12489,699831,18216,home,0,4-1-4-1,1,1,1,332065,Hamza Alaa,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,6,380180,Mohamed Shehata,Right Back,2,0,0,-1,,,,1,382443,19,382443.0,5139.0,86',2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,13,359261,Karim El Debes,Left Back,3,0,0,-1,,,,1,382442,3,382442.0,2700.0,45',2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,17,183896,Mohamed Elneny,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,15,333179,Mohamed Tarek,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,5,308926,Hossam Abdelmaguid,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,14,195154,Zizo,Right Midfielder,7,0,0,-1,,,,1,356021,11,356021.0,698.0,12',2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,12,312563,Ahmed Koka,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,9,308929,Osama Faisal,Forward,9,0,0,-1,,,,1,352015,18,352015.0,5140.0,86',2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,7,314444,Mahmoud Saber,Center Left Midfielder,10,0,0,-1,,,,1,380179,8,380179.0,3315.0,56',2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,1,10,299619,Ibrahim Adel,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,0,18,352015,Bilal Mazhar,Substitute,0,1,308929,9,308929.0,5140.0,86',0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,0,11,356021,Mostafa Saad,Substitute,0,1,195154,14,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,0,8,380179,Ziad Kamal,Substitute,0,1,314444,7,314444.0,3315.0,56',0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,0,3,382442,Ahmed Atef,Substitute,0,1,359261,13,359261.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,0,19,382443,Mohamed Hamdy,Substitute,0,1,380180,6,380180.0,5139.0,86',0,0,-1,,,,2024-10-14 06:59:34
12489,699831,18216,home,0,4-1-4-1,1,0,16,382444,Ali El Gabry,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,1,206232,Munir El Kajoui,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,2,240233,Achraf Hakimi,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,11,325024,Zakaria El Ouahdi,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,18,319285,Amir Richardson,Left Midfielder,4,0,0,-1,,,,1,346947,7,346947.0,4615.0,77',2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,4,324177,Mehdi Boukamir,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,3,385051,Akram Nakach,Center Left Defender,6,0,0,-1,,,,1,317228,5,317228.0,4817.0,81',2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,10,331047,Ilias Akhomach,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,14,313354,Oussama Targhaline,Right Midfielder,8,0,0,-1,,,,1,319290,13,319290.0,3752.0,63',2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,9,276139,Soufiane Rahimi,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12489,699831,21931,away,1,4-2-3-1,1,1,8,336595,Bilal El Khannouss,Attacking Midfielder,10,0,0,-1,,,,1,385052,15,385052.0,4632.0,78',2024-10-14 06:59:34
