seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12695,706784,2503,home,1,4-2-3-1,1,1,16,204683,Francois-Joseph Sollacaro,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,23,362062,Tony Strata,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,3,197859,Stephen Quemper,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,8,359135,Mehdi Puch-Herrantz,Left Midfielder,4,0,0,-1,,,,1,85080,6,85080.0,4260.0,71',2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,31,377965,Jesah Ayessa,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,5,275654,Clément Vidal,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,21,357866,Ivane Chegra,Attacking Midfielder Right,7,0,0,-1,,,,1,206891,10,206891.0,3600.0,60',2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,25,260265,Julien Anziani,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,11,362491,Ben Touré,Forward,9,0,0,-1,,,,1,357000,22,357000.0,4260.0,71',2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,7,158896,Yoann Touzghar,Attacking Midfielder,10,0,0,-1,,,,1,215723,9,215723.0,3600.0,60',2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,1,4,154616,Michael Barreto,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,0,20,105036,Mohamed Youssouf,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,0,6,85080,Thomas Mangani,Substitute,0,1,359135,8,359135.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,0,35,356223,Anthony Khelifa,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,0,30,323810,Ghjuvanni Quilichini,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,0,9,215723,Christopher Ibayi,Substitute,0,1,158896,7,158896.0,3600.0,60',0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,0,10,206891,Valentin Jacob,Substitute,0,1,357866,21,357866.0,3600.0,60',0,0,-1,,,,2024-10-14 06:59:34
12695,706784,2503,home,1,4-2-3-1,1,0,22,357000,Moussa Soumano,Substitute,0,1,362491,11,362491.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,1,270869,Sebastien Cibois,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,11,289580,Mohamed Bouchouari,Right Midfielder,2,0,0,-1,,,,1,361808,17,361808.0,5160.0,86',2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,28,251550,Akim Abdallah,Left Midfielder,3,0,0,-1,,,,1,364905,23,364905.0,5160.0,86',2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,4,288341,Stone Muzalimoja Mambo,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,24,386378,Loni Quenabio,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,6,298856,Ahmad Ngouyamsa,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,8,305682,Wilitty Younoussa,Center Right Midfielder,7,0,0,-1,,,,1,333762,7,333762.0,4380.0,73',2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,10,297773,Waniss Taibi,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,26,365651,Yannis Verdier,Center Left Forward,9,0,0,-1,,,,1,324565,18,324565.0,4440.0,74',2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,20,297183,Dany Jean,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,1,5,283607,Giovanni Haag,Attacking Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,0,17,361808,Aurelien Pelon,Substitute,0,1,289580,11,289580.0,5160.0,86',0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,0,23,364905,Cheick Mohamed Doumbia,Substitute,0,1,251550,28,251550.0,5160.0,86',0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,0,7,333762,Mohamed Achi,Substitute,0,1,305682,8,305682.0,4380.0,73',0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,0,18,324565,Ibrahima Baldé,Substitute,0,1,365651,26,365651.0,4440.0,74',0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,0,16,211669,Lionel M'Pasi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706784,7719,away,0,3-5-2,1,0,21,197936,Joris Chougrani,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706785,3335,home,1,4-1-4-1,1,1,1,101451,Régis Gurtner,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706785,3335,home,1,4-1-4-1,1,1,14,132056,Sébastien Corchia,Right Back,2,0,0,-1,,,,1,384480,39,384480.0,5400.0,90'+3',2024-10-14 06:59:34
12695,706785,3335,home,1,4-1-4-1,1,1,19,306191,Remy Vita,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706785,3335,home,1,4-1-4-1,1,1,25,327355,Owen Gene,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706785,3335,home,1,4-1-4-1,1,1,2,164551,Mamadou Fofana,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706785,3335,home,1,4-1-4-1,1,1,5,268731,Osaze Urhoghide,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12695,706785,3335,home,1,4-1-4-1,1,1,7,258943,Antoine Leautey,Right Midfielder,7,0,0,-1,,,,1,362756,94,362756.0,4440.0,74',2024-10-14 06:59:34
