seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12586,702837,160,home,1,4-3-3,1,1,1,217092,Gianluigi Donnarumma,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,2,240233,Achraf Hakimi,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,25,290591,Nuno Mendes,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,17,288897,Vitinha,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-01-28 15:08:56
12586,702837,160,home,1,4-3-3,1,1,5,159047,Marquinhos,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,51,287005,Willian Pacho,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,33,345581,Warren Zaïre-Emery,Right Midfielder,7,0,0,-1,,,,1,379088,24,379088.0,5280.0,88',2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,87,355061,João Neves,Left Midfielder,8,0,0,-1,,,,1,214596,8,214596.0,4020.0,67',2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,10,229744,Ousmane Dembélé,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,19,274197,Lee Kang-in,Right Forward,10,0,0,-1,,,,1,328238,29,328238.0,4020.0,67',2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,1,14,336388,Désiré Doué,Left Forward,11,0,0,-1,,,,1,288896,9,288896.0,4320.0,72',2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,11,195821,Marco Asensio,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,24,379088,Senny Mayulu,Substitute,0,1,345581,33,345581.0,5280.0,88',0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,42,376505,Yoram Zague,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,35,316128,Lucas Beraldo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,9,288896,Gonçalo Ramos,Substitute,0,1,336388,14,336388.0,4320.0,72',0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,39,248699,Matvei Safonov,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,8,214596,Fabián Ruiz,Substitute,0,1,355061,87,355061.0,4020.0,67',0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,21,196200,Lucas Hernández,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,160,home,1,4-3-3,1,0,29,328238,Bradley Barcola,Substitute,0,1,274197,19,274197.0,4020.0,67',0,0,-1,,,,2025-01-06 05:40:45
12586,702837,174,away,0,4-2-3-1,1,1,16,258875,Philipp Köhn,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,174,away,0,4-2-3-1,1,1,2,310640,Vanderson,Right Back,2,0,0,-1,,,,1,240660,4,240660.0,5160.0,86',2025-01-28 15:08:56
12586,702837,174,away,0,4-2-3-1,1,1,12,240353,Caio Henrique,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
12586,702837,174,away,0,4-2-3-1,1,1,6,222628,Denis Zakaria,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-01-06 05:40:45
