seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12513,704223,22240,home,1.0,4-4-2,1,1,12,323228,Kyrylo Fesyun,Goalkeeper,1,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,2,322535,Illia Krupskyi,Right Back,2,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,26,384546,Oleksandr Martynyuk,Left Back,3,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,22,347562,Valentin Rubchynskyi,Center Right Midfielder,4,0,0.0,-1.0,,,,1,321354.0,25.0,321354.0,5220.0,87',2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,13,364096,Volodymyr Salyuk,Center Right Defender,5,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,16,326671,Arseniy Batagov,Center Left Defender,6,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,17,384983,Vladyslav Veleten,Right Midfielder,7,0,0.0,-1.0,,,,1,340193.0,15.0,340193.0,4260.0,71',2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,6,308982,Denys Shostak,Center Left Midfielder,8,0,0.0,-1.0,,,,1,338311.0,7.0,338311.0,3360.0,56',2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,9,288490,Danylo Sikan,Center Left Forward,9,0,0.0,-1.0,,,,1,370128.0,20.0,370128.0,3360.0,56',2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,14,384548,Oleh Fedor,Center Right Forward,10,0,0.0,-1.0,,,,1,342029.0,10.0,342029.0,2700.0,45',2024-10-14 01:54:08
12513,704223,22240,home,1.0,4-4-2,1,1,24,317298,Maksym Khlan,Left Midfielder,11,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
