seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12993,722704,21311,home,0,4-4-2,1,1,1,270383,Ubaid Ck,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,1,33,353616,Jagdeep Singh,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,1,25,375409,Emboklang Nongkhlaw,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,1,28,149420,Roly Bonevacia,Center Right Midfielder,4,0,0,-1,,,,1,375408,14,375408.0,5340.0,89',2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,1,12,268048,Mohammad Sajid Dhot,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,1,13,130707,Eli Sabiá,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-12-22 05:54:10
12993,722704,21311,home,0,4-4-2,1,1,17,332561,Rosenberg Gabriel,Right Midfielder,7,0,0,-1,,,,1,268356,30,268356.0,3660.0,61',2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,1,6,353607,Lalnuntluanga Bawitlung,Center Left Midfielder,8,0,0,-1,,,,1,356666,22,356666.0,5340.0,89',2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,1,77,280518,Ángel Orelien,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,1,7,155508,William,Center Right Forward,10,0,0,-1,,,,1,213090,11,213090.0,4200.0,70',2024-12-22 05:54:10
12993,722704,21311,home,0,4-4-2,1,1,21,299711,Lalromawia,Left Midfielder,11,0,0,-1,,,,1,351131,24,351131.0,4200.0,70',2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,27,268274,Abhishek Ambekar,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,10,226880,Faysal Shayesteh,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,11,213090,Juan Castañeda,Substitute,0,1,155508,7,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,14,375408,Arun Kumar D,Substitute,0,1,149420,28,149420.0,5340.0,89',0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,41,310282,Aryan Niraj Lamba,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,30,268356,Brandon Vanlalremdika,Substitute,0,1,332561,17,332561.0,3660.0,61',0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,55,332588,Gurmukh Singh,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,42,332996,Lawmna,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,24,351131,Lalchungnunga Chhangte,Substitute,0,1,299711,21,299711.0,4200.0,70',0,0,-1,,,,2024-11-23 06:02:05
12993,722704,21311,home,0,4-4-2,1,0,22,356666,R Lalbiakliana,Substitute,0,1,353607,6,353607.0,5340.0,89',0,0,-1,,,,2024-11-23 06:02:05
