seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12362,693910,22167,home,0,,1,1,10,283374,Na Sang-Ho,Forward,0,0,0,-1,,,,1,303013,9,303013.0,4920.0,82',2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,5,240487,Ibrahim Dresevic,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,90,228529,Sehun Oh,Forward,0,0,0,-1,,,,1,202073,18,202073.0,3780.0,63',2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,1,265963,Kosei Tani,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,14,378846,Jang Min-gyu,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,45,271373,Kai Shibato,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,10,283374,Na Sang-Ho,Forward,0,0,0,-1,,,,1,303013,9,303013.0,1380.0,23',2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,8,302014,Keiya Sento,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,7,378851,Yu Hirakawa,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,39,306562,Byron Vásquez,Midfielder,0,0,0,-1,,,,1,379755,33,379755.0,4980.0,83',2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,6,323689,Junya Suzuki,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,1,26,357047,Kotaro Hayashi,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,0,9,303013,Shota Fujio,Substitute,0,1,283374,10,283374.0,1380.0,23',1,304055,22,304055.0,4920.0,82',2024-10-14 01:54:08
12362,693910,22167,home,0,,1,0,22,304055,Kazuki Fujimoto,Substitute,0,1,303013,9,303013.0,1380.0,23',0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,0,22,304055,Kazuki Fujimoto,Substitute,0,1,303013,9,303013.0,4920.0,82',0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,0,42,378847,Koki Fukui,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,0,33,379755,Henry Mochizuki,Substitute,0,1,306562,39,306562.0,4980.0,83',0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,0,99,271308,Daigo Takahashi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,0,4,378842,Jurato Ikeda,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,22167,home,0,,1,0,18,202073,Hokuto Shimoda,Substitute,0,1,228529,90,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,13,320563,Issai Sakamoto,Forward,0,0,0,-1,,,,1,135355,7,135355.0,3300.0,55',2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,22,302004,Jun Ichimori,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,4,288348,Keisuke Kurokawa,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,23,271077,Dawhan,Midfielder,0,0,0,-1,,,,1,236617,6,236617.0,3300.0,55',2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,3,265955,Riku Handa,Defender,0,0,0,-1,,,,1,297249,40,297249.0,4260.0,71',2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,9,255725,Kota Yamada,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,47,254268,Juan Alano,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,15,253630,Takeru Kishimoto,Midfielder,0,0,0,-1,,,,1,253618,46,253618.0,3300.0,55',2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,5,252418,Genta Miura,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,20,219565,Shinnosuke Nakatani,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12362,693910,7102,away,0,,1,1,16,195097,Tokuma Suzuki,Midfielder,0,0,0,-1,,,,1,117024,10,117024.0,5100.0,85',2024-10-14 01:54:08
12362,693910,7102,away,0,,1,0,7,135355,Takashi Usami,Substitute,0,1,320563,13,320563.0,3300.0,55',0,0,-1,,,,2024-10-14 01:54:08
12362,693910,7102,away,0,,1,0,10,117024,Shu Kurata,Substitute,0,1,195097,16,195097.0,5100.0,85',0,0,-1,,,,2024-10-14 01:54:08
