seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12553,702424,7477,home,0,4-2-3-1,1,1,1,253648,Daiya Maekawa,Goalkeeper,1,0,0,-1,,,,1,274276,50,274276.0,2700.0,45',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,25,379613,Yuya Kuwasaki,Right Back,2,0,0,-1,,,,1,339744,44,339744.0,4380.0,73',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,19,237065,Ryo Hatsuse,Left Back,3,0,0,-1,,,,1,362957,33,362957.0,5340.0,89',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,6,153739,Takahiro Ogihara,Left Midfielder,4,0,0,-1,,,,1,184849,15,184849.0,2700.0,45',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,81,302698,Ryuho Kikuchi,Center Right Defender,5,0,0,-1,,,,1,347543,37,347543.0,5340.0,89',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,3,267844,Thuler,Center Left Defender,6,0,0,-1,,,,1,302696,4,302696.0,2700.0,45',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,2,313263,Nanasei Iino,Attacking Midfielder Right,7,0,0,-1,,,,1,275753,26,275753.0,2700.0,45',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,7,224053,Yosuke Ideguchi,Right Midfielder,8,0,0,-1,,,,1,388059,51,388059.0,4980.0,83',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,10,133286,Yuya Osako,Forward,9,0,0,-1,,,,1,271391,22,271391.0,2700.0,45',2024-10-14 06:59:34
12553,702424,7477,home,0,4-2-3-1,1,1,30,297241,Kakeru Yamauchi,Attacking Midfielder,10,0,0,-1,,,,1,346727,35,346727.0,3840.0,64',2024-10-14 06:59:34
