seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12826,715922,18459,home,1,4-1-4-1,1,1,1,257325,Mailson,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,14,286255,Fahad Bin Jumayah,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,8,313147,Saad Al Nasser,Left Back,3,0,0,-1,,,,1,371749,26,371749.0,3540.0,59',2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,18,224789,Aschraf El Mahdioui,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,3,186952,Andrei Girotto,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,23,286643,Waleed Al-Ahmed,Center Left Defender,6,0,0,-1,,,,1,256671,93,256671.0,780.0,13',2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,7,271460,Mohammed Al Kuwaykibi,Right Midfielder,7,0,0,-1,,,,1,287054,27,287054.0,3540.0,59',2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,24,219003,Flávio,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,11,233809,João Pedro,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,29,347036,Ahmed Saleh Bahusayn,Center Left Midfielder,10,0,0,-1,,,,1,271508,9,271508.0,2700.0,45',2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,1,99,269072,Musa Barrow,Left Midfielder,11,0,0,-1,,,,1,163121,76,163121.0,4920.0,82',2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,76,163121,Faycal Fajr,Substitute,0,1,269072,99,269072.0,4920.0,82',0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,26,371749,Ibrahim Alshuayl,Substitute,0,1,313147,8,313147.0,3540.0,59',0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,21,367657,Fahad Al Abdulrazzaq,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,6,357580,Sultan Al Farhan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,9,271508,Abdulfattah Adam,Substitute,0,1,347036,29,347036.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,32,270416,Al Mufarrij,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,13,269481,Abdulquddus Atiah,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,93,256671,Awn Al-Saluli,Substitute,0,1,286643,23,286643.0,780.0,13',0,0,-1,,,,2024-10-14 06:59:34
12826,715922,18459,home,1,4-1-4-1,1,0,27,287054,Sultan Mandash,Substitute,0,1,271460,7,271460.0,3540.0,59',0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,1,371413,Abdulraouf Al Dakheel,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,47,371420,Mohammed Al Dowaish,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,25,268468,Abdi Faris,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,66,362868,Rakan Kaabi,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,4,357645,Sami Al Khaibari,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,2,357641,Mukhir Al Rashidi,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,29,349836,Nawaf Al-Harthi,Attacking Midfielder Right,7,0,0,-1,,,,1,365524,15,365524.0,4920.0,82',2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,14,288758,Mansor Faiez Al-Beshe,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,10,256640,Fashion Sakala,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,55,389767,Ali Al Hussain,Attacking Midfielder,10,0,0,-1,,,,1,372810,27,372810.0,5340.0,89',2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,1,75,371415,Khalid Al Rammah,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,0,99,302750,Malek Al Abdulmonam,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12826,715922,21827,away,0,4-2-3-1,1,0,27,372810,Redha Alabdullah,Substitute,0,1,389767,55,389767.0,5340.0,89',0,0,-1,,,,2024-10-14 06:59:34
