seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12678,705513,3732,home,1,4-4-2,1,1,26,238762,Jorn Brondeel,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,99,308938,Tibo Persyn,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,23,319070,Yael Gil Y Muiños,Left Back,3,0,0,-1,,,,1,379781,34,379781.0,2700.0,45',2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,6,344755,Dyon Dorenbosch,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,18,313980,Farouq Limouri,Center Right Defender,5,0,0,-1,,,,1,384257,20,384257.0,4800.0,80',2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,33,212607,Collin Seedorf,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,7,224262,Sven Blummel,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,8,336547,Sven Simons,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,22,304576,Evan Rottier,Center Left Forward,9,0,0,-1,,,,1,365500,43,365500.0,5400.0,90'+1',2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,10,309372,Boris Van Schuppen,Center Right Forward,10,0,0,-1,,,,1,274861,27,274861.0,4380.0,73',2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,1,28,346923,Hugo Deenen,Left Midfielder,11,0,0,-1,,,,1,189827,11,189827.0,2700.0,45',2024-10-14 06:59:34
12678,705513,3732,home,1,4-4-2,1,0,27,274861,Achraf El Bouchataoui,Substitute,0,1,309372,10,309372.0,4380.0,73',0,0,-1,,,,2024-10-14 06:59:34
