seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12677,705512,148,home,0,4-2-3-1,1,1,1,195738,Walter Benítez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,3,240660,Jordan Teze,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,35,310134,Fredrik Oppegard,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,23,240912,Joey Veerman,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,22,239998,Jerdy Schouten,Center Right Defender,5,0,0,-1,,,,1,331153,32,331153.0,4860.0,81',2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,6,304478,Ryan Flamingo,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,11,310131,Johan Bakayoko,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,7,301416,Malik Tillman,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,9,127420,Luuk de Jong,Forward,9,0,0,-1,,,,1,289120,14,289120.0,5400.0,90'+4',2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,34,304572,Ismael Saibari,Attacking Midfielder,10,0,0,-1,,,,1,240965,20,240965.0,3840.0,64',2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,1,10,255344,Noa Lang,Attacking Midfielder Left,11,0,0,-1,,,,1,304592,21,304592.0,3840.0,64',2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,21,304592,Couhaib Driouech,Substitute,0,1,255344,10,255344.0,3840.0,64',0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,31,318533,Emmanuel Van De Blaak,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,14,289120,Ricardo Pepi,Substitute,0,1,127420,9,127420.0,5400.0,90'+4',0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,37,271844,Richard Ledezma,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,20,240965,Guus Til,Substitute,0,1,304572,34,304572.0,3840.0,64',0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,26,318782,Isaac Babadi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,24,325076,Niek Schiks,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,32,331153,Matteo Dams,Substitute,0,1,239998,22,239998.0,4860.0,81',0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,16,207780,Joel Drommel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,27,200161,Hirving Lozano,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,148,home,0,4-2-3-1,1,0,28,355957,Tygo Land,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,22,182424,Timon Wellenreuther,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,2,215172,Bart Nieuwkoop,Right Midfielder,2,0,0,-1,,,,1,257090,32,257090.0,4140.0,69',2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,15,151053,Marcos López,Left Midfielder,3,0,0,-1,,,,1,337084,26,337084.0,4620.0,77',2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,33,257786,Dávid Hancko,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,3,324952,Thomas Beelen,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,4,264828,Lutsharel Geertruida,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,6,290517,Ramiz Zerrouki,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,24,365021,Gjivai Zechiël,Center Left Midfielder,8,0,0,-1,,,,1,321081,27,321081.0,3600.0,60',2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,29,260775,Santiago Giménez,Forward,9,0,0,-1,,,,1,274277,9,274277.0,4140.0,69',2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,10,248677,Calvin Stengs,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,1,14,289114,Igor Paixão,Center Left Forward,11,0,0,-1,,,,1,228334,17,228334.0,4620.0,77',2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,0,27,321081,Antoni Milambo,Substitute,0,1,365021,24,365021.0,3600.0,60',0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,0,28,292393,Neraysho Kasanwirjo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,0,39,324320,Mikki van Sas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12677,705512,142,away,1,3-4-2-1,1,0,8,282230,Quinten Timber,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
