seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12827,716361,21978,home,1,5-3-2,1,1,1,324777,Femke Bastiaen,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,6,264732,Marthe Munsterman,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,5,334880,Amber Visscher,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,28,369851,Gera Op Den Kelder,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,15,359612,Lena Mahieu,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,50,392845,Kyra Koopman,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,23,317223,Dieke Van Straten,Center Right Midfielder,7,0,0,-1,,,,1,374815,11,374815.0,3991.0,67',2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,23,317223,Dieke Van Straten,Center Right Midfielder,7,0,0,-1,,,,1,374815,11,374815.0,4020.0,67',2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,10,312512,Maxime Snellenberg,Center Midfielder,8,0,0,-1,,,,1,309956,8,309956.0,4883.0,82',2024-10-13 22:19:37
12827,716361,21978,home,1,5-3-2,1,1,10,312512,Maxime Snellenberg,Center Midfielder,8,0,0,-1,,,,1,309956,8,309956.0,4920.0,82',2024-10-13 22:19:37
