seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13009,723969,22475,home,0,5-4-1,1,1,1,260055,Mathias Ranmarks,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,13,397308,Marius Cassidy,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,18,320485,Saadiq Faisal Elmi,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,5,397305,Ilir Kukleci,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,6,397297,Alexander Håpnes,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,31,323707,Kristoffer Lassen Harrison,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,11,129249,Thomas Jakobsen,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,23,289428,Noah Alexandersson,Center Right Midfielder,8,0,0,-1,,,,1,369973,20,369973.0,4080.0,68',2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,26,397303,Blerton Isufi,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,10,397300,Bo Hegland,Center Left Midfielder,10,0,0,-1,,,,1,397299,16,397299.0,4860.0,81',2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,1,9,227440,Sebastian Pedersen,Left Midfielder,11,0,0,-1,,,,1,318608,49,318608.0,4860.0,81',2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,17,310731,Laurent Jacques Mendy,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,49,318608,Benarfa ,Substitute,0,1,227440,9,227440.0,4860.0,81',0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,4,237054,Tim Björkström,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,24,346716,João Barros,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,20,369973,Aksel Potur,Substitute,0,1,289428,23,289428.0,4080.0,68',0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,12,345223,Jarik Sundling,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,2,397296,Marius Andresen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,16,397299,Håkon Krohg,Substitute,0,1,397300,10,397300.0,4860.0,81',0,0,-1,,,,2024-12-06 05:57:16
13009,723969,22475,home,0,5-4-1,1,0,29,397306,Katoto Mayonga,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,1,286433,Egil Selvik,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,38,325422,Vegard Solheim,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,3,243517,Oscar Krusnell,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,77,303358,Parfait Bizoza,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,4,272701,Anders Baertelsen,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,6,255666,Ulrik Fredriksen,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,7,319484,Mathias Dahl Sauer,Attacking Midfielder Right,7,0,0,-1,,,,1,338770,37,338770.0,3720.0,62',2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,13,305122,Anton Logi Lúdvíksson,Right Midfielder,8,0,0,-1,,,,1,354800,24,354800.0,3720.0,62',2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,9,285940,Sondre Liseth,Forward,9,0,0,-1,,,,1,222531,14,222531.0,4140.0,69',2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,8,202676,Morten Konradsen,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,1,11,303702,Sebastian Tounekti,Attacking Midfielder Left,11,0,0,-1,,,,1,342786,29,342786.0,5100.0,85',2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,40,361813,Almar Grindhaug,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,5,358514,Mikkel Fischer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,24,354800,Troy Nyhammer,Substitute,0,1,305122,13,305122.0,3720.0,62',0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,29,342786,Sory Diarra,Substitute,0,1,303702,11,303702.0,5100.0,85',0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,37,338770,Sander Innvær,Substitute,0,1,319484,7,319484.0,3720.0,62',0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,10,312113,Emir Derviskadic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,14,222531,Martin Samuelsen,Substitute,0,1,285940,9,285940.0,4140.0,69',0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,22,142162,Aslak Falch,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723969,3327,away,0,4-2-3-1,1,0,42,363197,Anders Bondhus,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-06 05:57:16
13009,723970,3327,home,1,4-2-3-1,1,1,1,286433,Egil Selvik,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,38,325422,Vegard Solheim,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,3,243517,Oscar Krusnell,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,77,303358,Parfait Bizoza,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,4,272701,Anders Baertelsen,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,6,255666,Ulrik Fredriksen,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,37,338770,Sander Innvær,Attacking Midfielder Right,7,0,0,-1,,,,1,319484,7,319484.0,3600.0,60',2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,29,342786,Sory Diarra,Right Midfielder,8,0,0,-1,,,,1,222531,14,222531.0,3600.0,60',2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,9,285940,Sondre Liseth,Forward,9,0,0,-1,,,,1,354800,24,354800.0,4500.0,75',2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,8,202676,Morten Konradsen,Attacking Midfielder,10,0,0,-1,,,,1,305122,13,305122.0,4440.0,74',2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,1,11,303702,Sebastian Tounekti,Attacking Midfielder Left,11,0,0,-1,,,,1,358514,5,358514.0,5040.0,84',2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,0,31,382795,Einar Fauskanger,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,0,20,365406,Libo Seone,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,0,42,363197,Anders Bondhus,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,0,14,222531,Martin Samuelsen,Substitute,0,1,342786,29,342786.0,3600.0,60',0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,0,5,358514,Mikkel Fischer,Substitute,0,1,303702,11,303702.0,5040.0,84',0,0,-1,,,,2024-12-09 12:52:48
13009,723970,3327,home,1,4-2-3-1,1,0,7,319484,Mathias Dahl Sauer,Substitute,0,1,338770,37,338770.0,3600.0,60',0,0,-1,,,,2024-12-09 12:52:48
