seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12330,693097,602,home,0.0,,1,1,1,133097,Andre Hansen,Goalkeeper,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,4,133161,Steffen Hagen,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,2,45172,Espen Ruud,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,10,218467,Mikael Ingebrigtsen,Forward,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,6,226976,Tobias Hammer Svendsen,Midfielder,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,3,280980,Josef Baccay,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,7,303703,Filip Rønningen Jørgensen,Midfielder,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,9,361860,Bork Bang-Kittilsen,Midfielder,0,0,0.0,-1.0,,,,1,305471.0,19.0,305471.0,4680.0,78',2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,8,312935,Solomon Owusu,Midfielder,0,0,0.0,-1.0,,,,1,162525.0,15.0,162525.0,4680.0,78',2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,5,342493,Tony Miettinen,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,1,11,334108,Fenuel Temesgen Tewelde,Midfielder,0,0,0.0,-1.0,,,,1,266145.0,20.0,266145.0,4320.0,72',2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,16,360145,Casper Andersen,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,13,361863,Samuel Skjeldal,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,12,347329,Peder Klausen,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,14,312991,Mihajlo Ivancevic,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,18,311742,Syver Aas,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,17,336756,Jesper Svenungsen Skau,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,19,305471,Ole Erik Midtskogen,Substitute,0,1,361860.0,9.0,361860.0,4680.0,78',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,20,266145,Bilal Njie,Substitute,0,1,334108.0,11.0,334108.0,4320.0,72',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,602,home,0.0,,1,0,15,162525,Etzaz Hussain,Substitute,0,1,312935.0,8.0,312935.0,4680.0,78',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,24,354800,Troy Nyhammer,Midfielder,0,0,0.0,-1.0,,,,1,338770.0,37.0,338770.0,3840.0,64',2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,2,356988,Claus Niyukuri,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,29,342786,Sory Diarra,Forward,0,0,0.0,-1.0,,,,1,365406.0,20.0,365406.0,4920.0,82',2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,25,359501,Mikkel Hope,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,13,305122,Anton Logi Lúdvíksson,Midfielder,0,0,0.0,-1.0,,,,1,306206.0,5.0,306206.0,5400.0,90'+4',2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,11,303702,Sebastian Tounekti,Midfielder,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,1,286433,Egil Selvik,Goalkeeper,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,4,272701,Anders Baertelsen,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,21,259165,Julius Eskesen,Midfielder,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,6,255666,Ulrik Fredriksen,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,1,16,114205,Bruno Leite,Midfielder,0,0,0.0,-1.0,,,,1,285940.0,9.0,285940.0,3840.0,64',2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,66,380208,Amidou Traore,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,20,365406,Libo Seone,Substitute,0,1,342786.0,29.0,342786.0,4920.0,82',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,41,360169,Mathias Myklebust,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,10,312113,Emir Derviskadic,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,37,338770,Sander Innvær,Substitute,0,1,354800.0,24.0,354800.0,3840.0,64',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,5,306206,Hlynur Freyr Karlsson,Substitute,0,1,305122.0,13.0,305122.0,5400.0,90'+4',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,9,285940,Sondre Liseth,Substitute,0,1,114205.0,16.0,114205.0,3840.0,64',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,22,142162,Aslak Falch,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693097,3327,away,1.0,,1,0,39,343865,Martin Alvsaker,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,19,305401,Júlíus Magnússon,Midfielder,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,6,249079,Philip Aukland,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,12,255624,Patrick Metcalfe,Midfielder,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,13,268573,Sondre Sorlokk,Midfielder,0,0,0.0,-1.0,,,,1,255089.0,14.0,255089.0,3960.0,66',2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,29,271333,Oscar Aga,Forward,0,0,0.0,-1.0,,,,1,208652.0,7.0,208652.0,3960.0,66',2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,22,290031,Maxwell Woledzi,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,17,290131,Sigurd Kvile,Defender,0,0,0.0,-1.0,,,,1,303104.0,3.0,303104.0,5100.0,85',2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,11,324418,Mai Traore,Forward,0,0,0.0,-1.0,,,,1,166727.0,9.0,166727.0,5040.0,84',2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,10,333792,Morten Bjorlo,Midfielder,0,0,0.0,-1.0,,,,1,153894.0,5.0,153894.0,2700.0,45',2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,4,378948,Stian Molde,Midfielder,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,1,30,379948,Jonathan Fischer,Goalkeeper,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,20,305758,Jeppe Kjaer Jensen,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,3,303104,Brage Skaret,Substitute,0,1,290131.0,17.0,290131.0,5100.0,85',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,18,378929,Ludvig Begby,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,1,378930,Håvar Jensen,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,14,255089,Joannes Bjartalid,Substitute,0,1,268573.0,13.0,268573.0,3960.0,66',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,23,218856,Erlend Segberg,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,5,153894,Simen Rafn,Substitute,0,1,333792.0,10.0,333792.0,2700.0,45',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,9,166727,Henrik Kjelsrud Johansen,Substitute,0,1,324418.0,11.0,324418.0,5040.0,84',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,3039,home,0.0,,1,0,7,208652,Brandur Hendriksson Olsen,Substitute,0,1,271333.0,29.0,271333.0,3960.0,66',0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,2980,away,1.0,,1,1,6,218466,Jostein Gundersen,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,2980,away,1.0,,1,1,20,333755,Fredrik Sjøvold,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,2980,away,1.0,,1,1,18,184879,Brede Moe,Defender,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,2980,away,1.0,,1,1,14,203670,Ulrik Saltnes,Midfielder,0,0,0.0,-1.0,,,,1,271088.0,26.0,271088.0,2700.0,45',2024-10-13 22:19:37
12330,693098,2980,away,1.0,,1,1,7,205924,Patrick Berg,Midfielder,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,2980,away,1.0,,1,1,12,217655,Nikita Haykin,Goalkeeper,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
12330,693098,2980,away,1.0,,1,1,23,235789,Jens Hauge,Forward,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-13 22:19:37
