seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12247,690695,2671,home,1,4-4-2,1,1,1,199653,Alexis Martín Arias,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,2,184081,Alan Benítez,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,37,387634,Leon Blanco Diego Basilio,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,6,171514,Rafael Carrascal,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,15,297324,Rodrigo Melgarejo,Center Right Defender,5,0,0,-1,,,,1,216061,32,216061.0,4380.0,73',2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,15,297324,Rodrigo Melgarejo,Center Right Defender,5,0,0,-1,,,,1,216061,32,216061.0,4320.0,72',2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,24,128008,Cristian Báez,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,22,268138,Derlis Rodriguez,Right Midfielder,7,0,0,-1,,,,1,318194,28,318194.0,4920.0,82',2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,22,268138,Derlis Rodriguez,Right Midfielder,7,0,0,-1,,,,1,318194,28,318194.0,4920.0,82',2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,7,252571,Enzo Giménez,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,19,113309,Diego Churín,Center Left Forward,9,0,0,-1,,,,1,205444,9,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,40,171014,Fernando Fernández,Center Right Forward,10,0,0,-1,,,,1,136357,11,136357.0,3660.0,61',2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,40,171014,Fernando Fernández,Center Right Forward,10,0,0,-1,,,,1,136357,11,136357.0,3720.0,62',2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,8,147245,Federico Carrizo,Left Midfielder,11,0,0,-1,,,,1,169883,4,169883.0,4920.0,82',2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,1,8,147245,Federico Carrizo,Left Midfielder,11,0,0,-1,,,,1,169883,4,169883.0,4980.0,83',2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,0,16,380145,Edgar Raul Paez Torales,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,0,28,318194,Alexis Fariña,Substitute,0,1,268138,22,268138.0,4920.0,82',0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,0,28,318194,Alexis Fariña,Substitute,0,1,268138,22,268138.0,4920.0,82',0,0,-1,,,,2024-10-14 06:59:34
12247,690695,2671,home,1,4-4-2,1,0,39,318196,Tobias Portillo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
