seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12761,712608,22064,home,0,4-3-3,1,1,93,202353,Simao Verza Bertelli,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,22,351596,Léo Alaba,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,3,341415,Rafael Rodrigues,Left Back,3,0,0,-1,,,,1,185902,24,185902.0,2700.0,45',2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,8,199532,Giorgi Aburjania,Center Midfielder,4,0,0,-1,,,,1,175220,47,175220.0,4028.0,68',2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,42,82720,Cristian Devenish,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,40,351447,Clayton,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,6,306537,Baptiste Roux,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,14,170646,Lucas Piazon,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,18,124021,Anderson Miguel da Silva,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,70,313293,Samuel,Right Forward,10,0,0,-1,,,,1,285046,16,285046.0,5384.0,90',2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,1,17,297141,John Mercado,Left Forward,11,0,0,-1,,,,1,236764,27,236764.0,5400.0,90'+7',2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,0,27,236764,Eric Veiga,Substitute,0,1,297141,17,297141.0,5400.0,90'+7',0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,0,88,138975,Pedro Trigueira,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,0,5,140164,Jorge Teixeira,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,0,47,175220,Jonatan Lucca,Substitute,0,1,199532,8,199532.0,4028.0,68',0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,0,24,185902,Kiki,Substitute,0,1,341415,3,341415.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,0,16,285046,Yair Mena,Substitute,0,1,313293,70,313293.0,5384.0,90',0,0,-1,,,,2024-10-14 06:59:34
12761,712608,22064,home,0,4-3-3,1,0,23,352200,Gustavo Mendonça,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,37,236200,Lucas França,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,22,289899,Gustavo,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,5,351497,José Gomes,Left Back,3,0,0,-1,,,,1,345749,25,345749.0,4267.0,72',2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,88,216371,Matheus Dias,Center Midfielder,4,0,0,-1,,,,1,165576,18,165576.0,4237.0,71',2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,4,269954,Ulisse,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,38,317232,Zé Vitor,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,10,312549,Luís Esteves,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,19,306580,Miguel Baeza,Left Midfielder,8,0,0,-1,,,,1,256605,8,256605.0,4210.0,71',2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,9,300872,Adrián Butzke,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,11,284787,Nigel Thomas,Right Forward,10,0,0,-1,,,,1,227257,7,227257.0,3430.0,58',2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,1,70,279183,Arvin Appiah,Left Forward,11,0,0,-1,,,,1,250594,17,250594.0,3425.0,58',2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,0,25,345749,Afonso Freitas,Substitute,0,1,351497,5,351497.0,4267.0,72',0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,0,18,165576,André Sousa,Substitute,0,1,216371,88,216371.0,4237.0,71',0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,0,33,351581,Francisco Gonçalves,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,0,7,227257,Ruben Macedo,Substitute,0,1,284787,11,284787.0,3430.0,58',0,0,-1,,,,2024-10-14 06:59:34
12761,712608,3472,away,0,4-3-3,1,0,17,250594,Daniel Penha,Substitute,0,1,279183,70,279183.0,3425.0,58',0,0,-1,,,,2024-10-14 06:59:34
