seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12565,710985,484,home,0,4-2-3-1,1,1,32,268690,Stefan Tarnovanu,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,2,169107,Valentin Cretu,Right Back,2,0,0,-1,,,,1,322480,20,322480.0,4260.0,71',2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,33,160008,Risto Radunovic,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,8,239767,Adrian Sut,Left Midfielder,4,0,0,-1,,,,1,308955,42,308955.0,3780.0,63',2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,30,261006,Siyabonga Ngezana,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,5,275398,Joyskim Dawa,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,15,289922,Marius Stefanescu,Attacking Midfielder Right,7,0,0,-1,,,,1,239814,25,239814.0,3780.0,63',2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,16,322756,Mihai Lixandru,Right Midfielder,8,0,0,-1,,,,1,276449,18,276449.0,2700.0,45',2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,19,240296,Daniel Popa,Forward,9,0,0,-1,,,,1,305788,11,305788.0,2700.0,45',2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,27,239870,Darius Olaru,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,1,29,316252,Alexandru Marian,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,21,164764,Vlad Chiriches,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,22,356054,Mihai Toma,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,20,322480,Nana Kwame Antwi,Substitute,0,1,169107,2,169107.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,42,308955,Baba Alhassan,Substitute,0,1,239767,8,239767.0,3780.0,63',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,11,305788,David Raul Miculescu,Substitute,0,1,240296,19,240296.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,70,285091,Luis Phelipe,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,18,276449,Malcom Sylas Edjomou,Substitute,0,1,322756,16,322756.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,6,252527,Dennis Harut,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,25,239814,Alexandru Baluta,Substitute,0,1,289922,15,289922.0,3780.0,63',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,99,239808,Andrei Vlad,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,12,225481,David Kiki,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,484,home,0,4-2-3-1,1,0,23,301866,Vl&#259;Du&#539; Andrei Pandele,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,30,219803,Edvinas Gertmonas,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,24,259264,Radu Boboc,Right Back,2,0,0,-1,,,,1,341048,8,341048.0,4260.0,71',2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,27,164767,Alexandru Chipciu,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,23,239439,Ovidiu Popescu,Center Midfielder,4,0,0,-1,,,,1,305763,26,305763.0,4860.0,81',2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,5,222003,Lucas Masoero,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,6,239864,Lucian Cristea,Center Left Defender,6,0,0,-1,,,,1,387394,13,387394.0,4320.0,72',2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,94,239873,Ovidiu Bic,Center Left Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,22,162275,Vadim Rata,Center Right Midfielder,8,0,0,-1,,,,1,205278,3,205278.0,4260.0,71',2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,9,289581,Adel Bettaieb,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,7,320973,Robert Mihai Silaghi,Center Right Forward,10,0,0,-1,,,,1,311987,77,311987.0,4260.0,71',2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,1,10,180608,Dan Nistor,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,33,341061,Andrei Cristian Gorcea,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,13,387394,Franck Tchassem,Substitute,0,1,239864,6,239864.0,4320.0,72',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,18,387393,Vlad Stefan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,21,387297,Sfait Mario,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,11,386333,Antonio Suciu,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,19,341059,Matei Moraru,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,8,341048,Dorin Marian Codrea,Substitute,0,1,259264,24,259264.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,77,311987,Vladislav Blanuta,Substitute,0,1,320973,7,320973.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,26,305763,Dorinel Gabriel Oancea,Substitute,0,1,239439,23,239439.0,4860.0,81',0,0,-1,,,,2024-10-14 06:59:34
12565,710985,8091,away,0,4-3-2-1,1,0,3,205278,Bogdan Mitrea,Substitute,0,1,162275,22,162275.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,90,302721,Razvan Sava,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,2,275205,Armend Thaci,Right Back,2,0,0,-1,,,,1,224531,19,224531.0,2700.0,45',2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,45,131648,Mário Makico Paulino,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,18,320951,Abdul Keita,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,44,217057,Anton Kresic,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,27,307848,Matei Ilie,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,10,119377,Ciprian Deac,Attacking Midfielder Right,7,0,0,-1,,,,1,235428,96,235428.0,5280.0,88',2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,26,240547,Andrei Artean,Right Midfielder,8,0,0,-1,,,,1,183893,11,183893.0,4800.0,80',2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,99,271546,Peter Godly Michael,Forward,9,0,0,-1,,,,1,335061,9,335061.0,2700.0,45',2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,77,149006,Panagiotis Tachtsidis,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,1,7,257145,Mohammed Kamara,Attacking Midfielder Left,11,0,0,-1,,,,1,274815,17,274815.0,4140.0,69',2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,82,292929,Alin Fica,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,3,246784,Aly Abeid,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,42,237854,Matija Boben,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,96,235428,Beni N'Kololo,Substitute,0,1,119377,10,119377.0,5280.0,88',0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,19,224531,Vasile Mogos,Substitute,0,1,275205,2,275205.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,11,183893,Constantin Paun-Alexandru,Substitute,0,1,240547,26,240547.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,6,158023,Arlind Ajeti,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,17,274815,Meriton Korenica,Substitute,0,1,257145,7,257145.0,4140.0,69',0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,89,303833,Otto Hindrich,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12565,710986,5260,home,1,4-2-3-1,1,0,8,323133,Robert Filip,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
