seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12860,718556,18616,home,0,4-1-4-1,1,1,32,313543,Xolani Ngcobo,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,15,325153,Khulekani Shezi,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,14,151870,Thabo Matlaba,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,26,262528,Sibusiso Magaqa,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,37,392111,Sbangani Zulu,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,13,313429,Lesego Manganyi,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,48,325162,Ayabulela Maxwele,Right Midfielder,7,0,0,-1,,,,1,384524,43,384524.0,4800.0,80',2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,12,231831,Kabelo Mahlasela,Center Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,38,313432,Levy Mashiane,Forward,9,0,0,-1,,,,1,262584,45,262584.0,4800.0,80',2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,10,313452,Andile Mpisane,Center Left Midfielder,10,0,0,-1,,,,1,247653,33,247653.0,3060.0,51',2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,1,11,367185,Sabelo Sithole,Left Midfielder,11,0,0,-1,,,,1,325154,18,325154.0,3660.0,61',2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,18,325154,Sanele Radebe,Substitute,0,1,367185,11,367185.0,3660.0,61',0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,33,247653,Sera Motebang,Substitute,0,1,313452,10,313452.0,3060.0,51',0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,25,228585,Mondli Mpoto,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,45,262584,Sedwyn George,Substitute,0,1,313432,38,313432.0,4800.0,80',0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,2,325157,Siphesihle Msomi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,77,359717,Hopewell Cele,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,43,384524,Sisanda Mbhele,Substitute,0,1,325162,48,325162.0,4800.0,80',0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,49,392092,Diteboho Mofokeng,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,18616,home,0,4-1-4-1,1,0,70,392093,Smiso Gumede,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,16,129306,Darren Keet,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,2,262579,Thamsanqa Mkhize,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,11,309031,Tshegofatso Nyama,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,12,129365,Kamohelo Mokotjo,Center Right Midfielder,4,0,0,-1,,,,1,363010,44,363010.0,4200.0,70',2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,25,193963,Lorenzo Gordinho,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,15,228597,Keanu Cupido,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,23,335863,Jaeden Rhodes,Right Midfielder,7,0,0,-1,,,,1,310690,24,310690.0,5100.0,85',2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,4,272645,Aprocius Petrus,Center Left Midfielder,8,0,0,-1,,,,1,218638,93,218638.0,2400.0,40',2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,21,316982,Prins Tjiueza,Center Left Forward,9,0,0,-1,,,,1,151221,9,151221.0,4140.0,69',2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,10,263331,Haashim Domingo,Center Right Forward,10,0,0,-1,,,,1,305612,27,305612.0,4200.0,70',2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,1,20,179142,Darwin González,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
12860,718556,7100,away,0,4-4-2,1,0,33,380604,Heaven Sereets,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 01:54:08
