seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12657,705040,20996,home,1,4-2-3-1,1,1,1,152190,Stefanos Kapino,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,4,214561,Basil Stillhart,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,3,272313,Tobias Schattin,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,7,179390,Luca Zuffi,Left Midfielder,4,0,0,-1,,,,1,200150,8,200150.0,5400.0,90'+3',2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,21,364370,Loïc Lüthi,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,16,229038,Remo Arnold,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,10,292924,Matteo Di Giusto,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,6,320854,Randy Schneider,Right Midfielder,8,0,0,-1,,,,1,314373,22,314373.0,4320.0,72',2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,84,346733,Labinot Bajrami,Forward,9,0,0,-1,,,,1,278645,28,278645.0,4860.0,81',2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,11,105140,Fabian Frei,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,1,90,307245,Josias Lukembila,Attacking Midfielder Left,11,0,0,-1,,,,1,312894,99,312894.0,4320.0,72',2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,8,200150,Musa Araz,Substitute,0,1,179390,7,179390.0,5400.0,90'+3',0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,28,278645,Antoine Baroan,Substitute,0,1,346733,84,346733.0,4860.0,81',0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,9,113442,Roman Buess,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,29,176914,Boubacar Fofana,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,26,363580,Ledjan Sahitaj,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,22,314373,Adrian Durrer,Substitute,0,1,320854,6,320854.0,4320.0,72',0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,99,312894,Nishan Burkart,Substitute,0,1,307245,90,307245.0,4320.0,72',0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,30,229853,Markus Kuster,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,20996,home,1,4-2-3-1,1,0,24,240584,Silvan Sidler,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,71,326765,Justin Hammel,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,2,207544,Dirk Abels,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,16,318778,Noah Persson,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,15,258270,Ayumu Seko,Left Midfielder,4,0,0,-1,,,,1,126518,11,126518.0,5340.0,89',2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,26,305459,Maksim Paskotši,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,4,274560,Kristers Tobers,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,19,274296,Mathieu Choinière,Attacking Midfielder Right,7,0,0,-1,,,,1,278517,17,278517.0,4320.0,72',2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,7,222445,Tsiy William Ndenge,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,18,362197,Lee Young-Jun,Forward,9,0,0,-1,,,,1,362290,25,362290.0,4860.0,81',2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,10,259715,Giotto Morandi,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,1,8,149565,Sonny Kittel,Attacking Midfielder Left,11,0,0,-1,,,,1,317872,9,317872.0,4860.0,81',2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,11,126518,Pascal Schürpf,Substitute,0,1,258270,15,258270.0,5340.0,89',0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,9,317872,Nikolas Muci,Substitute,0,1,149565,8,149565.0,4860.0,81',0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,17,278517,Tomás Verón Lupi,Substitute,0,1,274296,19,274296.0,4320.0,72',0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,29,201375,Manuel Kuttin,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,22,191017,Benno Schmitz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,53,190599,Tim Meyer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,3,179391,Saulo Decarli,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,6,149845,Amir Abrashi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705040,492,away,0,4-2-3-1,1,0,25,362290,Adama Bojang,Substitute,0,1,362197,18,362197.0,4860.0,81',0,0,-1,,,,2024-10-13 22:19:37
12657,705041,3019,home,0,3-4-2-1,1,1,25,183118,Yanick Brecher,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705041,3019,home,0,3-4-2-1,1,1,8,296553,Samuel Ballet,Right Midfielder,2,0,0,-1,,,,1,286180,22,286180.0,5100.0,85',2024-10-13 22:19:37
12657,705041,3019,home,0,3-4-2-1,1,1,20,357418,Calixte Ligue,Left Midfielder,3,0,0,-1,,,,1,323813,27,323813.0,3360.0,56',2024-10-13 22:19:37
12657,705041,3019,home,0,3-4-2-1,1,1,31,260065,Mirlind Kryeziu,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705041,3019,home,0,3-4-2-1,1,1,5,266937,Mariano Gómez,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705041,3019,home,0,3-4-2-1,1,1,24,220538,Nikola Katic,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12657,705041,3019,home,0,3-4-2-1,1,1,7,275016,Bledian Krasniqi,Center Right Midfielder,7,0,0,-1,,,,1,271902,2,271902.0,5100.0,85',2024-10-13 22:19:37
12657,705041,3019,home,0,3-4-2-1,1,1,17,338125,Cheick Oumar Conde,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
