seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12997,723483,22474,home,0,4-1-4-1,1,1,29,396519,Svante Hildeman,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,16,396523,Jesper Strid,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,2,396538,Rassa Rahmani,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,23,146816,Max Nilsson,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,4,396534,Gustaf Bruzelius,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,6,148562,Philip Andersson,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,8,396525,Robin Dzabic,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,10,396515,Adam Egnell,Center Right Midfielder,8,0,0,-1,,,,1,314166,7,314166.0,5280.0,88',2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,19,345801,Vincent Sundberg,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,18,396533,Constantino Capotondi,Center Left Midfielder,10,0,0,-1,,,,1,248664,9,248664.0,2700.0,45',2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,1,22,367408,Christian Stark,Left Midfielder,11,0,0,-1,,,,1,325347,47,325347.0,3840.0,64',2024-11-22 06:03:34
12997,723483,22474,home,0,4-1-4-1,1,0,20,396539,Xavier Odhiambo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-11-22 06:03:34
