seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12783,713895,22321,home,0,4-2-3-1,1,1,1,156808,Diogo Sousa,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,23,306019,Uzeyir Ergun,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,77,281465,Cenk Sen,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,26,325867,Musah Mohammed,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,29,172299,Christophe Hérelle,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,34,305573,Ali Aytemur,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,20,287704,Pedro Brazão,Attacking Midfielder Right,7,0,0,-1,,,,1,289541,7,289541.0,4740.0,79',2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,8,387309,Samet Yalçin,Right Midfielder,8,0,0,-1,,,,1,313332,19,313332.0,3600.0,60',2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,41,290465,Gökdeniz Bayrakdar,Forward,9,0,0,-1,,,,1,387300,48,387300.0,4740.0,79',2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,16,205323,Fredy,Attacking Midfielder,10,0,0,-1,,,,1,387306,21,387306.0,5220.0,87',2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,1,17,291836,Burak Coban,Attacking Midfielder Left,11,0,0,-1,,,,1,151560,10,151560.0,3600.0,60',2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,21,387306,Ahmet Aslan,Substitute,0,1,205323,16,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,10,151560,Kenan Ozer,Substitute,0,1,291836,17,291836.0,3600.0,60',0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,33,140953,Ondrej Celustka,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,7,289541,Zdravko Dimitrov,Substitute,0,1,287704,20,287704.0,4740.0,79',0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,70,300993,Ege Bilsel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,4,387310,Erkan Degismez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,19,313332,Osman Haqi,Substitute,0,1,387309,8,387309.0,3600.0,60',0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,11,275481,Omar Imeri,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,32,387311,Bahri Tosun,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,22321,home,0,4-2-3-1,1,0,48,387300,Celal Dumanli,Substitute,0,1,290465,41,290465.0,4740.0,79',0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,1,178731,Sokratis Dioudis,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,27,307379,Omurcan Artan,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,22,276378,Salem M'Bakata,Left Back,3,0,0,-1,,,,1,342737,15,342737.0,3540.0,59',2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,6,245912,Quentin Daubin,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,4,292078,Arda Kizildag,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,5,194126,Ertugrul Ersoy,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,14,215124,Cyril Mandouki,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,44,173816,Alexandru Maxim,Left Midfielder,8,0,0,-1,,,,1,240542,18,240542.0,3540.0,59',2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,19,208027,Kenan Kodro,Forward,9,0,0,-1,,,,1,270858,23,270858.0,5400.0,90'+1',2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,7,270325,Mustafa Eskihellac,Right Forward,10,0,0,-1,,,,1,204793,8,204793.0,4920.0,82',2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,1,10,316281,Kacper Kozlowski,Left Forward,11,0,0,-1,,,,1,165184,13,165184.0,3600.0,60',2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,0,87,346833,Eren Çakir,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,0,13,165184,Enric Saborit,Substitute,0,1,316281,10,316281.0,3600.0,60',0,0,-1,,,,2024-10-14 06:59:34
12783,713895,20070,away,1,4-3-3,1,0,16,388784,Ali Ablak,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
