seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12886,732185,6997,home,0,4-3-1-2,1,1,40,132233,Marco Bizot,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,7,164187,Kenny Lala,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,22,154532,Massadio Haidara,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,20,221527,Pierre Lees-Melou,Center Midfielder,4,0,0,-1,,,,1,333257,34,333257.0,4924.0,83',2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,5,186408,Brendan Chardonnet,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,44,10767,Soumaila Coulibaly,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,45,268966,Mahdi Camara,Right Midfielder,7,0,0,-1,,,,1,233835,26,233835.0,4921.0,83',2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,21,268591,Romain Faivre,Attacking Midfielder,8,0,0,-1,,,,1,330412,9,330412.0,4306.0,72',2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,19,192015,Ludovic Ajorque,Center Right Forward,9,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,17,308246,Abdallah Sima,Midfielder,10,0,0,-1,,,,1,259960,14,259960.0,3792.0,64',2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,1,8,250377,Hugo Magnetti,Left Midfielder,11,0,0,-1,,,,1,226970,6,226970.0,3785.0,64',2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,6,226970,Edimilson Fernandes,,0,1,250377,8,250377.0,3785.0,64',0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,50,388886,Noah Jauny,,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,30,260239,Grégoire Coudert,,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,14,259960,Mama Baldé,,0,1,308246,17,308246.0,3792.0,64',0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,12,363150,Luc Zogbe,,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,34,333257,Ibrahim Salah,,0,1,221527,20,221527.0,4924.0,83',0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,9,330412,Kamory Doumbia,,0,1,268591,21,268591.0,4306.0,72',0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,26,233835,Mathias Pereira Lage,,0,1,268966,45,268966.0,4921.0,83',0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,3,288540,Abdoulaye Ndiaye,,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,6997,home,0,4-3-1-2,1,0,25,323063,Julien Le Cardinal,,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,1,217092,Gianluigi Donnarumma,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,2,240233,Achraf Hakimi,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,25,290591,Nuno Mendes,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,17,288897,Vitinha,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-02-21 05:54:27
12886,732185,160,away,1,4-3-3,1,1,5,159047,Marquinhos,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-21 05:54:27
12886,732185,160,away,1,4-3-3,1,1,51,287005,Willian Pacho,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,87,355061,João Neves,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,8,214596,Fabián Ruiz,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,10,229744,Ousmane Dembélé,Forward,9,0,0,-1,,,,1,288896,9,288896.0,4917.0,82',2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,14,336388,Désiré Doué,Right Forward,10,0,0,-1,,,,1,274745,7,274745.0,3973.0,67',2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,1,29,328238,Bradley Barcola,Left Forward,11,0,0,-1,,,,1,274197,19,274197.0,4465.0,75',2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,21,196200,Lucas Hernández,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,35,316128,Lucas Beraldo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,80,290043,Arnau Tenas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,9,288896,Gonçalo Ramos,Substitute,0,1,229744,10,229744.0,4917.0,82',0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,7,274745,Khvicha Kvaratskhelia,Substitute,0,1,336388,14,336388.0,3973.0,67',0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,19,274197,Lee Kang-in,Substitute,0,1,328238,29,328238.0,4465.0,75',0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,39,248699,Matvei Safonov,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,3,207015,Presnel Kimpembe,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732185,160,away,1,4-3-3,1,0,24,379088,Senny Mayulu,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-02-12 05:47:15
12886,732186,256,home,0,4-3-3,1,1,1,40200,Kasper Schmeichel,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-02-13 05:50:42
12886,732186,256,home,0,4-3-3,1,1,2,293691,Alistair Johnston,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-02-13 05:50:42
12886,732186,256,home,0,4-3-3,1,1,3,119088,Greg Taylor,Left Back,3,0,0,-1,,,,1,205646,15,205646.0,3882.0,65',2025-02-13 05:50:42
12886,732186,256,home,0,4-3-3,1,1,42,84049,Callum McGregor,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-02-13 05:50:42
12886,732186,256,home,0,4-3-3,1,1,20,219273,Cameron Carter-Vickers,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-02-13 05:50:42
12886,732186,256,home,0,4-3-3,1,1,6,228619,Auston Trusty,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-02-13 05:50:42
12886,732186,256,home,0,4-3-3,1,1,27,314177,Arne Engels,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-02-13 05:50:42
