seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12665,715880,2980,home,1,4-3-3,1,1,12,217655,Nikita Haykin,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,5,206253,Brice Wembangomo,Right Back,2,0,0,-1,,,,1,302019,25,302019.0,4020.0,67',2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,15,238088,Fredrik Andre Bjørkan,Left Back,3,0,0,-1,,,,1,270885,30,270885.0,4800.0,80',2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,7,205924,Patrick Berg,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,18,184879,Brede Moe,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,6,218466,Jostein Gundersen,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,14,203670,Ulrik Saltnes,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,26,271088,Hakon Evjen,Left Midfielder,8,0,0,-1,,,,1,208353,19,208353.0,4020.0,67',2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,28,369640,Oscar Kapskarmo,Forward,9,0,0,-1,,,,1,218561,21,218561.0,4800.0,80',2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,20,333755,Fredrik Sjøvold,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,1,94,285947,August Mikkelsen,Left Forward,11,0,0,-1,,,,1,235789,23,235789.0,5040.0,84',2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,0,4,269732,Odin Bjortuft,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,0,44,321082,Magnus Brondbo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,0,25,302019,Isak Dybvik Määttä,Substitute,0,1,206253,5,206253.0,4020.0,67',0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,0,30,270885,Adam Sorensen,Substitute,0,1,238088,15,238088.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,0,23,235789,Jens Hauge,Substitute,0,1,285947,94,285947.0,5040.0,84',0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,0,1,227625,Julian Faye Lund,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,0,21,218561,Andreas Helmersen,Substitute,0,1,369640,28,369640.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12665,715880,2980,home,1,4-3-3,1,0,19,208353,Sondre Brunstad Fet,Substitute,0,1,271088,26,271088.0,4020.0,67',0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,40,184748,Fabrice Ondoa,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,2,306253,Daniels Balodis,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,25,143272,Petr Mares,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,27,326623,Adam Markhiev,Left Midfielder,4,0,0,-1,,,,1,305375,77,305375.0,4860.0,81',2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,23,222579,Herdi Prenga,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,43,259833,Ziga Lipuscek,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,9,212927,Janis Ikaunieks,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,26,252324,Stefan Panic,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,7,158049,Ismael Diomandé,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,49,258771,Martins Kigurs,Attacking Midfielder,10,0,0,-1,,,,1,275364,22,275364.0,3780.0,63',2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,1,10,272550,Emerson,Attacking Midfielder Left,11,0,0,-1,,,,1,289809,17,289809.0,540.0,9',2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,30,362295,Haruna Njie,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,15,385433,Rostand Ndjiki,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,8,363719,Lasha Odisharia,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,11,188986,Roberts Savalnieks,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,1,177884,Pavels Steinbors,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,77,305375,Luka Silagadze,Substitute,0,1,326623,27,326623.0,4860.0,81',0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,16,305061,Sergejs Vilkovs,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,17,289809,Alain Cedric Herve Kouadio,Substitute,0,1,272550,10,272550.0,540.0,9',0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,22,275364,Darko Lemajic,Substitute,0,1,258771,49,258771.0,3780.0,63',0,0,-1,,,,2024-10-14 06:59:34
12665,715880,12030,away,0,4-2-3-1,1,0,21,221323,Elvis Stuglis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,40,184748,Fabrice Ondoa,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,11,188986,Roberts Savalnieks,Right Back,2,0,0,-1,,,,1,385433,15,385433.0,3540.0,59',2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,30,362295,Haruna Njie,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,27,326623,Adam Markhiev,Left Midfielder,4,0,0,-1,,,,1,363719,8,363719.0,4620.0,77',2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,2,306253,Daniels Balodis,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,43,259833,Ziga Lipuscek,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,9,212927,Janis Ikaunieks,Attacking Midfielder Right,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,26,252324,Stefan Panic,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,7,158049,Ismael Diomandé,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,49,258771,Martins Kigurs,Attacking Midfielder,10,0,0,-1,,,,1,292400,18,292400.0,2700.0,45',2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,1,17,289809,Alain Cedric Herve Kouadio,Attacking Midfielder Left,11,0,0,-1,,,,1,221323,21,221323.0,4620.0,77',2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,18,292400,Dmitrijs Zelenkovs,Substitute,0,1,258771,49,258771.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,23,222579,Herdi Prenga,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,21,221323,Elvis Stuglis,Substitute,0,1,289809,17,289809.0,4620.0,77',0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,15,385433,Rostand Ndjiki,Substitute,0,1,188986,11,188986.0,3540.0,59',0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,1,177884,Pavels Steinbors,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,25,143272,Petr Mares,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,16,305061,Sergejs Vilkovs,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,77,305375,Luka Silagadze,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,22,275364,Darko Lemajic,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,12030,home,0,4-2-3-1,1,0,8,363719,Lasha Odisharia,Substitute,0,1,326623,27,326623.0,4620.0,77',0,0,-1,,,,2024-10-14 06:59:34
12665,715881,2980,away,1,4-3-3,1,1,1,227625,Julian Faye Lund,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,2980,away,1,4-3-3,1,1,20,333755,Fredrik Sjøvold,Right Back,2,0,0,-1,,,,1,208353,19,208353.0,3720.0,62',2024-10-14 06:59:34
12665,715881,2980,away,1,4-3-3,1,1,15,238088,Fredrik Andre Bjørkan,Left Back,3,0,0,-1,,,,1,270885,30,270885.0,3720.0,62',2024-10-14 06:59:34
12665,715881,2980,away,1,4-3-3,1,1,7,205924,Patrick Berg,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,2980,away,1,4-3-3,1,1,18,184879,Brede Moe,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,2980,away,1,4-3-3,1,1,6,218466,Jostein Gundersen,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12665,715881,2980,away,1,4-3-3,1,1,26,271088,Hakon Evjen,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
