seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12525,702011,9779,home,1,4-3-3,1,1,13,167060,Raúl Jiménez,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,15,387490,Cristian Perea,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,3,387493,Julio Díaz,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,16,387489,Chema Andrés,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,4,347425,Simo,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,5,364814,Yarek Gasiorowski,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,20,377843,Rayane Belaid,Right Midfielder,7,0,0,-1,,,,1,386257,19,386257.0,4860.0,81',2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,6,385017,Gerard Hernández,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,9,330242,Iker Bravo,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,11,363041,Daniel Rodríguez,Right Forward,10,0,0,-1,,,,1,364742,7,364742.0,4080.0,68',2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,1,2,375390,David Mella,Left Forward,11,0,0,-1,,,,1,387491,17,387491.0,4860.0,81',2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,19,386257,Yanis Senhadji,Substitute,0,1,377843,20,377843.0,4860.0,81',0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,14,380318,Jacobo Ramón,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,18,146679,Daniel Muñoz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,17,387491,Jesús Rodriguez,Substitute,0,1,375390,2,375390.0,4860.0,81',0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,7,364742,Assane Diao,Substitute,0,1,363041,11,363041.0,4080.0,68',0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,1,362874,Fran González,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,12,387496,Daniel Díaz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,8,306516,Miguel Carvalho,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,9779,home,1,4-3-3,1,0,10,387498,Pol Fortuny,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,1,362971,Justin Bengui Joao,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,2,331084,Saël Kumbedi,Right Back,2,0,0,-1,,,,1,355433,12,355433.0,4860.0,81',2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,3,381633,Aboubaka Soumahoro,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,8,359165,Valentin Atangana,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,5,355980,Jérémy Jacquet,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,4,345688,Yoni Gomis,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,10,363129,Dehmaine Assoumani,Attacking Midfielder Right,7,0,0,-1,,,,1,356651,7,356651.0,3720.0,62',2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,6,362974,Mayssam Benama,Right Midfielder,8,0,0,-1,,,,1,364764,18,364764.0,4380.0,73',2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,19,361809,Eli Junior Kroupi,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,11,346662,Jean-Mattéo Bahoya,Attacking Midfielder,10,0,0,-1,,,,1,379088,14,379088.0,3720.0,62',2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,1,20,371472,Saïmon Bouabré,Attacking Midfielder Left,11,0,0,-1,,,,1,346520,9,346520.0,3720.0,62',2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,0,18,364764,Mathis Amougou,Substitute,0,1,362974,6,362974.0,4380.0,73',0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,0,17,366911,Tidiam Gomis,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,0,7,356651,Lucas Michel,Substitute,0,1,363129,10,363129.0,3720.0,62',0,0,-1,,,,2024-10-14 06:59:34
12525,702011,6930,away,0,4-2-3-1,1,0,14,379088,Senny Mayulu,Substitute,0,1,346662,11,346662.0,3720.0,62',0,0,-1,,,,2024-10-14 06:59:34
