seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12234,703945,164,home,1,4-2-3-1,1,1,23,222375,Unai Simón,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,2,168531,Dani Carvajal,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,24,259910,Marc Cucurella,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,8,214596,Fabián Ruiz,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,3,214888,Robin Le Normand,Center Right Defender,5,0,0,-1,,,,1,157710,4,157710.0,4958.0,83',2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,14,159317,Aymeric Laporte,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,19,362150,Lamine Yamal,Attacking Midfielder Right,7,0,0,-1,,,,1,209581,6,209581.0,5329.0,89',2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,16,231828,Rodri,Right Midfielder,8,0,0,-1,,,,1,287266,18,287266.0,2700.0,45',2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,7,154446,Álvaro Morata,Forward,9,0,0,-1,,,,1,229018,21,229018.0,4042.0,68',2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,10,227765,Dani Olmo,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,1,17,312146,Nico Williams,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,0,15,297373,Álex Baena,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,0,18,287266,Martín Zubimendi,Substitute,0,1,231828,16,231828.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12234,703945,164,home,1,4-2-3-1,1,0,25,354334,Fermín López,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
