seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12659,705106,529,home,1,3-4-3,1,1,31,250169,Isak Pettersson,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,15,173040,Simon Hedlund,Right Midfielder,2,0,0,-1,,,,1,240486,19,240486.0,4260.0,71',2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,23,134644,Niklas Hult,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,2,380023,Terry Yegbe,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,4,278072,Gustav Henriksson,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,8,194092,Sebastian Holmén,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,27,334024,Besfort Zeneli,Center Right Midfielder,7,0,0,-1,,,,1,307747,28,307747.0,4980.0,83',2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,16,330724,Timothy Ouma,Center Left Midfielder,8,0,0,-1,,,,1,298404,6,298404.0,3900.0,65',2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,10,258492,Michael Baidoo,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,18,313976,Ahmed Qasem,Center Right Forward,10,0,0,-1,,,,1,174501,17,174501.0,3900.0,65',2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,1,9,202705,Arbër Zeneli,Center Left Forward,11,0,0,-1,,,,1,363494,24,363494.0,4320.0,72',2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,13,146012,Johan Larsson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,14,364995,Jalal Abdulai,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,24,363494,Camil Jebara,Substitute,0,1,202705,9,202705.0,4320.0,72',0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,1,360882,Melker Uppenberg,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,28,307747,Noah Soderberg,Substitute,0,1,334024,27,334024.0,4980.0,83',0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,6,298404,Andri Fannar Baldursson,Substitute,0,1,330724,16,330724.0,3900.0,65',0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,30,287797,Marcus Bundgaard Sorensen,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,19,240486,Rami Kaib,Substitute,0,1,173040,15,173040.0,4260.0,71',0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,17,174501,Per Frick,Substitute,0,1,313976,18,313976.0,3900.0,65',0,0,-1,,,,2024-10-14 06:59:34
12659,705106,529,home,1,3-4-3,1,0,11,321407,Eggert Aron Gudmundsson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,1,210092,Ivica Ivusic,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,77,107995,João Correia,Right Back,2,0,0,-1,,,,1,33227,70,33227.0,4740.0,79',2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,3,263085,Matías Melluso,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,6,284193,Pedro Pelágio,Left Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,5,202422,David Goldar,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,4,220704,Josef Kvida,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,22,162424,Muamer Tankovic,Attacking Midfielder Right,7,0,0,-1,,,,1,274671,2,274671.0,3600.0,60',2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,25,301031,Moustapha Name,Right Midfielder,8,0,0,-1,,,,1,277212,24,277212.0,2700.0,45',2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,10,221730,Jairo,Forward,9,0,0,-1,,,,1,303503,11,303503.0,4740.0,79',2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,30,266180,Vlad Dragomir,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,1,7,258886,Bruno,Attacking Midfielder Left,11,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,2,274671,Kostas Pileas,Substitute,0,1,162424,22,162424.0,3600.0,60',0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,24,277212,Onni Valakari,Substitute,0,1,301031,25,301031.0,2700.0,45',0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,93,235291,Neophytos Michael,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,27,199892,Patrick Twumasi,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,11,303503,Jajá,Substitute,0,1,221730,10,221730.0,4740.0,79',0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,80,385385,Christos Efzona,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,34,385393,Diogo Dall'Igna,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,81,387124,Georgios Kolotas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705106,22281,away,0,4-2-3-1,1,0,70,33227,Marios Elia,Substitute,0,1,107995,77,107995.0,4740.0,79',0,0,-1,,,,2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,1,330678,Péter Szappanos,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,11,219448,Attila Osvath,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,14,385327,Erik Silye,Left Midfielder,3,0,0,-1,,,,1,257845,29,257845.0,4802.0,81',2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,14,385327,Erik Silye,Left Midfielder,3,0,0,-1,,,,1,257845,29,257845.0,2700.0,45',2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,30,219125,János Szabó,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,2,238204,Akos Kinyik,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,24,219452,Bence Lenzser,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,8,235987,Balázs Balogh,Center Right Midfielder,7,0,0,-1,,,,1,220873,10,220873.0,2700.0,45',2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,21,343592,Kristóf Papp,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,15,308520,Norbert Könyves,Center Left Forward,9,0,0,-1,,,,1,183016,13,183016.0,3693.0,62',2024-10-14 06:59:34
12659,705107,11523,home,0,3-5-2,1,1,27,275449,Balint Szabo,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
