seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12669,716263,7759,home,1.0,,1,1,84,75126,Felipe,Goalkeeper,1,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,4,305147,Kevin D'Anzico,Defender,2,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,5,305141,Theo Brusco,Defender,3,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,55,352279,Leandro Borges,Midfielder,4,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,25,189655,Geoffrey Franzoni,Defender,5,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,21,366284,Ludovic Rauch,Defender,6,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,10,344610,Guilaume Trani,Midfielder,7,0,0.0,-1.0,,,,1,258698.0,77.0,258698.0,5400.0,90'+4',2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,6,352436,Diogo Silva,Midfielder,8,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,23,387254,Rychelmy Rocha Santos Silva,Forward,9,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,32,185979,Federico Andrada,Forward,10,0,0.0,-1.0,,,,1,319529.0,11.0,319529.0,4680.0,78',2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,1,28,215728,Jorge Gabriel da Costa Monteiro,Midfielder,11,0,0.0,-1.0,,,,1,122307.0,9.0,122307.0,5340.0,89',2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,9,122307,Andreas Buch,Substitute,0,1,215728.0,28.0,215728.0,5340.0,89',0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,88,387774,Pedro Mendes,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,19,385462,Alisson Dos Santos,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,45,366279,Paulo Rafael Ribeiro,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,30,366267,Rui Nibra,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,22,352264,Gonçalo Lixa,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,11,319529,Gustavo,Substitute,0,1,185979.0,32.0,185979.0,4680.0,78',0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,1,291250,Evan Da Costa E Sousa,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,77,258698,Gianluca Bei,Substitute,0,1,344610.0,10.0,344610.0,5400.0,90'+4',0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,8,215354,Fabio Cerqueira Martins,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7759,home,1.0,,1,0,17,354007,Afonso Sousa,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,71,212220,Sergei Ignatovich,Goalkeeper,1,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,23,237805,Temirlan Erlanov,Defender,2,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,25,194146,Sergiy Malyi,Defender,3,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,32,171980,Igor Plastun,Midfielder,4,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,5,189623,Gafurzhan Suyumbayev,Defender,5,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,19,195618,Yevhen Makarenko,Defender,6,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,8,192898,Askhat Tagybergen,Midfielder,7,0,0.0,-1.0,,,,1,221910.0,21.0,221910.0,4740.0,79',2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,22,320303,Sultanbek Astanov,Midfielder,8,0,0.0,-1.0,,,,1,203721.0,2.0,203721.0,2700.0,45',2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,41,234915,Artem Besedin,Forward,9,0,0.0,-1.0,,,,1,305292.0,98.0,305292.0,2700.0,45',2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,9,178492,Bauyrzhan Islamkhan,Forward,10,0,0.0,-1.0,,,,1,272047.0,10.0,272047.0,3780.0,63',2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,1,7,321888,Shakhboz Umarov,Midfielder,11,0,0.0,-1.0,,,,1,258640.0,6.0,258640.0,4260.0,71',2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,0,2,203721,Reginaldo,Substitute,0,1,320303.0,22.0,320303.0,2700.0,45',0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,0,3,253561,Cristian Tovar,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,0,6,258640,Aybol Abiken,Substitute,0,1,321888.0,7.0,321888.0,4260.0,71',0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,0,10,272047,Jasrubek Yakhshiboev,Substitute,0,1,178492.0,9.0,178492.0,3780.0,63',0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,0,17,275768,Zlatan Sehovic,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
12669,716263,7962,away,0.0,,1,0,1,289664,Bekkhan Shaizada,Substitute,0,0,0.0,-1.0,,,,0,0.0,-1.0,,,,2024-10-14 01:54:08
