seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12946,721617,19256,home,1,4-3-3,1,1,1,264853,Christiane Endler,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,12,236710,Ellie Carpenter,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,23,285186,Sofie Svava,Left Back,3,0,0,-1,,,,1,264964,2,264964.0,4502.0,76',2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,26,228716,Lindsey Horan,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,21,209687,Vanessa Gilles,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,3,158816,Wendie Renard,Center Left Defender,6,0,0,-1,,,,1,288448,13,288448.0,4813.0,81',2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,10,219775,Dzsenifer Marozsán,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,17,219946,Daniëlle van de Donk,Left Midfielder,8,0,0,-1,,,,1,219938,8,219938.0,4507.0,76',2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,6,340420,Melchie Dumornay,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,11,219121,Kadidiatou Diani,Right Forward,10,0,0,-1,,,,1,188067,14,188067.0,4802.0,81',2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,1,22,373811,Tabitha Chawinga,Left Forward,11,0,0,-1,,,,1,219116,7,219116.0,3638.0,61',2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,30,188014,Laura Benkarth,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,15,370010,Wassa Sangaré,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,32,353350,Maeline Mendy,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,16,330675,Feerine Belhadj,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,19,328107,Kysha Sylla,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,18,311192,Alice Sombath,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,27,311191,Vicki Bècho,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,13,288448,Damaris Egurrola,Substitute,0,1,158816,3,158816.0,4813.0,81',0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,2,264964,Sofia Huerta,Substitute,0,1,285186,23,285186.0,4502.0,76',0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,8,219938,Sara Däbritz,Substitute,0,1,219946,17,219946.0,4507.0,76',0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,7,219116,Amel Majri,Substitute,0,1,373811,22,373811.0,3638.0,61',0,0,-1,,,,2024-10-13 23:19:26
12946,721617,19256,home,1,4-3-3,1,0,14,188067,Ada Hegerberg,Substitute,0,1,219121,11,219121.0,4802.0,81',0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,1,328145,Gamze Nur Yaman,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,20,339684,Berna Yeniçeri,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,99,392919,Benan Altintas,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,16,339674,Ebru Topçu,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,5,349534,Eda Karatas,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,4,320400,Blessing Demehin,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,18,339254,Kristina Bakarandze,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,8,339688,Emine Ecem Esen,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,12,298490,Andrea Staskova,Forward,9,0,0,-1,,,,1,339259,22,339259.0,4658.0,78',2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,11,158882,Catalina Usme,Rear Center Forward,10,0,0,-1,,,,1,370335,25,370335.0,3999.0,67',2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,1,7,339677,Arzu Karabulut,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,22,339259,Nazlican Parlak,Substitute,0,1,298490,12,298490.0,4658.0,78',0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,25,370335,Hapsatou Diallo,Substitute,0,1,158882,11,158882.0,3999.0,67',0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,21,392911,Ecem Cümert,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,77,392914,Irem Eren,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,2,230866,Jazmin Jackmon,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,24,392920,Arzu Akkurt,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,13,392949,Fatma Öztürk,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,10,392951,Ismigül Yalçiner,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721617,22406,away,0,4-4-1-1,1,0,23,392952,Müge Inan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12946,721618,21685,home,1,4-4-2,1,1,12,334311,Camelia Ceasar,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12946,721618,21685,home,1,4-4-2,1,1,25,258835,Frederikke Thogersen,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12946,721618,21685,home,1,4-4-2,1,1,3,317694,Lucia Di Guglielmo,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12946,721618,21685,home,1,4-4-2,1,1,8,144829,Saki Kumagai,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12946,721618,21685,home,1,4-4-2,1,1,2,283106,Moeka Minami,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
12946,721618,21685,home,1,4-4-2,1,1,32,255462,Elena Linari,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 22:19:37
