seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12955,721837,20907,home,1,4-4-2,1,1,1,158733,Almuth Schult,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,5,381632,Ellie Wheeler,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,18,337181,Izzy Rodriguez,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,10,212192,Lo'eau LaBonta,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,15,230970,Alana Cook,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,27,226777,Kayla Sharples,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,17,325236,Michelle Cooper,Right Midfielder,7,0,0,-1,,,,1,390133,33,390133.0,4920.0,82',2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,14,344404,Claire Hutton,Center Left Midfielder,8,0,0,-1,,,,1,158723,11,158723.0,4920.0,82',2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,99,239984,Debinha,Center Left Forward,9,0,0,-1,,,,1,262674,2,262674.0,5400.0,90',2024-11-20 18:31:50
12955,721837,20907,home,1,4-4-2,1,1,16,290266,Vanessa DiBernardo,Center Right Forward,10,0,0,-1,,,,1,225383,22,225383.0,5400.0,90',2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,1,6,379824,Temwa Chawinga,Left Midfielder,11,0,0,-1,,,,1,214254,7,214254.0,2700.0,45',2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,0,2,262674,Regan Steigleder,Substitute,0,1,239984,99,239984.0,5400.0,90',0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,0,11,158723,Desiree Scott,Substitute,0,1,344404,14,344404.0,4920.0,82',0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,0,7,214254,Elizabeth Ball,Substitute,0,1,379824,6,379824.0,2700.0,45',0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,0,22,225383,Bayley Feist,Substitute,0,1,290266,16,290266.0,5400.0,90',0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,0,21,249629,Adrianna Franch,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,0,25,290250,Kristen Hamilton,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,0,23,367904,Katie Fraine,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,20907,home,1,4-4-2,1,0,33,390133,Mwanalima Jereko,Substitute,0,1,325236,17,325236.0,4920.0,82',0,0,-1,,,,2024-10-26 13:50:23
12955,721837,15364,away,0,4-1-4-1,1,1,38,211609,Cassie Miller,Goalkeeper,1,0,0,-1,,,,1,211130,4,211130.0,5400.0,90',2024-10-26 13:50:23
12955,721837,15364,away,0,4-1-4-1,1,1,3,328199,Bruninha,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-11-03 13:39:59
12955,721837,15364,away,0,4-1-4-1,1,1,8,280976,Taryn Torres,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,15364,away,0,4-1-4-1,1,1,14,242159,Nealy Martin,Defensive Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
12955,721837,15364,away,0,4-1-4-1,1,1,22,245160,Mandy Freeman,Center Right Defender,5,0,0,-1,,,,1,286464,41,286464.0,3960.0,66',2024-10-26 13:50:23
12955,721837,15364,away,0,4-1-4-1,1,1,21,306701,Sam Hiatt,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-26 13:50:23
