seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12331,693349,20000,home,0,,1,1,9,186675,Lucas Coutinho,Midfielder,0,0,0,-1,,,,1,316375,10,316375.0,3780.0,63',2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,8,242652,Ualefi Rodrigues Dos Reis,Midfielder,0,0,0,-1,,,,1,360625,50,360625.0,4320.0,72',2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,15,245014,Tim Trilk,Goalkeeper,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,20,254297,Ropapa Mensah,Forward,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,4,267210,Declan Watters,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,16,273871,Ricky Ruiz,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,5,287952,Leo Folla,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,6,361546,Leopoldo Plascencia,Midfielder,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,14,338759,Pedro Hernandez,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,22,339839,Stefan Lukic,Midfielder,0,0,0,-1,,,,1,227211,11,227211.0,3780.0,63',2024-10-13 23:19:26
12331,693349,20000,home,0,,1,1,7,346402,Yahir Paez,Defender,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,0,11,227211,Chevone Marsh,Substitute,0,1,339839,22,339839.0,3780.0,63',0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,0,34,381575,Fernando Guerrero,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12331,693349,20000,home,0,,1,0,50,360625,Stefan Cvetanovic,Substitute,0,1,242652,8,242652.0,4320.0,72',0,0,-1,,,,2024-10-13 23:19:26
