seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
12333,721318,21354,home,1,4-2-3-1,1,1,1,303470,Edward Delgado,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,27,339082,Bruno Rendón,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,13,313001,Lucky Opara,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,6,288236,Jackson Dietrich,Left Midfielder,4,0,0,-1,,,,1,183800,23,183800.0,4380.0,73',2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,4,361679,David Garcia,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,2,302984,Brecc Evans,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,7,360463,Real Gill,Attacking Midfielder Right,7,0,0,-1,,,,1,259552,66,259552.0,3480.0,58',2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,15,276698,Patrick Langlois,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,20,351224,Ethan Hoard,Forward,9,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,30,273717,Isidro Martinez,Attacking Midfielder,10,0,0,-1,,,,1,173380,8,173380.0,4380.0,73',2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,1,19,169558,Billy King,Attacking Midfielder Left,11,0,0,-1,,,,1,286800,11,286800.0,5040.0,84',2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,0,11,286800,Mark Hernández,Substitute,0,1,169558,19,169558.0,5040.0,84',0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,0,34,277852,Daniel Robles,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,0,12,273248,Russell Shealy,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,0,66,259552,Noah Powder,Substitute,0,1,360463,7,360463.0,3480.0,58',0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,0,5,191345,Johnny Fenwick,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,0,23,183800,Jake Keegan,Substitute,0,1,288236,6,288236.0,4380.0,73',0,0,-1,,,,2024-10-13 23:19:26
12333,721318,21354,home,1,4-2-3-1,1,0,8,173380,Enock Kwakwa,Substitute,0,1,273717,30,273717.0,4380.0,73',0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,1,221601,Bernd Schipmann,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,22,291050,Stephen Payne,Right Back,2,0,0,-1,,,,1,302886,10,302886.0,4680.0,78',2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,16,302901,Jake Crull,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,21,288154,Jimmie Villalobos,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,5,245065,Timmy Mehl,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,4,286454,Mitchell Osmond,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,8,316342,Devin Boyce,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,6,23425,John Murphy Jr.,Center Left Midfielder,8,0,0,-1,,,,1,245017,12,245017.0,5100.0,85',2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,17,235407,Derek Gebhard,Center Left Forward,9,0,0,-1,,,,1,276472,19,276472.0,3900.0,65',2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,9,254015,Christian Chaney,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,1,7,296278,Wolfgang Prentice,Left Midfielder,11,0,0,-1,,,,1,220460,25,220460.0,3900.0,65',2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,0,2,366511,Michael Chilaka,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,0,19,276472,Juan Galindrez,Substitute,0,1,235407,17,235407.0,3900.0,65',0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,0,10,302886,Aiden Mesias,Substitute,0,1,291050,22,291050.0,4680.0,78',0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,0,11,249738,Cherif Dieye,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,0,12,245017,Garrett Mclaughlin,Substitute,0,1,23425,6,23425.0,5100.0,85',0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,0,25,220460,Ferrety Sousa,Substitute,0,1,296278,7,296278.0,3900.0,65',0,0,-1,,,,2024-10-13 23:19:26
12333,721318,19995,away,0,4-4-2,1,0,99,186349,Martin Sanchez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-13 23:19:26
12332,720738,19995,home,1,4-4-2,1,1,1,221601,Bernd Schipmann,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,22,291050,Stephen Payne,Right Back,2,0,0,-1,,,,1,220460,25,220460.0,3840.0,64',2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,16,302901,Jake Crull,Left Back,3,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,21,288154,Jimmie Villalobos,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,5,245065,Timmy Mehl,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,4,286454,Mitchell Osmond,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,8,316342,Devin Boyce,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,6,23425,John Murphy Jr.,Center Left Midfielder,8,0,0,-1,,,,1,302886,10,302886.0,4440.0,74',2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,17,235407,Derek Gebhard,Center Left Forward,9,0,0,-1,,,,1,276472,19,276472.0,3840.0,64',2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,9,254015,Christian Chaney,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,1,7,296278,Wolfgang Prentice,Left Midfielder,11,0,0,-1,,,,1,366511,2,366511.0,4440.0,74',2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,0,10,302886,Aiden Mesias,Substitute,0,1,23425,6,23425.0,4440.0,74',0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,0,11,249738,Cherif Dieye,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,0,12,245017,Garrett Mclaughlin,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,0,19,276472,Juan Galindrez,Substitute,0,1,235407,17,235407.0,3840.0,64',0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,0,2,366511,Michael Chilaka,Substitute,0,1,296278,7,296278.0,4440.0,74',0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,0,99,186349,Martin Sanchez,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,19995,home,1,4-4-2,1,0,25,220460,Ferrety Sousa,Substitute,0,1,291050,22,291050.0,3840.0,64',0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,1,235763,Austin Pack,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,17,289142,Clay Dimick,Right Back,2,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,13,304133,Anton Sorenson,Left Back,3,0,0,-1,,,,1,294951,5,294951.0,4860.0,81',2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,6,303617,Omar Ciss,Left Midfielder,4,0,0,-1,,,,1,365851,24,365851.0,5280.0,88',2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,7,319122,Rayan Djedje,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,4,339148,Nick Spielman,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,8,145151,Joel Johnson Alajarin,Attacking Midfielder Right,7,0,0,-1,,,,1,133285,10,133285.0,4800.0,80',2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,27,360319,Bachir Ndiaye,Right Midfielder,8,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,56,86215,Gabriel Obertan,Forward,9,0,0,-1,,,,1,359541,18,359541.0,4800.0,80',2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,14,360318,Luis Alvarez,Attacking Midfielder,10,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,1,11,303451,Tresor Mbuyu,Attacking Midfielder Left,11,0,0,-1,,,,1,188095,21,188095.0,4200.0,70',2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,0,10,133285,Miguel Ibarra,Substitute,0,1,145151,8,145151.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,0,18,359541,Nelson Pierre,Substitute,0,1,86215,56,86215.0,4800.0,80',0,0,-1,,,,2024-10-14 06:59:34
12332,720738,17826,away,0,4-2-3-1,1,0,3,303759,Hugh Roberts,Substitute,0,0,0,-1,,,,0,0,-1,,,,2024-10-14 06:59:34
