seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12874,2024,AFC.CUP,20912,85219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:22
12874,2024,AFC.CUP,21017,89094,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-12-07 05:59:29
12874,2024,AFC.CUP,7114,90787,3,0,4,3,2,0,0,0,0,1,5,1,0,0,1,2024-12-07 05:59:32
12874,2024,AFC.CUP,7119,91276,4,1,3,4,1,0,0,0,0,0,0,0,0,0,3,2024-12-07 05:59:27
12874,2024,AFC.CUP,15106,92704,6,0,3,3,0,0,0,0,0,0,1,0,0,0,9,2024-12-07 05:59:30
12874,2024,AFC.CUP,7119,97152,4,1,3,3,0,0,0,1,0,3,9,1,0,0,3,2024-12-07 05:59:27
12874,2024,AFC.CUP,8293,102549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:31
12874,2024,AFC.CUP,5327,107530,3,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2024-12-07 05:59:34
12874,2024,AFC.CUP,8217,107962,6,3,4,2,2,0,0,1,0,0,4,0,0,0,3,2024-12-07 05:59:31
12874,2024,AFC.CUP,18203,112373,6,1,7,4,0,0,0,0,0,0,6,0,0,0,6,2024-12-07 05:59:35
12874,2024,AFC.CUP,8293,113148,6,0,5,3,1,0,0,1,0,0,1,0,0,0,11,2024-12-07 05:59:31
12874,2024,AFC.CUP,7526,113290,6,2,3,1,0,0,0,0,0,2,5,1,0,0,5,2024-12-07 05:59:33
12874,2024,AFC.CUP,8040,115657,4,3,5,2,2,0,0,0,0,1,1,1,0,0,3,2024-12-07 05:59:29
12874,2024,AFC.CUP,18203,117009,5,0,1,2,0,0,0,0,0,0,2,0,0,0,8,2024-12-07 05:59:35
12874,2024,AFC.CUP,15107,119444,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:35
12874,2024,AFC.CUP,21017,122610,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-18 05:04:53
12874,2024,AFC.CUP,22353,125617,3,0,2,3,1,0,0,1,0,0,2,0,0,0,6,2024-12-07 05:59:23
12874,2024,AFC.CUP,21017,126620,6,3,1,2,0,0,0,0,0,1,4,0,0,0,5,2024-12-07 05:59:29
12874,2024,AFC.CUP,5327,127502,3,0,2,2,0,0,0,2,0,1,8,0,0,0,3,2024-12-07 05:59:34
12874,2024,AFC.CUP,790,128222,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2024-12-07 05:59:34
12874,2024,AFC.CUP,20774,129654,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:30
12874,2024,AFC.CUP,8040,130115,6,0,2,6,1,0,0,5,0,9,17,2,0,0,11,2024-12-07 05:59:29
12874,2024,AFC.CUP,5327,130119,5,0,5,4,0,0,0,2,0,2,8,1,0,0,5,2024-12-07 05:59:34
12874,2024,AFC.CUP,18203,133296,5,3,0,1,0,0,0,2,0,0,3,0,0,0,4,2024-12-07 05:59:35
12874,2024,AFC.CUP,18203,134363,3,1,1,2,0,0,0,0,0,0,3,0,0,0,4,2024-12-07 05:59:35
12874,2024,AFC.CUP,7114,135806,3,2,3,3,1,0,0,1,0,0,2,0,0,0,0,2024-12-07 05:59:32
12874,2024,AFC.CUP,21017,136113,2,0,0,0,0,0,0,0,0,1,1,1,0,0,4,2024-08-18 05:04:53
12874,2024,AFC.CUP,18203,143825,6,5,0,3,0,0,0,0,0,1,2,0,0,0,5,2024-12-07 05:59:35
12874,2024,AFC.CUP,17739,144792,6,0,9,10,0,0,0,1,0,4,17,1,0,0,4,2024-12-07 05:59:33
12874,2024,AFC.CUP,17739,145590,5,1,3,3,0,1,0,2,0,5,16,3,0,0,4,2024-12-07 05:59:33
12874,2024,AFC.CUP,8371,145712,5,0,0,1,2,0,0,0,0,0,0,0,0,7,8,2024-12-07 05:59:34
12874,2024,AFC.CUP,8293,146239,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-12-07 05:59:31
12874,2024,AFC.CUP,21017,146551,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-08-18 05:04:53
12874,2024,AFC.CUP,8040,146833,6,0,4,5,2,0,0,0,0,2,3,1,0,0,11,2024-12-07 05:59:29
12874,2024,AFC.CUP,7526,147493,6,0,4,10,0,0,0,1,0,3,5,1,0,0,7,2024-12-07 05:59:33
12874,2024,AFC.CUP,15106,148982,6,2,2,9,0,0,0,1,0,6,18,4,0,0,6,2024-12-07 05:59:30
12874,2024,AFC.CUP,20774,149777,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:30
12874,2024,AFC.CUP,8371,150506,4,2,1,0,0,0,0,0,0,2,5,1,0,0,2,2024-12-07 05:59:34
12874,2024,AFC.CUP,8040,150983,6,1,4,3,0,0,0,0,0,4,8,1,0,0,5,2024-12-07 05:59:29
12874,2024,AFC.CUP,20774,151922,1,0,1,1,0,0,0,0,0,1,5,0,0,0,0,2024-12-07 05:59:30
12874,2024,AFC.CUP,18203,152424,4,2,2,5,0,0,0,1,0,5,12,4,0,0,7,2024-12-07 05:59:35
12874,2024,AFC.CUP,8293,154537,6,2,1,7,0,0,0,1,0,5,12,3,0,0,7,2024-12-07 05:59:31
12874,2024,AFC.CUP,20861,156518,6,0,3,7,2,0,0,1,0,2,8,0,0,0,12,2024-12-07 05:59:26
12874,2024,AFC.CUP,15107,156751,4,4,1,0,1,0,0,0,0,0,0,0,0,0,1,2024-12-07 05:59:35
12874,2024,AFC.CUP,22353,156757,3,0,3,3,1,0,0,0,0,0,1,0,0,0,6,2024-12-07 05:59:23
12874,2024,AFC.CUP,7119,156769,2,0,4,0,1,0,0,4,0,0,1,0,0,0,1,2024-12-07 05:59:27
12874,2024,AFC.CUP,7114,157682,5,1,2,2,0,0,0,0,0,1,5,0,0,0,3,2024-12-07 05:59:32
12874,2024,AFC.CUP,18203,159530,6,0,5,21,1,0,0,0,0,10,21,4,0,0,10,2024-12-07 05:59:35
12874,2024,AFC.CUP,8293,161219,5,0,9,0,1,0,0,0,0,0,1,0,0,0,10,2024-12-07 05:59:31
12874,2024,AFC.CUP,21017,162288,6,1,4,0,0,0,0,0,0,5,9,0,0,0,13,2024-12-07 05:59:29
12874,2024,AFC.CUP,18459,163121,5,0,8,4,1,0,0,2,0,0,4,0,0,0,4,2024-12-07 05:59:23
12874,2024,AFC.CUP,22355,163261,6,0,6,5,1,0,0,0,0,1,5,0,0,0,9,2024-12-07 05:59:23
12874,2024,AFC.CUP,18203,164130,3,0,5,3,0,0,0,0,0,0,2,0,0,0,2,2024-12-07 05:59:35
12874,2024,AFC.CUP,15106,164181,6,0,4,6,0,0,0,2,0,1,5,0,0,0,10,2024-12-07 05:59:30
12874,2024,AFC.CUP,7522,165945,6,1,1,3,0,0,0,1,0,1,3,0,0,0,4,2024-12-07 05:59:25
12874,2024,AFC.CUP,20861,165993,5,3,2,3,1,0,0,0,0,1,3,0,0,0,6,2024-12-07 05:59:26
12874,2024,AFC.CUP,790,166256,4,4,3,1,0,0,0,0,0,2,2,1,0,0,1,2024-12-07 05:59:34
12874,2024,AFC.CUP,20980,166452,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2024-08-18 05:04:52
12874,2024,AFC.CUP,790,166948,5,2,2,4,0,0,0,1,0,5,8,2,0,0,0,2024-12-07 05:59:34
12874,2024,AFC.CUP,21017,168317,6,0,8,4,0,0,0,0,0,2,8,0,0,0,13,2024-12-07 05:59:29
12874,2024,AFC.CUP,20861,168561,5,3,4,3,0,0,0,0,0,0,2,0,0,0,5,2024-12-07 05:59:26
12874,2024,AFC.CUP,21008,169265,6,1,12,6,1,0,0,0,0,5,15,1,0,0,10,2024-12-07 05:59:28
12874,2024,AFC.CUP,20912,169300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:22
12874,2024,AFC.CUP,8217,171230,5,1,1,0,0,0,0,0,0,0,0,0,0,0,10,2024-12-07 05:59:31
12874,2024,AFC.CUP,8371,171890,5,2,2,6,1,0,0,1,0,1,2,0,0,0,4,2024-12-07 05:59:34
12874,2024,AFC.CUP,18460,172892,5,0,7,5,1,0,0,0,0,3,7,2,0,0,10,2024-12-07 05:59:26
12874,2024,AFC.CUP,22353,172966,4,0,1,3,0,0,0,1,0,3,12,0,0,0,6,2024-12-07 05:59:23
12874,2024,AFC.CUP,7114,173161,4,1,2,2,0,0,0,0,0,1,3,0,0,0,2,2024-12-07 05:59:32
12874,2024,AFC.CUP,7114,173254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:32
12874,2024,AFC.CUP,5327,173447,5,0,9,6,0,0,0,0,0,2,6,0,0,0,5,2024-12-07 05:59:34
12874,2024,AFC.CUP,17757,174831,5,1,8,8,1,0,0,1,0,6,11,3,0,0,10,2024-12-07 05:59:32
12874,2024,AFC.CUP,7114,175860,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2024-12-07 05:59:32
12874,2024,AFC.CUP,7119,177265,2,0,1,4,0,0,0,0,0,0,3,0,0,0,0,2024-12-07 05:59:27
12874,2024,AFC.CUP,7114,179397,5,4,6,3,2,0,0,0,0,3,6,2,0,0,2,2024-12-07 05:59:32
12874,2024,AFC.CUP,15107,180674,3,0,9,2,1,0,0,0,0,0,0,0,0,0,3,2024-12-07 05:59:35
12874,2024,AFC.CUP,7522,181059,5,0,6,10,1,0,0,2,0,12,24,3,0,0,4,2024-12-07 05:59:25
12874,2024,AFC.CUP,7114,181111,3,2,3,3,0,0,0,0,0,0,0,0,0,0,1,2024-12-07 05:59:32
12874,2024,AFC.CUP,790,181646,5,3,3,5,0,0,0,0,0,3,7,1,0,0,4,2024-12-07 05:59:34
12874,2024,AFC.CUP,22354,183832,5,0,4,0,0,0,0,2,0,3,5,1,0,0,6,2024-12-07 05:59:28
12874,2024,AFC.CUP,22353,185495,4,0,1,4,0,0,0,0,0,0,1,0,0,0,6,2024-12-07 05:59:23
12874,2024,AFC.CUP,7114,185533,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2024-12-07 05:59:32
12874,2024,AFC.CUP,18203,185563,6,0,9,12,2,0,0,1,0,0,0,0,0,0,9,2024-12-07 05:59:35
12874,2024,AFC.CUP,7119,185612,3,1,2,1,0,0,0,1,0,3,9,1,0,0,2,2024-12-07 05:59:27
12874,2024,AFC.CUP,7522,185625,5,0,8,3,0,0,0,0,0,5,12,0,0,0,4,2024-12-07 05:59:25
12874,2024,AFC.CUP,790,185827,5,1,3,2,0,0,0,2,0,14,22,4,0,0,8,2024-12-07 05:59:34
12874,2024,AFC.CUP,8217,186289,3,2,3,5,0,0,0,0,0,1,4,1,0,0,5,2024-12-07 05:59:31
12874,2024,AFC.CUP,21008,186469,4,1,4,2,0,0,0,0,0,1,2,0,0,0,7,2024-12-07 05:59:28
12874,2024,AFC.CUP,21008,186475,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2024-12-07 05:59:28
12874,2024,AFC.CUP,7522,186492,5,2,4,7,1,0,0,1,0,6,12,3,0,0,4,2024-12-07 05:59:25
12874,2024,AFC.CUP,18459,186952,5,0,5,2,1,0,0,0,0,2,4,1,0,0,6,2024-12-07 05:59:23
12874,2024,AFC.CUP,22352,187193,6,0,12,4,2,0,0,0,0,4,13,2,0,0,7,2024-12-07 05:59:30
12874,2024,AFC.CUP,17757,187551,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-12-07 05:59:32
12874,2024,AFC.CUP,17757,187557,4,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2024-12-07 05:59:32
12874,2024,AFC.CUP,20774,187777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:30
12874,2024,AFC.CUP,20860,187906,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-12-07 05:59:24
12874,2024,AFC.CUP,15107,189466,4,0,5,2,0,0,0,2,0,1,5,1,0,0,4,2024-12-07 05:59:35
12874,2024,AFC.CUP,20912,190950,6,0,8,6,0,0,0,0,0,1,2,0,0,0,9,2024-12-07 05:59:22
12874,2024,AFC.CUP,5327,191001,4,0,1,4,0,0,0,0,0,5,19,1,0,0,4,2024-12-07 05:59:34
12874,2024,AFC.CUP,8293,191503,6,1,4,5,0,0,0,0,0,1,6,0,0,0,11,2024-12-07 05:59:31
12874,2024,AFC.CUP,22353,192500,3,0,1,4,0,0,0,0,0,4,9,1,0,0,4,2024-12-07 05:59:23
12874,2024,AFC.CUP,15107,192931,3,1,4,0,0,0,0,0,0,4,7,3,0,0,2,2024-12-07 05:59:35
12874,2024,AFC.CUP,20774,193008,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2024-12-07 05:59:30
12874,2024,AFC.CUP,20912,194687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-07 05:59:22
12874,2024,AFC.CUP,20912,194694,5,1,2,6,0,0,0,1,0,1,2,0,0,0,7,2024-12-07 05:59:22
12874,2024,AFC.CUP,790,194863,6,0,8,3,0,0,0,1,0,1,6,1,0,0,6,2024-12-07 05:59:34
