seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12370,2024,ARG.1,15,3038,20,3,28,17,7,1,0,3,2,18,47,7,0,2,14,2024-12-26 05:45:03
12370,2024,ARG.1,9785,3494,26,0,24,12,5,0,0,0,5,1,14,0,0,10,21,2024-12-26 05:44:56
12370,2024,ARG.1,7764,3518,24,0,10,25,5,0,0,0,1,4,15,0,0,11,16,2024-12-26 05:45:02
12370,2024,ARG.1,17702,35213,16,8,20,8,2,0,0,0,2,4,6,1,0,2,8,2024-12-26 05:44:59
12370,2024,ARG.1,18,40945,9,6,6,0,1,0,0,0,0,1,2,0,0,3,7,2024-12-26 05:45:04
12370,2024,ARG.1,8950,44391,17,0,0,2,0,0,0,0,2,0,0,0,209,42,16,2024-12-26 05:44:58
12370,2024,ARG.1,14,47086,15,6,28,6,3,0,0,0,0,0,11,0,0,2,8,2024-12-26 05:45:02
12370,2024,ARG.1,7767,51848,9,4,8,5,0,0,0,0,1,2,5,1,0,1,4,2024-12-26 05:45:05
12370,2024,ARG.1,10158,51848,5,3,3,1,0,0,0,0,0,1,2,1,0,0,4,2024-10-13 02:16:11
12370,2024,ARG.1,9785,57149,11,8,12,2,3,1,0,0,3,1,5,0,0,2,4,2024-12-26 05:44:56
12370,2024,ARG.1,17702,67312,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-10-23 22:06:37
12370,2024,ARG.1,17,68093,24,0,0,2,3,0,0,0,3,0,0,0,237,76,26,2024-12-26 05:45:03
12370,2024,ARG.1,10060,68339,8,6,3,6,0,0,0,0,0,4,6,0,0,0,6,2024-12-26 05:44:57
12370,2024,ARG.1,10158,69197,20,18,6,7,3,0,0,0,2,4,11,1,0,3,7,2024-12-26 05:45:04
12370,2024,ARG.1,18,69908,10,0,3,2,1,0,0,0,0,0,1,0,0,6,9,2024-10-23 22:06:43
12370,2024,ARG.1,235,69908,16,0,7,5,1,0,0,0,0,0,1,0,0,10,20,2024-12-26 05:44:57
12370,2024,ARG.1,4,70182,21,3,25,31,7,0,0,1,4,26,59,13,0,4,23,2024-12-26 05:44:57
12370,2024,ARG.1,11,70912,16,8,15,23,3,1,0,0,1,5,17,1,0,0,5,2024-12-26 05:45:01
12370,2024,ARG.1,6756,72265,6,1,3,2,0,0,0,0,4,0,2,0,0,0,4,2024-12-26 05:45:00
12370,2024,ARG.1,15,74008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-26 05:45:03
12370,2024,ARG.1,18,76914,8,7,5,0,2,0,0,0,0,1,4,1,0,0,1,2024-12-26 05:45:04
12370,2024,ARG.1,20,76915,11,1,2,3,2,0,0,0,0,0,0,0,0,2,7,2024-12-26 05:45:05
12370,2024,ARG.1,2975,77089,12,12,2,1,1,0,0,0,0,4,6,1,0,0,7,2024-12-26 05:45:01
12370,2024,ARG.1,14,82010,25,5,25,20,5,0,0,0,2,11,41,3,0,1,20,2024-12-26 05:45:02
12370,2024,ARG.1,17702,82547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-23 22:06:37
12370,2024,ARG.1,7,82670,16,7,15,25,4,0,0,0,1,9,18,2,0,1,8,2024-07-13 03:07:52
12370,2024,ARG.1,8950,82782,22,0,12,20,5,0,0,1,0,6,20,1,0,18,27,2024-12-26 05:44:58
12370,2024,ARG.1,3,83178,22,8,9,20,2,0,0,1,2,11,39,5,0,3,11,2024-12-26 05:44:56
12370,2024,ARG.1,2975,83178,16,5,6,16,1,0,0,1,1,9,26,5,0,3,6,2024-10-23 22:06:40
12370,2024,ARG.1,10158,83587,16,13,8,6,0,0,0,1,1,1,9,0,0,3,6,2024-12-26 05:45:04
12370,2024,ARG.1,12,84273,13,0,0,1,2,0,1,0,3,1,1,0,217,49,13,2024-10-13 02:16:09
12370,2024,ARG.1,10158,84273,23,0,0,1,2,0,1,0,3,1,1,0,358,84,23,2024-12-26 05:45:04
12370,2024,ARG.1,12,84295,18,7,14,15,2,0,0,0,3,2,11,0,0,5,17,2024-12-26 05:45:02
12370,2024,ARG.1,10060,86163,1,1,2,1,1,0,0,0,1,0,0,0,0,0,1,2024-10-23 22:06:35
12370,2024,ARG.1,12,87673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-26 05:45:02
12370,2024,ARG.1,16,87673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-23 22:06:42
12370,2024,ARG.1,6756,87673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-20 05:59:36
12370,2024,ARG.1,8,90864,18,7,18,23,1,0,0,1,4,9,22,2,0,1,14,2024-12-26 05:44:59
12370,2024,ARG.1,14,91536,9,2,6,13,2,1,0,0,0,0,2,0,0,1,12,2024-12-26 05:45:02
12370,2024,ARG.1,2635,94917,8,6,7,7,1,0,0,0,0,2,4,0,0,0,4,2024-07-13 03:07:49
12370,2024,ARG.1,19,94976,25,10,16,16,3,0,0,1,5,4,25,0,0,11,13,2024-12-26 05:45:05
12370,2024,ARG.1,8950,95007,1,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2024-10-23 22:06:36
12370,2024,ARG.1,5,95469,17,1,10,17,2,1,0,1,0,18,30,4,0,3,9,2024-12-26 05:44:58
12370,2024,ARG.1,9785,96687,25,10,36,18,2,1,0,3,7,16,40,6,0,8,19,2024-12-26 05:44:56
12370,2024,ARG.1,235,98348,4,0,2,9,0,0,0,1,3,3,5,1,0,1,2,2024-12-26 05:44:57
12370,2024,ARG.1,10158,99484,12,3,3,4,1,0,0,0,0,0,1,0,0,8,9,2024-12-26 05:45:04
12370,2024,ARG.1,18,101471,3,0,3,1,1,0,0,0,0,0,4,0,0,1,2,2024-10-23 22:06:43
