seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12915,2024,AUS.W.1,21991,23468,16,0,4,5,1,0,0,0,0,0,3,0,0,0,16,2025-02-22 05:44:48
12915,2024,AUS.W.1,21133,109134,15,0,3,18,0,0,0,4,0,9,27,3,0,0,19,2025-02-22 05:44:50
12915,2024,AUS.W.1,20288,158675,14,1,5,5,0,0,0,1,0,10,24,6,0,0,18,2025-02-22 05:44:48
12915,2024,AUS.W.1,20280,158686,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2025-02-22 05:44:49
12915,2024,AUS.W.1,20281,158688,14,0,4,33,0,0,0,1,0,20,49,7,0,0,18,2025-02-22 05:44:48
12915,2024,AUS.W.1,20282,158695,12,0,0,0,0,0,0,0,0,0,0,0,0,37,19,2025-02-22 05:44:50
12915,2024,AUS.W.1,20285,172518,6,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2025-02-22 05:44:50
12915,2024,AUS.W.1,20280,175238,14,0,6,6,0,0,0,0,0,4,5,0,0,0,11,2025-02-22 05:44:49
12915,2024,AUS.W.1,20284,213801,16,0,5,5,1,0,0,0,0,2,5,2,0,0,16,2025-02-22 05:44:49
12915,2024,AUS.W.1,20285,223046,16,0,13,4,3,0,0,0,0,2,10,0,0,0,23,2025-02-22 05:44:50
12915,2024,AUS.W.1,20286,226437,3,3,0,3,0,0,0,0,0,0,2,0,0,0,1,2025-02-22 05:44:47
12915,2024,AUS.W.1,21666,236711,15,0,9,18,2,0,0,2,0,20,48,7,0,0,25,2025-02-22 05:44:51
12915,2024,AUS.W.1,20282,243227,12,1,8,13,1,0,0,2,0,3,24,2,0,0,21,2025-02-22 05:44:50
12915,2024,AUS.W.1,20280,249292,17,0,6,9,1,0,0,0,0,0,2,0,0,0,16,2025-02-22 05:44:49
12915,2024,AUS.W.1,20283,259618,16,0,10,10,2,0,0,2,0,3,12,2,0,0,32,2025-02-22 05:44:51
12915,2024,AUS.W.1,20284,259619,15,0,11,28,1,0,0,2,0,6,18,2,0,0,16,2025-02-22 05:44:49
12915,2024,AUS.W.1,20284,259620,13,1,7,6,1,0,0,0,0,20,50,8,0,0,13,2025-02-22 05:44:49
12915,2024,AUS.W.1,20282,259636,13,1,15,13,1,0,0,0,0,2,5,0,0,0,16,2025-02-22 05:44:50
12915,2024,AUS.W.1,20285,259866,16,2,10,15,0,0,0,1,0,9,22,2,0,0,17,2025-02-22 05:44:50
12915,2024,AUS.W.1,20280,261759,17,1,18,12,0,0,0,3,0,12,41,6,0,0,13,2025-02-22 05:44:49
12915,2024,AUS.W.1,20287,264398,12,0,7,7,0,0,0,0,0,10,27,3,0,0,24,2025-02-22 05:44:49
12915,2024,AUS.W.1,20288,264968,15,0,9,4,0,0,0,0,0,2,10,1,0,0,19,2025-02-22 05:44:48
12915,2024,AUS.W.1,21133,286885,15,3,6,6,3,0,0,2,0,8,28,3,0,0,11,2025-02-22 05:44:50
12915,2024,AUS.W.1,20280,288988,16,5,10,3,1,0,0,1,0,2,5,0,0,0,11,2025-02-22 05:44:49
12915,2024,AUS.W.1,20286,292463,16,0,1,2,1,0,0,0,0,0,0,0,0,64,20,2025-02-22 05:44:47
12915,2024,AUS.W.1,21133,292544,16,2,10,8,2,0,0,1,0,13,37,2,0,0,18,2025-02-22 05:44:50
12915,2024,AUS.W.1,20283,292977,15,6,11,6,0,0,0,0,0,2,7,1,0,0,20,2025-02-22 05:44:51
12915,2024,AUS.W.1,21133,293126,16,0,18,15,1,0,0,2,0,10,31,2,0,0,19,2025-02-22 05:44:50
12915,2024,AUS.W.1,21991,293181,5,0,4,5,1,0,0,0,0,0,2,0,0,0,7,2025-01-14 05:29:11
12915,2024,AUS.W.1,20284,293183,16,0,21,17,1,0,0,3,0,9,19,2,0,0,15,2025-02-22 05:44:49
12915,2024,AUS.W.1,21666,293279,16,3,6,2,0,0,0,2,0,5,23,2,0,0,25,2025-02-22 05:44:51
12915,2024,AUS.W.1,20282,293935,13,1,6,6,0,0,0,2,0,11,37,3,0,0,21,2025-02-22 05:44:50
12915,2024,AUS.W.1,20286,294263,16,0,8,9,0,0,1,2,0,2,11,1,0,0,17,2025-02-22 05:44:47
12915,2024,AUS.W.1,21991,294761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:48
12915,2024,AUS.W.1,21666,295896,17,6,5,8,1,0,0,2,0,6,17,0,0,0,19,2025-02-22 05:44:51
12915,2024,AUS.W.1,20280,295964,16,2,27,35,4,0,0,5,0,10,22,4,0,0,14,2025-02-22 05:44:49
12915,2024,AUS.W.1,21991,298483,16,0,0,0,2,0,0,0,0,0,0,0,0,65,16,2025-02-22 05:44:48
12915,2024,AUS.W.1,21133,298614,16,12,8,2,0,0,0,1,0,13,22,2,0,0,9,2025-02-22 05:44:50
12915,2024,AUS.W.1,20284,298746,16,0,9,2,3,0,0,1,0,2,8,1,0,0,16,2025-02-22 05:44:49
12915,2024,AUS.W.1,20282,300430,16,1,19,6,1,0,0,0,0,2,11,0,0,0,30,2025-02-22 05:44:50
12915,2024,AUS.W.1,20286,300437,12,2,9,9,1,0,0,2,0,13,25,7,0,0,12,2025-02-22 05:44:47
12915,2024,AUS.W.1,20286,300440,16,1,12,3,1,0,0,2,0,4,9,1,0,0,18,2025-02-22 05:44:47
12915,2024,AUS.W.1,20281,300520,16,0,18,13,2,0,0,4,0,1,7,1,0,0,21,2025-02-22 05:44:48
12915,2024,AUS.W.1,20284,300522,16,0,0,2,0,0,0,0,0,0,0,0,0,48,16,2025-02-22 05:44:49
12915,2024,AUS.W.1,20284,300527,7,6,2,7,2,0,0,0,0,1,1,0,0,0,3,2025-02-22 05:44:49
12915,2024,AUS.W.1,20286,300529,15,1,3,5,0,0,0,3,0,11,16,6,0,0,14,2025-02-22 05:44:47
12915,2024,AUS.W.1,20280,300532,17,0,13,25,2,0,0,1,0,8,14,4,0,0,16,2025-02-22 05:44:49
12915,2024,AUS.W.1,20283,300533,15,0,3,3,2,1,1,0,0,0,0,0,0,74,26,2025-02-22 05:44:51
12915,2024,AUS.W.1,20286,300536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:47
