seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12743,2024,AUT.1,18794,4804,18,0,11,8,3,0,2,0,0,4,16,1,0,0,22,2025-02-22 05:48:58
12743,2024,AUT.1,4411,20770,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:48:56
12743,2024,AUT.1,21950,21896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:48:55
12743,2024,AUT.1,519,37442,8,5,3,5,0,0,0,2,0,0,6,0,0,0,4,2025-02-09 05:49:46
12743,2024,AUT.1,4411,37442,10,5,4,6,0,0,0,2,0,1,8,0,0,0,4,2025-02-22 05:48:56
12743,2024,AUT.1,13294,74694,8,6,4,0,0,0,0,0,0,0,0,0,0,0,4,2025-02-22 05:48:58
12743,2024,AUT.1,4411,95290,4,3,0,1,0,0,0,0,0,1,1,0,0,0,5,2025-02-22 05:48:56
12743,2024,AUT.1,21846,99587,12,3,12,3,2,1,0,0,0,0,4,0,0,0,8,2025-02-22 05:48:55
12743,2024,AUT.1,13294,120196,12,11,1,6,0,0,0,3,0,2,8,1,0,0,6,2025-02-22 05:48:58
12743,2024,AUT.1,13294,134018,9,5,7,2,0,1,0,0,0,6,10,2,0,0,2,2025-02-22 05:48:58
12743,2024,AUT.1,519,136963,13,2,7,10,5,0,0,2,0,10,41,2,0,0,5,2025-02-22 05:48:56
12743,2024,AUT.1,4411,141449,17,4,8,14,1,0,0,4,0,3,10,2,0,0,20,2025-02-22 05:48:56
12743,2024,AUT.1,1382,142977,17,0,9,14,4,0,0,0,0,1,3,0,0,0,14,2025-02-22 05:48:55
12743,2024,AUT.1,1382,146647,9,8,9,1,2,0,0,0,0,0,0,0,0,0,2,2025-02-22 05:48:55
12743,2024,AUT.1,4405,147261,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2025-02-22 05:48:57
12743,2024,AUT.1,20966,149296,5,0,0,1,0,0,0,0,0,0,0,0,0,11,8,2025-02-22 05:48:57
12743,2024,AUT.1,4411,150652,15,1,15,18,0,0,0,3,0,12,27,3,0,0,16,2025-02-22 05:48:56
12743,2024,AUT.1,20966,151693,2,0,4,0,1,0,0,0,0,0,5,0,0,0,1,2025-02-22 05:48:57
12743,2024,AUT.1,6907,152366,18,4,11,13,3,0,0,0,0,4,10,2,0,0,18,2025-02-22 05:48:58
12743,2024,AUT.1,4411,154326,18,0,15,13,3,0,0,0,0,3,9,1,0,0,24,2025-02-22 05:48:56
12743,2024,AUT.1,21540,156565,17,4,0,0,4,0,1,0,0,1,1,0,0,0,12,2024-07-13 02:58:26
12743,2024,AUT.1,20966,156639,17,5,13,11,3,0,0,3,0,6,16,1,0,0,26,2025-02-22 05:48:57
12743,2024,AUT.1,18794,157479,10,3,8,9,1,0,0,0,0,1,5,0,0,0,4,2025-02-22 05:48:58
12743,2024,AUT.1,21846,157503,16,0,12,5,2,2,0,0,0,1,6,1,0,0,24,2025-02-22 05:48:55
12743,2024,AUT.1,4405,159929,16,0,1,2,0,0,0,0,0,0,1,0,0,41,25,2025-02-22 05:48:57
12743,2024,AUT.1,2790,161825,8,0,0,2,0,0,0,0,0,0,0,0,0,16,11,2025-02-22 05:48:56
12743,2024,AUT.1,1382,161833,18,0,0,2,0,0,0,0,0,0,0,0,0,59,17,2025-02-22 05:48:55
12743,2024,AUT.1,3746,162238,8,7,2,1,0,0,0,1,0,0,0,0,0,0,2,2025-02-22 05:48:57
