seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12493,2024,BRA.2,21888,16562,26,9,20,23,6,0,0,1,1,8,45,3,0,0,18,2024-12-24 05:53:15
12493,2024,BRA.2,1936,20120,31,1,26,79,13,0,0,8,6,15,40,5,0,0,19,2024-08-17 08:56:51
12493,2024,BRA.2,17339,23783,24,0,19,16,4,1,0,0,2,1,11,0,0,24,25,2024-07-13 02:46:29
12493,2024,BRA.2,18428,34337,14,1,13,33,1,0,0,1,3,5,25,0,0,0,10,2024-12-24 05:53:17
12493,2024,BRA.2,6270,36805,28,1,14,64,8,0,0,7,12,19,56,7,0,1,20,2024-07-13 02:46:32
12493,2024,BRA.2,18187,46765,21,7,7,18,1,0,0,1,1,14,45,3,0,2,16,2024-12-24 05:53:20
12493,2024,BRA.2,9318,64671,33,0,32,32,7,0,0,3,5,11,44,2,0,1,28,2024-12-24 05:53:18
12493,2024,BRA.2,9966,69190,7,3,1,1,0,0,0,0,2,0,3,0,0,2,4,2024-12-24 05:53:16
12493,2024,BRA.2,7635,75294,6,3,5,3,3,0,0,0,0,0,2,0,0,1,3,2024-12-24 05:53:22
12493,2024,BRA.2,1936,75456,8,2,15,4,4,0,0,1,0,1,4,0,0,0,4,2024-08-17 08:56:51
12493,2024,BRA.2,9970,75881,15,12,8,23,3,0,0,1,1,5,11,0,0,2,8,2024-12-24 05:53:17
12493,2024,BRA.2,3457,77833,23,3,22,31,3,0,0,0,3,17,46,10,0,4,9,2024-07-13 02:46:28
12493,2024,BRA.2,9169,77833,19,15,7,15,1,0,0,0,1,5,15,4,0,0,4,2024-12-24 05:53:20
12493,2024,BRA.2,6270,83935,13,6,14,10,2,0,0,0,1,1,6,0,0,2,2,2024-07-13 02:46:32
12493,2024,BRA.2,21888,86473,12,7,8,14,1,0,0,1,0,7,11,3,0,0,5,2024-12-24 05:53:15
12493,2024,BRA.2,9971,87174,26,4,24,43,4,1,0,2,4,19,53,9,0,1,15,2024-07-13 02:46:31
12493,2024,BRA.2,3395,94120,21,3,13,2,4,0,0,0,1,3,12,0,0,11,15,2024-12-24 05:53:18
12493,2024,BRA.2,4774,94127,9,1,3,6,1,0,0,0,1,2,6,1,0,3,16,2024-12-24 05:53:19
12493,2024,BRA.2,9965,94142,12,6,10,27,2,0,0,0,1,3,3,0,0,1,3,2024-07-13 02:46:31
12493,2024,BRA.2,3395,94225,23,12,17,24,5,0,0,0,4,5,12,2,0,1,16,2024-12-24 05:53:18
12493,2024,BRA.2,9318,94540,20,0,0,1,3,0,0,0,0,0,0,0,275,69,18,2024-12-24 05:53:18
12493,2024,BRA.2,1936,94557,17,1,15,12,5,0,0,0,1,1,7,0,0,0,12,2024-08-17 08:56:51
12493,2024,BRA.2,18127,94867,6,1,1,2,0,0,0,1,3,1,6,0,0,0,3,2024-12-24 05:53:20
12493,2024,BRA.2,7635,95831,30,7,42,35,13,1,0,4,2,12,48,4,0,6,20,2024-12-24 05:53:22
12493,2024,BRA.2,3456,96422,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-19 05:36:15
12493,2024,BRA.2,9969,96422,11,11,0,2,0,0,0,0,0,0,0,0,0,2,0,2024-12-24 05:53:17
12493,2024,BRA.2,7635,98062,7,2,4,2,2,0,1,1,2,2,4,1,0,3,3,2024-08-31 03:04:17
12493,2024,BRA.2,17333,98978,33,0,37,27,10,0,0,3,1,12,43,7,0,15,52,2024-07-13 02:46:26
12493,2024,BRA.2,17339,99244,9,8,4,6,1,0,0,1,0,2,10,0,0,0,2,2024-07-13 02:46:29
12493,2024,BRA.2,21888,99364,34,0,1,6,2,0,0,0,4,0,0,0,420,117,31,2024-12-24 05:53:15
12493,2024,BRA.2,9966,101504,24,5,11,17,2,0,0,1,3,6,29,3,0,3,12,2024-12-24 05:53:16
12493,2024,BRA.2,3395,105131,35,6,17,56,2,0,0,6,2,18,50,3,0,1,22,2024-12-24 05:53:18
12493,2024,BRA.2,9965,105131,21,13,12,21,1,0,0,0,1,4,18,2,0,1,16,2024-07-13 02:46:31
12493,2024,BRA.2,2674,105781,29,0,13,19,2,0,0,2,2,18,45,9,0,5,22,2024-12-24 05:53:22
12493,2024,BRA.2,9971,107237,33,0,53,46,7,0,0,0,4,12,24,5,0,14,23,2024-07-13 02:46:31
12493,2024,BRA.2,9973,107237,17,6,12,10,1,0,0,0,2,1,8,0,0,6,18,2024-12-24 05:53:22
12493,2024,BRA.2,17339,113701,23,5,26,24,6,0,0,1,2,2,5,0,0,2,13,2024-07-13 02:46:29
12493,2024,BRA.2,9973,113761,28,1,13,18,0,0,0,1,1,0,4,0,0,17,28,2024-12-24 05:53:22
12493,2024,BRA.2,1936,113818,11,2,11,19,4,0,0,0,1,2,5,1,0,0,7,2024-08-17 08:56:51
12493,2024,BRA.2,7635,113818,14,10,14,8,0,0,0,0,0,3,6,2,0,2,10,2024-12-24 05:53:22
12493,2024,BRA.2,9969,116745,12,7,13,14,4,0,0,0,2,0,1,0,0,2,8,2024-09-03 04:59:27
12493,2024,BRA.2,10281,119069,22,0,0,3,0,0,0,0,4,0,0,0,233,57,24,2024-12-24 05:53:16
12493,2024,BRA.2,2674,119170,29,20,19,16,3,0,0,1,3,8,23,5,0,1,12,2024-12-24 05:53:22
12493,2024,BRA.2,9965,119171,15,6,2,7,0,0,0,0,3,5,17,1,0,0,6,2024-07-13 02:46:31
12493,2024,BRA.2,9169,119175,2,0,0,0,0,0,0,0,0,0,0,0,32,8,1,2024-12-24 05:53:20
12493,2024,BRA.2,1936,120484,35,0,40,21,7,0,0,1,4,3,12,1,0,0,22,2024-08-17 08:56:51
12493,2024,BRA.2,15424,121594,9,7,5,1,1,0,0,0,0,1,1,0,0,0,6,2024-12-24 05:53:21
12493,2024,BRA.2,1936,123859,32,17,36,16,4,0,0,1,12,24,64,9,0,0,10,2024-08-17 08:56:51
12493,2024,BRA.2,3457,124171,8,2,8,7,0,0,0,1,0,0,5,0,0,0,1,2024-07-13 02:46:28
12493,2024,BRA.2,3395,125848,10,5,7,6,2,0,0,0,1,0,5,0,0,1,4,2024-12-24 05:53:18
12493,2024,BRA.2,15424,127887,22,8,13,20,3,0,0,2,2,4,13,0,0,1,16,2024-12-24 05:53:21
12493,2024,BRA.2,3456,128368,29,3,41,34,6,0,0,2,5,4,21,0,0,3,23,2024-12-24 05:53:18
12493,2024,BRA.2,1936,130282,8,5,6,15,0,0,0,0,0,0,4,0,0,0,3,2024-08-17 08:56:51
12493,2024,BRA.2,6270,130645,32,3,40,52,5,0,0,1,5,5,15,3,0,4,21,2024-07-13 02:46:32
12493,2024,BRA.2,3448,130671,26,2,19,6,2,0,0,0,2,3,15,2,0,17,32,2024-12-24 05:53:19
12493,2024,BRA.2,6270,130826,34,0,1,1,5,0,1,0,0,1,1,0,341,86,26,2024-07-13 02:46:32
12493,2024,BRA.2,7635,130826,2,1,0,0,0,0,0,0,0,0,0,0,8,3,2,2024-12-24 05:53:22
12493,2024,BRA.2,9970,131075,36,4,26,45,3,0,1,2,7,18,59,10,0,3,35,2024-12-24 05:53:17
12493,2024,BRA.2,2674,131245,14,11,13,7,2,0,0,0,1,0,0,0,0,2,8,2024-12-24 05:53:22
12493,2024,BRA.2,4873,131420,15,1,18,8,3,1,0,1,2,1,8,0,0,2,14,2024-07-13 02:46:35
12493,2024,BRA.2,9971,131532,23,11,5,27,2,0,0,3,2,4,18,1,0,1,15,2024-07-13 02:46:31
12493,2024,BRA.2,6270,134627,5,1,0,2,0,0,0,0,0,0,0,0,39,13,4,2024-07-13 02:46:32
12493,2024,BRA.2,9318,134627,16,0,0,5,2,0,0,0,0,0,0,0,224,57,18,2024-12-24 05:53:18
12493,2024,BRA.2,4774,134638,18,15,7,24,2,0,0,1,1,4,12,0,0,0,5,2024-12-24 05:53:19
12493,2024,BRA.2,9966,135274,31,2,49,16,9,0,0,0,2,6,17,1,0,12,19,2024-12-24 05:53:16
12493,2024,BRA.2,3448,136889,10,2,17,7,3,0,0,0,1,2,10,0,0,2,15,2024-12-24 05:53:19
12493,2024,BRA.2,21888,137032,4,3,4,2,0,0,0,0,0,0,2,0,0,0,1,2024-12-24 05:53:15
12493,2024,BRA.2,3395,137551,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-19 05:36:21
12493,2024,BRA.2,9973,138183,7,1,2,1,1,0,0,1,1,1,4,1,0,1,7,2024-12-24 05:53:22
12493,2024,BRA.2,21888,138983,8,0,9,4,0,0,0,1,3,1,7,0,0,6,11,2024-07-12 02:46:05
12493,2024,BRA.2,3457,140012,20,10,8,10,1,0,0,2,3,4,14,1,0,0,6,2024-07-13 02:46:28
12493,2024,BRA.2,9318,140012,27,13,13,34,5,1,0,3,5,5,16,0,0,3,14,2024-12-24 05:53:18
12493,2024,BRA.2,2674,140431,37,11,23,69,4,0,0,2,4,22,77,5,0,2,23,2024-12-24 05:53:22
12493,2024,BRA.2,2674,140722,3,3,2,1,1,0,0,0,0,1,3,0,0,0,1,2024-07-12 02:45:59
12493,2024,BRA.2,15424,140722,15,5,8,5,3,0,0,4,2,2,15,0,0,0,12,2024-12-24 05:53:21
