seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12468,2024,BRA.CAMP.GAUCHO,17131,10441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:04:17
12468,2024,BRA.CAMP.GAUCHO,1936,11632,10,3,0,0,1,0,0,2,0,3,3,3,0,0,3,2024-07-13 03:04:21
12468,2024,BRA.CAMP.GAUCHO,6273,24388,3,2,0,0,0,0,0,2,0,3,3,3,0,0,2,2024-07-13 03:04:18
12468,2024,BRA.CAMP.GAUCHO,6270,36805,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:04:18
12468,2024,BRA.CAMP.GAUCHO,4935,47086,6,1,0,0,3,0,0,0,0,0,0,0,0,0,8,2024-07-13 03:04:20
12468,2024,BRA.CAMP.GAUCHO,10266,69429,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:04:19
12468,2024,BRA.CAMP.GAUCHO,6273,69737,6,0,0,0,1,0,0,0,0,1,1,1,0,0,5,2024-07-13 03:04:18
12468,2024,BRA.CAMP.GAUCHO,20899,74234,5,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2024-07-13 03:04:21
12468,2024,BRA.CAMP.GAUCHO,1936,76778,9,2,0,0,0,0,0,0,0,1,1,1,0,0,4,2024-07-13 03:04:21
12468,2024,BRA.CAMP.GAUCHO,1936,76818,7,2,0,0,1,0,0,0,0,0,0,0,0,0,4,2024-07-13 03:04:21
12468,2024,BRA.CAMP.GAUCHO,20899,77817,8,1,0,0,3,0,0,0,0,0,0,0,0,0,14,2024-07-13 03:04:21
12468,2024,BRA.CAMP.GAUCHO,6270,94310,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-07-13 03:04:18
12468,2024,BRA.CAMP.GAUCHO,20899,95024,7,0,0,0,1,0,0,1,0,0,0,0,0,0,16,2024-07-13 03:04:21
12468,2024,BRA.CAMP.GAUCHO,6273,95410,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2024-07-13 03:04:18
12468,2024,BRA.CAMP.GAUCHO,21369,96814,3,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2024-07-13 03:04:22
12468,2024,BRA.CAMP.GAUCHO,10266,99111,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:04:19
12468,2024,BRA.CAMP.GAUCHO,10266,105468,7,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2024-07-13 03:04:19
12468,2024,BRA.CAMP.GAUCHO,1936,108392,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-07-13 03:04:21
12468,2024,BRA.CAMP.GAUCHO,4935,113701,5,2,0,0,0,0,1,0,0,0,0,0,0,0,4,2024-07-13 03:04:20
12468,2024,BRA.CAMP.GAUCHO,10266,114015,9,7,0,0,1,0,0,1,0,0,0,0,0,0,5,2024-07-13 03:04:19
12468,2024,BRA.CAMP.GAUCHO,6273,115379,10,0,0,0,2,0,0,2,0,1,1,1,0,0,10,2024-07-13 03:04:18
12468,2024,BRA.CAMP.GAUCHO,17131,116064,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:04:17
12468,2024,BRA.CAMP.GAUCHO,10266,116792,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:04:19
12468,2024,BRA.CAMP.GAUCHO,21369,119235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:04:22
12468,2024,BRA.CAMP.GAUCHO,6273,122463,5,1,0,0,0,0,0,1,0,1,1,1,0,0,0,2024-07-13 03:04:18
12468,2024,BRA.CAMP.GAUCHO,21369,125578,11,0,0,0,2,0,0,0,0,0,0,0,0,0,15,2024-07-13 03:04:22
12468,2024,BRA.CAMP.GAUCHO,7389,130282,6,5,0,0,0,0,0,1,0,0,0,0,0,0,2,2024-07-13 03:04:20
