seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12845,2024,CAMPEONES.CUP,227,70983,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,93184,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,103729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,132676,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,137439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,144325,1,0,0,2,0,0,0,0,0,1,3,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,152660,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,156157,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,159042,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,164331,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,173386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,180113,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,195312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,200101,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,204923,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,212824,1,0,1,2,0,0,0,0,0,1,2,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,224640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,228351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,227,228730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,235061,1,0,1,0,0,0,0,1,0,1,3,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,235817,1,0,0,2,0,0,0,0,0,2,4,0,0,0,1,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,239736,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,240232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
12845,2024,CAMPEONES.CUP,183,249985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:08
