seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12281,2024,CONCACAF.CHAMPIONS,18986,8894,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04 04:47:28
12281,2024,CONCACAF.CHAMPIONS,220,12425,2,0,0,3,0,0,0,0,1,3,3,1,0,1,1,2024-03-04 04:47:27
12281,2024,CONCACAF.CHAMPIONS,6077,16151,2,0,0,0,1,0,0,0,0,0,0,0,18,7,2,2024-03-04 04:47:32
12281,2024,CONCACAF.CHAMPIONS,12011,17478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-03-04 04:47:34
12281,2024,CONCACAF.CHAMPIONS,7257,19562,2,0,3,0,0,0,0,0,0,1,1,0,0,1,7,2024-03-04 04:47:28
12281,2024,CONCACAF.CHAMPIONS,18006,21900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04 04:47:31
12281,2024,CONCACAF.CHAMPIONS,19352,23916,2,0,2,1,0,0,0,0,0,0,0,0,0,0,4,2024-03-04 04:47:33
12281,2024,CONCACAF.CHAMPIONS,858,35147,2,0,2,5,0,0,0,0,1,2,6,1,0,0,6,2024-03-04 04:47:36
12281,2024,CONCACAF.CHAMPIONS,219,37249,2,0,1,2,0,0,0,0,1,3,3,1,0,0,2,2024-03-04 04:47:25
12281,2024,CONCACAF.CHAMPIONS,234,37249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04 04:47:35
12281,2024,CONCACAF.CHAMPIONS,234,44473,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2024-03-04 04:47:35
12281,2024,CONCACAF.CHAMPIONS,183,45419,4,3,0,4,0,0,0,0,1,2,4,1,0,0,2,2024-03-04 04:47:33
12281,2024,CONCACAF.CHAMPIONS,19352,65412,2,0,1,1,0,0,0,0,0,0,1,0,0,0,4,2024-03-04 04:47:33
12281,2024,CONCACAF.CHAMPIONS,12011,67518,2,1,0,2,0,0,0,1,0,2,3,2,0,0,1,2024-03-04 04:47:34
12281,2024,CONCACAF.CHAMPIONS,21812,67671,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2024-03-04 04:47:36
12281,2024,CONCACAF.CHAMPIONS,232,68340,2,0,0,0,0,0,0,0,1,0,0,0,18,2,1,2024-03-04 04:47:26
12281,2024,CONCACAF.CHAMPIONS,22161,70597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04 04:47:34
12281,2024,CONCACAF.CHAMPIONS,227,70983,1,1,0,1,0,0,0,0,1,0,4,0,0,0,0,2024-03-04 04:47:30
12281,2024,CONCACAF.CHAMPIONS,232,72266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04 04:47:26
12281,2024,CONCACAF.CHAMPIONS,220,79608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-03-04 04:47:27
