seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12584,2024,CONCACAF.NATIONS.LEAGUE,2665,12936,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-12 05:02:22
12584,2024,CONCACAF.NATIONS.LEAGUE,13584,13103,2,2,1,0,0,0,0,0,0,0,1,0,0,2,0,2024-10-29 05:17:11
12584,2024,CONCACAF.NATIONS.LEAGUE,2665,15997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-12 05:02:22
12584,2024,CONCACAF.NATIONS.LEAGUE,2653,18230,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2024-10-29 05:17:06
12584,2024,CONCACAF.NATIONS.LEAGUE,2652,19562,3,0,2,2,0,0,0,0,1,1,2,1,0,1,2,2024-10-29 05:17:06
12584,2024,CONCACAF.NATIONS.LEAGUE,215,28127,4,0,0,2,0,0,0,0,3,0,1,0,0,2,3,2024-10-29 05:17:07
12584,2024,CONCACAF.NATIONS.LEAGUE,2649,47551,4,1,1,1,1,0,0,0,1,3,7,2,0,0,1,2024-10-29 05:17:03
12584,2024,CONCACAF.NATIONS.LEAGUE,2640,65976,4,0,1,1,0,0,0,0,0,0,0,0,58,15,13,2024-10-29 05:16:59
12584,2024,CONCACAF.NATIONS.LEAGUE,2650,71067,2,0,0,0,0,0,0,0,0,0,0,0,17,6,3,2024-10-29 05:17:04
12584,2024,CONCACAF.NATIONS.LEAGUE,215,72152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-29 05:17:07
12584,2024,CONCACAF.NATIONS.LEAGUE,2650,73235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-29 05:17:04
12584,2024,CONCACAF.NATIONS.LEAGUE,7657,75844,4,0,4,2,0,0,0,0,0,0,2,0,0,0,4,2024-10-29 05:17:05
12584,2024,CONCACAF.NATIONS.LEAGUE,660,77072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:00:59
