seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12245,2024,CONMEBOL.AMERICA,1038,6309,9,3,9,0,0,0,0,0,0,0,3,0,0,0,9,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,1038,9236,9,0,21,6,0,0,0,0,0,0,6,0,0,0,12,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,203,11771,6,0,3,9,0,0,0,0,0,3,9,3,0,0,3,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,210,20975,2,0,1,5,0,0,0,0,1,2,8,1,0,0,6,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,2659,23646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,1038,26385,9,0,24,27,0,0,0,0,6,3,15,0,0,0,18,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,203,31225,6,3,6,15,0,0,0,0,3,3,6,3,0,0,3,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,1038,31376,9,3,30,3,0,0,0,0,0,0,0,0,0,0,15,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,660,31793,15,0,33,27,6,3,0,3,3,3,15,3,0,0,9,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,660,34158,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,207,34390,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-29 03:49:11
12245,2024,CONMEBOL.AMERICA,660,36107,12,9,9,3,0,0,0,0,0,0,3,0,0,0,9,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,203,36363,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,660,39386,15,0,15,18,3,0,0,0,0,0,0,0,0,0,21,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,660,39928,18,0,18,21,0,0,0,9,3,21,60,9,0,0,21,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,211,40270,3,2,3,2,1,0,0,0,0,1,2,0,0,0,2,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,2659,41590,6,0,9,3,6,0,0,0,0,3,3,0,0,0,18,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,660,41952,18,0,3,9,3,0,0,0,0,0,6,0,0,0,24,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,202,44927,4,2,0,3,0,0,0,1,1,1,4,0,0,0,1,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,202,45843,2,0,1,4,0,0,0,1,0,1,7,0,0,0,0,2024-07-03 02:46:44
12245,2024,CONMEBOL.AMERICA,210,48128,2,0,3,2,0,0,0,0,0,1,1,0,0,0,6,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,660,56935,15,0,0,3,3,0,0,0,0,0,0,0,0,57,21,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,660,56997,6,3,9,3,3,0,0,0,6,0,0,0,0,0,6,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,1038,62131,9,0,3,3,3,0,0,0,0,3,6,0,0,0,18,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,1038,62132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,2659,65506,3,0,3,3,3,0,0,0,0,0,0,0,0,0,12,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,203,66849,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,212,67183,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2023-12-29 03:49:15
12245,2024,CONMEBOL.AMERICA,212,67518,5,5,3,6,0,0,0,1,0,0,6,0,0,0,0,2023-12-29 03:49:15
12245,2024,CONMEBOL.AMERICA,1038,67591,9,0,0,9,0,0,0,0,3,0,12,0,0,0,18,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,2659,70746,6,0,12,12,6,0,0,0,0,12,21,6,0,0,9,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,207,70983,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:42
12245,2024,CONMEBOL.AMERICA,210,72664,5,0,0,0,0,0,0,0,1,0,0,0,41,0,6,2023-12-29 03:49:13
12245,2024,CONMEBOL.AMERICA,202,76017,2,1,2,1,0,0,0,0,0,1,3,0,0,1,0,2024-07-03 02:46:44
12245,2024,CONMEBOL.AMERICA,207,76778,5,0,6,10,0,0,0,0,2,0,1,0,0,0,5,2023-12-29 03:49:11
12245,2024,CONMEBOL.AMERICA,203,76807,3,0,3,3,0,0,0,0,0,0,3,0,0,0,3,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,203,76932,9,0,27,15,3,3,0,0,3,3,12,0,0,0,24,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,660,77072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:44
12245,2024,CONMEBOL.AMERICA,660,77649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,213,78645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,1038,80084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,210,80359,5,3,2,6,0,0,0,0,0,2,5,0,0,0,2,2023-12-29 03:49:13
12245,2024,CONMEBOL.AMERICA,208,82816,2,0,1,3,0,0,0,3,2,2,3,0,0,0,1,2024-07-03 02:46:40
12245,2024,CONMEBOL.AMERICA,203,83869,9,3,12,0,0,0,0,0,0,3,12,0,0,0,12,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,203,84154,6,0,9,3,0,0,0,0,0,0,0,0,0,0,24,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,660,84160,6,3,12,9,6,3,0,0,0,0,0,0,0,0,3,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,207,85373,2,0,0,2,0,0,0,0,0,0,0,0,26,12,1,2024-07-03 02:46:42
12245,2024,CONMEBOL.AMERICA,206,87387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,2659,87595,9,0,12,15,0,0,0,3,0,0,6,0,0,0,30,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,660,89451,15,0,9,24,3,0,0,0,0,3,12,0,0,0,21,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,207,92055,3,0,2,8,1,0,0,0,2,1,4,0,0,1,0,2024-07-03 02:46:42
12245,2024,CONMEBOL.AMERICA,212,95469,5,0,5,7,0,0,0,0,1,5,14,2,0,0,2,2023-12-29 03:49:15
12245,2024,CONMEBOL.AMERICA,209,95614,3,0,0,0,0,0,0,0,1,0,0,0,39,10,3,2024-07-03 02:46:38
12245,2024,CONMEBOL.AMERICA,205,96254,5,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2023-12-29 03:49:13
12245,2024,CONMEBOL.AMERICA,202,96970,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2024-07-03 02:46:44
12245,2024,CONMEBOL.AMERICA,204,98008,3,0,6,1,2,0,0,0,1,0,2,0,0,0,8,2023-12-29 03:49:16
12245,2024,CONMEBOL.AMERICA,213,98062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,210,100627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,204,100727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:45
12245,2024,CONMEBOL.AMERICA,2659,102090,6,0,9,27,6,0,0,0,0,0,3,0,0,0,9,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,2659,102091,6,3,6,3,0,0,0,0,6,3,18,0,0,0,9,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,2659,102167,9,0,6,24,0,0,0,3,3,9,9,0,0,0,27,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,207,102198,5,0,12,6,2,0,0,0,1,2,4,0,0,1,5,2023-12-29 03:49:11
12245,2024,CONMEBOL.AMERICA,205,102368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:39
12245,2024,CONMEBOL.AMERICA,212,103029,3,3,0,1,0,0,0,0,2,0,1,0,0,0,0,2023-12-29 03:49:15
12245,2024,CONMEBOL.AMERICA,211,104067,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,203,104497,3,0,1,4,1,0,0,0,1,4,8,0,0,1,1,2024-07-03 02:46:39
12245,2024,CONMEBOL.AMERICA,212,104564,5,0,3,5,1,0,0,0,0,0,3,0,0,0,2,2023-12-29 03:49:15
12245,2024,CONMEBOL.AMERICA,209,105756,2,0,0,1,0,0,0,0,1,0,0,0,10,0,3,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,203,107024,6,3,12,3,3,0,0,0,0,0,3,0,0,0,3,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,202,108223,3,1,0,3,0,0,0,1,1,2,3,0,0,0,0,2024-07-03 02:46:44
12245,2024,CONMEBOL.AMERICA,212,108622,5,0,0,1,0,0,0,0,1,0,0,0,32,0,2,2023-12-29 03:49:15
12245,2024,CONMEBOL.AMERICA,212,109962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:45
12245,2024,CONMEBOL.AMERICA,211,112619,3,0,3,3,2,0,0,0,0,0,2,0,0,1,3,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,207,113574,3,0,2,3,1,0,0,0,0,0,0,0,0,1,0,2024-07-03 02:46:42
12245,2024,CONMEBOL.AMERICA,211,115166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-29 03:49:11
12245,2024,CONMEBOL.AMERICA,1038,116332,9,0,0,15,0,0,0,0,0,3,9,0,0,0,15,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,211,116706,7,0,9,14,2,0,0,1,0,4,9,2,0,0,11,2023-12-29 03:49:11
12245,2024,CONMEBOL.AMERICA,2659,116814,9,0,3,3,3,0,0,0,0,0,3,0,0,0,30,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,2659,116825,6,0,15,15,0,3,0,0,0,0,3,0,0,0,6,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,204,116887,2,1,2,0,0,0,0,0,0,0,1,0,0,0,3,2024-07-03 02:46:45
12245,2024,CONMEBOL.AMERICA,203,117977,12,3,9,12,0,0,0,3,0,6,30,3,0,0,15,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,660,118125,18,0,12,3,0,0,0,0,0,3,6,0,0,0,24,2023-12-29 03:49:14
12245,2024,CONMEBOL.AMERICA,210,118395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,211,118425,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,208,118431,3,1,1,0,1,0,0,0,0,0,2,0,0,0,3,2023-12-29 03:49:12
12245,2024,CONMEBOL.AMERICA,202,118577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:44
12245,2024,CONMEBOL.AMERICA,208,118986,6,0,15,23,3,0,0,1,1,3,5,1,0,0,6,2023-12-29 03:49:12
12245,2024,CONMEBOL.AMERICA,202,119289,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2024-07-03 02:46:44
12245,2024,CONMEBOL.AMERICA,210,119413,2,0,1,3,1,0,0,0,0,0,1,0,0,1,6,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,1038,120418,6,3,9,0,3,3,0,0,0,0,3,0,0,0,6,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,210,121767,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,208,121842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:40
12245,2024,CONMEBOL.AMERICA,212,123840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-29 03:49:15
12245,2024,CONMEBOL.AMERICA,211,123922,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,2024-07-03 02:46:41
12245,2024,CONMEBOL.AMERICA,212,124439,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:45
12245,2024,CONMEBOL.AMERICA,207,124520,1,0,0,1,0,0,0,0,0,0,0,0,9,3,0,2024-07-03 02:46:42
12245,2024,CONMEBOL.AMERICA,2659,124521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-03 02:46:44
12245,2024,CONMEBOL.AMERICA,212,125088,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2024-07-03 02:46:45
12245,2024,CONMEBOL.AMERICA,203,125300,12,0,24,9,0,0,0,0,0,0,6,0,0,0,27,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,205,125514,3,1,4,0,1,0,0,0,0,1,3,1,0,0,1,2023-12-29 03:49:13
12245,2024,CONMEBOL.AMERICA,1038,125650,9,0,9,0,0,0,0,0,0,3,3,0,0,0,18,2023-12-29 03:49:09
12245,2024,CONMEBOL.AMERICA,213,127570,3,0,1,4,0,0,0,1,0,3,13,2,0,0,1,2024-07-03 02:46:39
12245,2024,CONMEBOL.AMERICA,203,128223,9,3,6,6,0,0,0,0,0,0,3,0,0,0,9,2023-12-29 03:49:10
12245,2024,CONMEBOL.AMERICA,207,128321,5,0,4,5,0,0,0,0,2,1,2,0,0,0,5,2023-12-29 03:49:11
