seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12311,2024,CONMEBOL.LIBERTADORES,1936,11632,10,1,7,9,1,0,0,2,2,9,19,0,0,0,9,2024-02-16 04:40:18
12311,2024,CONMEBOL.LIBERTADORES,7632,24388,4,0,7,0,2,0,0,1,1,2,8,0,0,0,2,2024-02-16 04:40:35
12311,2024,CONMEBOL.LIBERTADORES,6046,44872,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2024-02-16 04:40:20
12311,2024,CONMEBOL.LIBERTADORES,2673,45401,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-16 04:40:38
12311,2024,CONMEBOL.LIBERTADORES,2675,47086,8,0,24,10,3,1,0,1,0,6,18,3,0,2,9,2024-02-16 04:40:22
12311,2024,CONMEBOL.LIBERTADORES,5584,48651,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2024-01-25 04:22:43
12311,2024,CONMEBOL.LIBERTADORES,3445,48735,10,0,5,3,3,0,0,0,0,1,4,0,0,4,8,2024-02-16 04:40:24
12311,2024,CONMEBOL.LIBERTADORES,819,52994,4,1,1,5,0,0,0,0,0,0,0,0,0,2,2,2024-02-16 04:40:21
12311,2024,CONMEBOL.LIBERTADORES,1007,66853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-16 04:40:28
12311,2024,CONMEBOL.LIBERTADORES,1936,69908,3,1,5,0,1,1,0,0,0,0,1,0,0,3,1,2024-02-16 04:40:18
12311,2024,CONMEBOL.LIBERTADORES,6046,70268,4,0,2,8,1,0,0,0,0,0,1,0,0,0,0,2024-02-16 04:40:20
12311,2024,CONMEBOL.LIBERTADORES,2684,71784,6,2,4,11,0,0,0,0,0,3,16,0,0,0,3,2024-02-16 04:40:33
12311,2024,CONMEBOL.LIBERTADORES,5264,73101,4,0,5,3,1,0,0,0,0,1,3,0,0,5,6,2024-02-16 04:40:23
12311,2024,CONMEBOL.LIBERTADORES,6046,73989,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-16 04:40:20
12311,2024,CONMEBOL.LIBERTADORES,6046,73992,4,0,7,3,3,0,0,1,0,0,0,0,0,0,0,2024-02-16 04:40:20
12311,2024,CONMEBOL.LIBERTADORES,6046,74127,5,0,10,5,3,0,0,0,0,3,4,0,0,0,0,2024-02-16 04:40:20
12311,2024,CONMEBOL.LIBERTADORES,6046,74285,6,3,3,5,1,0,0,1,0,1,4,0,0,0,0,2024-02-16 04:40:20
12311,2024,CONMEBOL.LIBERTADORES,7632,75316,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-02-16 04:40:35
12311,2024,CONMEBOL.LIBERTADORES,1936,76778,4,0,0,5,0,0,0,0,1,0,0,0,0,0,1,2024-02-16 04:40:18
12311,2024,CONMEBOL.LIBERTADORES,1936,76818,9,0,4,3,2,0,0,0,0,3,5,2,0,3,9,2024-02-16 04:40:18
12311,2024,CONMEBOL.LIBERTADORES,3,76915,5,0,3,3,0,0,0,0,0,2,3,1,0,3,5,2024-02-16 04:40:25
12311,2024,CONMEBOL.LIBERTADORES,6046,77274,4,0,4,3,1,1,0,0,0,1,1,0,0,0,0,2024-02-16 04:40:20
12311,2024,CONMEBOL.LIBERTADORES,6046,77384,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2024-02-16 04:40:20
12311,2024,CONMEBOL.LIBERTADORES,3445,77641,7,0,3,8,1,0,0,0,0,0,5,0,0,0,7,2024-02-16 04:40:24
