seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12654,2024,ENG.1,368,4946,10,1,8,0,4,0,0,0,4,2,7,2,0,6,17,2025-02-22 05:46:34
12654,2024,ENG.1,367,6327,8,1,7,3,2,0,0,0,3,0,2,0,0,10,6,2025-02-22 05:46:37
12654,2024,ENG.1,349,7441,5,0,0,1,0,0,0,0,0,0,0,0,77,20,5,2025-01-30 14:42:57
12654,2024,ENG.1,373,9426,15,6,15,5,2,0,0,1,0,2,2,0,0,4,26,2025-02-22 05:46:35
12654,2024,ENG.1,331,17828,7,3,2,1,0,0,0,0,0,1,1,0,0,5,4,2025-02-22 05:46:33
12654,2024,ENG.1,375,17861,2,1,0,0,0,0,0,0,0,0,0,0,5,4,6,2025-02-22 05:46:35
12654,2024,ENG.1,331,20975,12,10,3,7,0,0,0,0,0,10,19,0,0,0,4,2025-01-23 05:30:56
12654,2024,ENG.1,373,20975,15,11,5,11,1,0,0,1,1,13,26,0,0,0,6,2025-02-22 05:46:35
12654,2024,ENG.1,331,26843,3,0,3,1,1,0,0,0,0,0,2,0,0,2,1,2025-02-22 05:46:33
12654,2024,ENG.1,393,30377,13,3,11,5,2,0,0,1,5,0,5,0,0,5,15,2025-02-22 05:46:37
12654,2024,ENG.1,368,31810,22,5,23,15,5,1,0,3,4,1,5,1,0,3,20,2025-02-22 05:46:34
12654,2024,ENG.1,382,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:36
12654,2024,ENG.1,301,41311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:17
12654,2024,ENG.1,360,42250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:36
12654,2024,ENG.1,361,42359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:36
12654,2024,ENG.1,380,43575,18,4,11,6,4,0,1,1,4,4,9,2,0,9,27,2025-02-22 05:46:38
12654,2024,ENG.1,398,45548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:24
12654,2024,ENG.1,361,48128,9,8,1,3,0,0,0,0,1,2,5,0,0,0,3,2025-01-31 14:42:48
12654,2024,ENG.1,349,72487,18,11,6,12,3,0,0,0,0,9,19,2,0,2,7,2025-02-22 05:46:32
12654,2024,ENG.1,371,77403,13,1,2,1,2,0,0,0,1,0,0,0,171,47,20,2025-02-22 05:46:38
12654,2024,ENG.1,380,78836,9,8,2,1,2,0,0,0,0,0,3,0,0,0,9,2025-02-22 05:46:38
12654,2024,ENG.1,360,83176,6,3,5,6,1,0,0,0,0,0,1,0,0,1,2,2025-02-22 05:46:36
12654,2024,ENG.1,393,83526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:37
12654,2024,ENG.1,301,85285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:49:17
12654,2024,ENG.1,376,85472,13,8,7,8,4,0,0,2,1,0,3,0,0,2,7,2025-02-22 05:46:37
12654,2024,ENG.1,379,91481,4,4,4,1,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 02:49:22
12654,2024,ENG.1,398,92884,8,5,3,3,1,0,0,0,0,0,2,0,0,4,6,2024-07-13 02:49:24
12654,2024,ENG.1,368,92885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:34
12654,2024,ENG.1,367,93193,7,0,0,0,0,0,0,0,1,0,0,0,87,29,15,2025-02-22 05:46:37
12654,2024,ENG.1,349,93435,24,2,39,27,9,0,0,3,6,10,25,2,0,11,23,2025-02-22 05:46:32
12654,2024,ENG.1,367,96970,12,0,7,9,1,0,0,0,2,4,11,1,0,3,13,2025-02-22 05:46:37
12654,2024,ENG.1,379,100918,21,14,17,6,0,0,0,1,0,8,21,2,0,1,16,2024-07-13 02:49:22
12654,2024,ENG.1,364,102053,9,3,2,3,1,0,0,0,1,2,4,0,0,6,8,2025-02-22 05:46:35
12654,2024,ENG.1,349,102368,19,2,21,34,0,0,0,0,2,20,43,5,0,2,18,2025-02-22 05:46:32
12654,2024,ENG.1,364,104943,25,2,7,6,3,1,0,0,4,2,8,0,0,4,24,2025-02-22 05:46:35
12654,2024,ENG.1,361,106139,25,3,8,19,3,0,0,3,5,2,12,0,0,17,26,2025-02-22 05:46:36
12654,2024,ENG.1,376,107542,5,0,0,1,0,0,0,0,1,0,0,0,74,24,13,2025-02-22 05:46:37
12654,2024,ENG.1,363,108662,21,0,2,2,5,0,0,0,5,0,0,0,209,71,27,2025-02-22 05:46:34
12654,2024,ENG.1,331,111114,2,0,0,1,0,0,0,0,0,0,0,0,17,3,1,2025-02-22 05:46:33
12654,2024,ENG.1,331,115271,19,2,7,19,2,0,0,4,0,12,40,6,0,1,22,2025-02-22 05:46:33
12654,2024,ENG.1,371,121473,10,7,1,0,2,0,0,0,0,0,3,0,0,1,3,2025-02-22 05:46:38
12654,2024,ENG.1,349,122268,17,5,8,9,4,0,0,0,0,0,1,0,0,2,13,2025-02-22 05:46:32
12654,2024,ENG.1,375,123518,23,9,28,41,6,0,0,0,0,7,27,4,0,0,31,2025-02-22 05:46:35
12654,2024,ENG.1,384,123518,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,2024-08-24 04:55:47
12654,2024,ENG.1,360,124091,24,0,20,29,3,2,0,6,8,17,64,5,0,2,31,2025-02-22 05:46:36
12654,2024,ENG.1,361,126703,10,0,0,1,0,0,0,0,1,0,0,0,98,29,12,2025-02-22 05:46:36
12654,2024,ENG.1,384,127865,11,7,2,2,1,0,0,0,1,0,1,0,0,2,8,2025-02-22 05:46:34
12654,2024,ENG.1,382,129358,15,6,6,5,3,0,0,0,0,2,5,0,0,4,21,2025-01-26 05:33:40
12654,2024,ENG.1,371,129737,14,3,9,7,1,0,0,1,2,4,19,1,0,0,17,2025-02-22 05:46:38
12654,2024,ENG.1,382,131424,22,6,10,18,1,0,0,2,3,4,17,0,0,0,23,2025-02-22 05:46:36
12654,2024,ENG.1,368,131639,3,1,0,1,1,0,0,0,1,1,1,0,0,3,4,2025-02-22 05:46:34
12654,2024,ENG.1,301,132432,27,13,12,12,1,0,0,3,2,7,20,1,0,0,23,2024-07-13 02:49:17
12654,2024,ENG.1,398,133588,24,10,7,9,3,0,1,2,5,1,5,0,0,2,37,2024-07-13 02:49:24
12654,2024,ENG.1,380,133938,15,5,6,5,2,0,2,0,1,3,7,0,0,11,23,2025-02-22 05:46:38
12654,2024,ENG.1,393,134190,25,1,15,16,1,0,0,2,4,26,44,18,0,4,25,2025-02-22 05:46:37
12654,2024,ENG.1,379,134205,26,14,9,20,2,0,0,3,2,6,15,1,0,0,27,2024-07-13 02:49:22
12654,2024,ENG.1,301,134909,38,0,0,3,3,0,0,0,5,0,0,0,554,148,81,2024-07-13 02:49:17
12654,2024,ENG.1,382,134947,17,6,9,11,2,0,0,6,4,8,33,2,0,0,12,2025-02-22 05:46:36
12654,2024,ENG.1,384,136571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:34
12654,2024,ENG.1,337,138159,6,4,5,0,2,0,0,0,0,0,0,0,0,3,4,2025-02-22 05:46:33
12654,2024,ENG.1,349,138398,2,0,0,2,0,0,0,0,1,0,0,0,25,11,2,2024-08-30 04:58:38
12654,2024,ENG.1,359,138398,2,0,0,2,0,0,0,0,1,0,0,0,25,11,2,2025-02-22 05:46:33
