seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12585,2024,ENG.CHARITY,382,37557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,360,83176,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,88865,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,360,124091,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,382,134947,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,360,144130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,382,151855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,382,154595,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,360,157073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,382,159248,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,360,173666,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,174980,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,382,176948,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,189972,1,0,1,3,1,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,382,199833,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,203669,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,382,214562,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,214794,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,360,215340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,218188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,382,223453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,360,230945,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,360,231167,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,231182,1,0,0,1,1,0,0,0,0,2,2,0,0,0,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,360,233937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,382,234878,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,236015,1,0,0,0,0,0,0,0,0,0,0,0,7,4,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,359,236322,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,359,238004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,359,238262,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,360,238902,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,359,241077,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:10:24
12585,2024,ENG.CHARITY,382,253989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
12585,2024,ENG.CHARITY,360,255850,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:12:06
