seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12837,2024,ENG.W.1,19970,119954,9,4,4,2,0,0,0,0,0,1,2,1,0,0,3,2025-01-14 05:28:34
12837,2024,ENG.W.1,20061,134423,8,7,4,4,1,0,0,1,0,1,2,0,0,0,1,2025-01-14 05:28:36
12837,2024,ENG.W.1,21037,140056,9,0,4,6,0,0,0,0,0,1,1,0,0,0,21,2025-01-14 05:28:34
12837,2024,ENG.W.1,19973,158678,10,1,15,8,1,0,0,0,0,4,15,2,0,0,5,2025-01-14 05:28:33
12837,2024,ENG.W.1,19973,176041,9,2,4,3,1,0,0,2,0,0,2,0,0,0,5,2025-01-14 05:28:33
12837,2024,ENG.W.1,20707,178854,10,0,3,1,1,0,0,0,0,5,16,0,0,0,17,2025-01-14 05:28:33
12837,2024,ENG.W.1,19975,188069,10,0,24,21,4,0,0,3,0,6,13,3,0,0,16,2025-01-14 05:28:37
12837,2024,ENG.W.1,19971,188447,10,0,7,2,1,0,0,0,0,4,7,0,0,0,16,2025-01-14 05:28:35
12837,2024,ENG.W.1,19970,188448,9,0,9,11,0,0,0,2,0,3,15,1,0,0,6,2025-01-14 05:28:34
12837,2024,ENG.W.1,19257,204659,9,0,7,4,2,0,0,0,0,1,4,0,0,0,6,2025-01-14 05:28:36
12837,2024,ENG.W.1,20061,208938,10,0,1,0,1,0,0,0,0,0,0,0,0,30,3,2025-01-14 05:28:36
12837,2024,ENG.W.1,19972,209174,10,0,0,5,1,0,0,0,0,0,0,0,0,43,16,2025-01-14 05:28:35
12837,2024,ENG.W.1,20707,209364,10,0,0,2,1,0,0,0,0,1,1,0,0,27,18,2025-01-14 05:28:33
12837,2024,ENG.W.1,19970,209937,5,0,1,5,1,0,0,1,0,0,3,0,0,0,3,2025-01-14 05:28:34
12837,2024,ENG.W.1,21036,210382,10,0,6,5,1,0,0,0,0,1,6,0,0,0,13,2025-01-14 05:28:35
12837,2024,ENG.W.1,19972,211151,10,5,6,3,0,0,0,0,0,2,8,0,0,0,6,2025-01-14 05:28:35
12837,2024,ENG.W.1,19972,211994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-14 05:28:35
12837,2024,ENG.W.1,19976,213937,10,0,4,1,1,0,0,0,0,0,2,0,0,0,16,2025-01-14 05:28:33
12837,2024,ENG.W.1,19971,219050,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-01-14 05:28:35
12837,2024,ENG.W.1,19973,219079,10,0,12,5,3,0,0,3,0,4,8,0,0,0,5,2025-01-14 05:28:33
12837,2024,ENG.W.1,20707,219119,10,6,2,4,0,0,0,1,0,1,6,1,0,0,7,2025-01-14 05:28:33
12837,2024,ENG.W.1,20707,219769,8,6,4,4,0,0,0,0,0,6,9,3,0,0,6,2025-01-14 05:28:33
12837,2024,ENG.W.1,19976,219773,8,0,1,4,1,0,0,2,0,9,11,3,0,0,10,2025-01-14 05:28:33
12837,2024,ENG.W.1,20062,219818,7,1,9,12,0,0,0,0,0,7,18,1,0,0,9,2025-01-14 05:28:36
12837,2024,ENG.W.1,19257,219819,7,3,2,2,1,0,0,0,0,1,1,0,0,0,5,2025-01-14 05:28:36
12837,2024,ENG.W.1,19973,219822,7,1,3,4,1,0,0,0,0,0,1,0,0,0,1,2025-01-14 05:28:33
12837,2024,ENG.W.1,19975,219825,10,0,13,15,2,0,0,2,0,6,17,3,0,0,18,2025-01-14 05:28:37
12837,2024,ENG.W.1,20062,219859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-14 05:28:36
12837,2024,ENG.W.1,19976,219939,8,1,3,4,0,0,0,0,0,1,7,1,0,0,6,2025-01-14 05:28:33
12837,2024,ENG.W.1,19257,219945,3,1,1,2,0,0,0,0,0,4,11,1,0,0,1,2025-01-14 05:28:36
12837,2024,ENG.W.1,20061,219947,10,0,13,4,2,0,0,2,0,1,7,1,0,0,3,2025-01-14 05:28:36
12837,2024,ENG.W.1,19257,219951,9,1,2,4,0,0,0,1,0,8,21,3,0,0,6,2025-01-14 05:28:36
12837,2024,ENG.W.1,21036,219962,8,1,6,7,0,0,0,0,0,1,4,0,0,0,10,2025-01-14 05:28:35
12837,2024,ENG.W.1,19976,219987,6,0,3,0,1,0,0,0,0,0,3,0,0,0,7,2025-01-14 05:28:33
12837,2024,ENG.W.1,19976,219990,10,0,11,10,1,0,0,0,0,2,7,0,0,0,15,2025-01-14 05:28:33
12837,2024,ENG.W.1,19973,220015,8,2,6,10,0,0,0,0,0,2,6,0,0,0,3,2025-01-14 05:28:33
12837,2024,ENG.W.1,20707,220024,7,1,10,8,2,0,0,0,0,0,4,0,0,0,12,2025-01-14 05:28:33
12837,2024,ENG.W.1,19257,223470,6,0,0,2,0,0,0,0,0,0,0,0,0,15,6,2025-01-14 05:28:36
12837,2024,ENG.W.1,21037,224886,10,0,0,2,0,0,0,0,0,0,0,0,0,46,26,2025-01-14 05:28:34
12837,2024,ENG.W.1,20062,226804,10,4,1,5,1,0,0,1,0,9,16,0,0,0,16,2025-01-14 05:28:36
12837,2024,ENG.W.1,19257,229456,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-14 05:28:36
12837,2024,ENG.W.1,19971,230835,7,0,0,1,2,0,0,0,0,0,0,0,0,15,11,2025-01-14 05:28:35
12837,2024,ENG.W.1,20062,230836,1,1,1,0,1,0,0,0,0,0,1,0,0,0,2,2025-01-14 05:28:36
12837,2024,ENG.W.1,19975,235712,10,1,3,1,1,0,0,0,0,1,6,0,0,0,16,2025-01-14 05:28:37
12837,2024,ENG.W.1,21036,235714,10,7,4,6,1,0,0,0,0,1,3,0,0,0,2,2025-01-14 05:28:35
12837,2024,ENG.W.1,19973,240274,10,9,1,4,0,0,0,2,0,5,15,2,0,0,3,2025-01-14 05:28:33
12837,2024,ENG.W.1,19971,243031,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2025-01-14 05:28:35
12837,2024,ENG.W.1,19976,246314,10,2,6,10,1,0,0,2,0,8,22,3,0,0,15,2025-01-14 05:28:33
12837,2024,ENG.W.1,21036,248450,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2025-01-14 05:28:35
12837,2024,ENG.W.1,20707,248769,10,0,4,15,1,0,0,1,0,9,25,4,0,0,16,2025-01-14 05:28:33
12837,2024,ENG.W.1,19970,248770,10,0,9,3,0,0,0,2,0,2,10,0,0,0,6,2025-01-14 05:28:34
12837,2024,ENG.W.1,19970,248834,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-14 05:28:34
12837,2024,ENG.W.1,19257,249105,9,0,5,2,0,0,0,1,0,2,10,0,0,0,7,2025-01-14 05:28:36
12837,2024,ENG.W.1,19976,249106,10,0,0,1,0,0,0,0,0,0,0,0,0,33,16,2025-01-14 05:28:33
12837,2024,ENG.W.1,19973,252339,2,0,0,2,0,0,0,0,0,0,0,0,0,6,2,2025-01-14 05:28:33
12837,2024,ENG.W.1,19970,255181,8,3,3,0,2,0,0,0,0,1,5,1,0,0,3,2025-01-14 05:28:34
12837,2024,ENG.W.1,19973,255416,4,4,0,0,0,0,0,0,0,1,3,1,0,0,0,2025-01-14 05:28:33
12837,2024,ENG.W.1,19970,255417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-14 05:28:34
12837,2024,ENG.W.1,19972,255452,7,4,6,3,0,0,0,1,0,3,3,0,0,0,4,2025-01-14 05:28:35
12837,2024,ENG.W.1,19972,255465,1,0,2,1,0,0,0,0,0,1,2,0,0,0,4,2025-01-14 05:28:35
