seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12655,2024,ESP.1,94,16340,23,5,13,22,1,0,0,2,10,4,25,1,0,0,24,2025-02-22 05:44:03
12655,2024,ESP.1,6832,22315,21,12,15,6,3,0,0,0,5,3,4,0,0,4,24,2024-07-13 02:49:26
12655,2024,ESP.1,102,24278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:04
12655,2024,ESP.1,84,32501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:01
12655,2024,ESP.1,243,37449,15,12,0,4,0,0,0,0,1,2,3,1,0,0,6,2025-01-02 05:38:02
12655,2024,ESP.1,243,39902,9,4,5,1,0,0,0,0,0,2,9,0,0,0,6,2025-02-04 05:31:58
12655,2024,ESP.1,6832,41549,9,7,3,4,0,0,0,0,0,2,4,0,0,0,11,2024-07-13 02:49:26
12655,2024,ESP.1,102,41970,15,1,10,6,4,0,1,0,2,1,3,0,0,9,19,2025-02-22 05:44:04
12655,2024,ESP.1,101,66410,10,7,8,5,1,0,0,0,3,0,2,0,0,0,3,2025-02-22 05:44:01
12655,2024,ESP.1,3842,67183,31,19,19,32,2,0,0,0,2,5,17,0,0,3,21,2024-07-13 02:49:28
12655,2024,ESP.1,1068,70224,11,7,4,6,0,0,0,1,0,4,12,0,0,0,2,2025-02-22 05:43:59
12655,2024,ESP.1,95,75433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:03
12655,2024,ESP.1,86,76762,23,15,12,11,5,0,0,3,2,3,12,1,0,1,12,2025-02-22 05:44:02
12655,2024,ESP.1,101,82816,6,5,2,1,1,0,0,0,0,2,3,0,0,0,2,2025-01-14 05:28:06
12655,2024,ESP.1,86,87297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:02
12655,2024,ESP.1,85,92800,17,4,13,28,3,1,0,3,8,17,38,7,0,2,20,2025-02-22 05:43:59
12655,2024,ESP.1,243,96060,8,1,0,2,2,0,0,0,1,0,0,0,59,17,12,2025-02-22 05:44:03
12655,2024,ESP.1,6832,97026,11,9,13,6,0,0,0,0,0,1,5,1,0,0,7,2024-07-13 02:49:26
12655,2024,ESP.1,85,97429,20,0,0,3,0,0,0,0,2,0,0,0,171,47,29,2025-02-22 05:43:59
12655,2024,ESP.1,1068,97770,7,1,4,5,0,0,0,0,0,1,4,0,0,1,3,2025-02-22 05:43:59
12655,2024,ESP.1,243,105756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-02 14:44:30
