seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12722,2024,ESP.2,87,3141,26,2,16,40,5,0,0,8,0,30,72,10,0,0,25,2025-02-22 05:45:14
12722,2024,ESP.2,1538,3731,27,3,16,63,3,0,0,6,0,13,27,4,0,0,21,2025-02-22 05:45:13
12722,2024,ESP.2,6832,22315,21,8,12,16,2,0,0,1,0,3,9,2,0,0,13,2025-02-22 05:45:09
12722,2024,ESP.2,9322,24278,32,0,1,2,3,0,1,0,3,1,1,0,357,90,41,2024-07-13 02:50:40
12722,2024,ESP.2,92,40202,20,4,5,18,1,0,0,4,0,6,18,1,0,0,17,2025-02-22 05:45:14
12722,2024,ESP.2,5413,42506,21,15,16,11,4,0,0,0,0,4,12,1,0,0,10,2025-02-22 05:45:13
12722,2024,ESP.2,3788,46803,21,7,18,0,5,0,0,3,0,0,7,0,0,0,12,2025-02-22 05:45:15
12722,2024,ESP.2,90,55243,9,9,2,1,0,0,0,0,0,0,1,0,0,0,3,2025-02-05 05:36:30
12722,2024,ESP.2,12587,55246,31,2,29,9,6,1,1,1,2,6,13,4,0,18,33,2024-07-13 02:50:37
12722,2024,ESP.2,3751,57149,20,5,18,8,3,0,0,0,0,17,38,4,0,0,14,2025-02-22 05:45:11
12722,2024,ESP.2,3751,74630,17,10,13,21,2,0,0,2,0,3,14,1,0,0,4,2025-02-22 05:45:11
12722,2024,ESP.2,95,75433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:39
12722,2024,ESP.2,2737,76884,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2025-02-22 05:45:09
12722,2024,ESP.2,87,77935,16,3,13,15,2,1,1,1,0,3,8,0,0,0,13,2025-02-22 05:45:14
12722,2024,ESP.2,9322,82074,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-13 02:50:40
12722,2024,ESP.2,5419,84064,16,2,13,3,1,0,0,0,0,3,5,0,0,0,22,2025-02-22 05:45:12
12722,2024,ESP.2,1538,87897,27,0,0,4,2,0,0,0,0,0,0,0,0,70,27,2025-02-22 05:45:13
12722,2024,ESP.2,3752,87963,25,7,27,20,3,1,0,0,0,5,11,0,0,0,22,2025-02-22 05:45:11
12722,2024,ESP.2,6832,97026,11,11,9,1,1,0,0,0,0,0,2,0,0,0,1,2025-02-22 05:45:09
12722,2024,ESP.2,2737,101307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:45:09
12722,2024,ESP.2,95,102978,12,5,2,3,0,0,0,0,0,4,18,1,0,0,3,2024-07-13 02:50:39
12722,2024,ESP.2,3752,103563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:45:11
12722,2024,ESP.2,2737,103897,6,0,7,2,1,0,0,0,0,0,2,0,0,0,4,2025-02-22 05:45:09
12722,2024,ESP.2,8447,105756,3,2,3,2,0,0,0,1,0,1,2,1,0,0,2,2025-02-22 05:45:10
12722,2024,ESP.2,3788,106238,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-02-22 05:45:15
12722,2024,ESP.2,8448,106746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:45:14
12722,2024,ESP.2,3751,108107,23,1,46,58,6,1,0,5,0,10,34,4,0,0,16,2025-02-22 05:45:11
12722,2024,ESP.2,8447,108464,24,0,20,31,5,0,0,0,0,8,20,2,0,0,33,2025-02-22 05:45:10
12722,2024,ESP.2,95,110633,41,0,20,32,3,0,0,5,7,4,25,0,0,15,33,2024-07-13 02:50:39
12722,2024,ESP.2,4515,113097,27,0,0,3,3,0,0,0,0,0,0,0,0,65,22,2025-02-22 05:45:13
12722,2024,ESP.2,20179,113699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:42
12722,2024,ESP.2,17534,114255,42,11,47,53,4,0,0,1,5,31,81,12,0,2,19,2024-07-13 02:50:41
12722,2024,ESP.2,6832,119045,19,7,20,17,5,0,0,3,0,4,12,1,0,0,20,2025-02-22 05:45:09
12722,2024,ESP.2,8447,119310,26,5,28,21,9,0,0,3,0,17,57,2,0,0,29,2025-02-22 05:45:10
12722,2024,ESP.2,88,120708,35,12,20,3,3,1,0,0,5,4,11,1,0,14,24,2024-07-13 02:50:41
12722,2024,ESP.2,88,121023,16,5,10,5,4,0,0,2,5,0,6,0,0,4,11,2024-07-13 02:50:41
12722,2024,ESP.2,91,121598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:45:15
12722,2024,ESP.2,11121,121989,24,6,9,6,3,0,0,0,1,0,6,0,0,18,33,2024-07-13 02:50:36
12722,2024,ESP.2,5413,122444,23,0,18,21,8,1,0,1,0,9,25,6,0,0,17,2025-02-22 05:45:13
12722,2024,ESP.2,92,123743,26,0,24,6,8,0,0,1,0,3,9,0,0,0,27,2025-02-22 05:45:14
12722,2024,ESP.2,2737,123864,18,2,8,7,3,1,0,0,0,0,5,0,0,0,19,2025-02-22 05:45:09
12722,2024,ESP.2,90,124565,19,3,11,20,3,0,1,0,0,1,5,0,0,0,21,2025-02-22 05:45:11
12722,2024,ESP.2,12597,124671,24,10,14,7,3,0,0,1,0,11,27,1,0,0,14,2025-02-22 05:45:09
12722,2024,ESP.2,245,125203,20,9,12,9,0,0,0,0,0,9,23,1,0,0,9,2025-02-22 05:45:15
12722,2024,ESP.2,1538,125206,12,8,4,4,1,0,0,0,0,0,1,0,0,0,8,2025-02-22 05:45:13
12722,2024,ESP.2,8448,125729,22,9,17,37,2,0,0,1,0,10,22,2,0,0,19,2025-02-22 05:45:14
12722,2024,ESP.2,5419,125778,17,6,1,5,1,0,0,1,0,0,5,0,0,0,19,2025-02-07 05:38:38
12722,2024,ESP.2,3752,128045,17,2,16,7,5,2,0,0,0,1,4,1,0,0,17,2025-02-22 05:45:11
12722,2024,ESP.2,90,128372,27,0,16,13,2,0,0,0,0,2,11,1,0,0,33,2025-02-22 05:45:11
12722,2024,ESP.2,87,128374,22,7,9,18,2,0,0,0,0,3,10,1,0,0,18,2025-02-22 05:45:14
12722,2024,ESP.2,11121,128374,40,4,25,24,4,1,0,0,5,2,15,1,0,49,49,2024-07-13 02:50:36
12722,2024,ESP.2,6832,128669,25,2,19,8,6,0,1,0,0,3,9,1,0,0,30,2025-02-22 05:45:09
12722,2024,ESP.2,12587,129419,26,0,18,7,5,0,0,1,3,1,10,0,0,12,27,2024-07-13 02:50:37
12722,2024,ESP.2,245,129600,5,0,1,1,2,0,0,0,0,0,0,0,0,7,8,2025-01-17 05:48:36
12722,2024,ESP.2,12597,129600,5,0,1,1,2,0,0,0,0,0,0,0,0,7,8,2025-02-22 05:45:09
12722,2024,ESP.2,5419,129711,20,1,10,17,3,0,0,0,0,0,2,0,0,0,34,2025-02-22 05:45:12
12722,2024,ESP.2,7320,129879,4,0,5,6,1,0,0,0,0,0,4,0,0,0,2,2025-02-22 05:45:12
12722,2024,ESP.2,5419,130136,22,18,9,5,1,0,0,0,0,2,11,0,0,0,14,2025-02-22 05:45:12
12722,2024,ESP.2,7320,130137,25,1,7,16,7,0,0,4,0,4,16,1,0,0,34,2025-02-22 05:45:12
12722,2024,ESP.2,3788,130213,18,6,12,2,7,0,0,2,0,1,8,1,0,0,18,2025-02-22 05:45:15
12722,2024,ESP.2,11121,131771,31,12,18,25,6,0,0,0,8,3,6,1,0,6,32,2024-07-13 02:50:36
12722,2024,ESP.2,3751,133180,15,10,12,0,1,0,0,0,0,2,8,0,0,0,8,2025-02-22 05:45:11
12722,2024,ESP.2,88,133259,41,3,42,11,8,0,0,1,4,3,19,1,0,21,29,2024-07-13 02:50:41
12722,2024,ESP.2,87,134305,17,14,3,7,0,0,0,0,0,4,11,1,0,0,1,2025-02-22 05:45:14
12722,2024,ESP.2,90,135914,10,4,2,6,0,0,0,3,0,1,2,0,0,0,7,2025-02-22 05:45:11
12722,2024,ESP.2,95,135914,35,2,20,34,9,0,0,3,9,11,51,3,0,6,20,2024-07-13 02:50:39
